,Key,Frequency,Finger,Hand,Keyboard
119,Q,63432,ring,left,Windows
120,A,1192,ring,left,Windows
121,Z,0,ring,left,Windows
122,@,367,middle,left,Windows
123,W,67641,middle,left,Windows
124,S,254385,middle,left,Windows
125,X,0,middle,left,Windows
126,#,0,index,left,Windows
127,E,45745,index,left,Windows
128,D,93687,index,left,Windows
129,C,0,index,left,Windows
130,$,0,index,left,Windows
131,R,80431,index,left,Windows
132,F,946814,index,left,Windows
133,V,0,index,left,Windows
134,%,0,index,left,Windows
135,T,34210,index,left,Windows
136,G,0,index,left,Windows
137,B,0,index,left,Windows
138,`,0,little,left,CRULP
139,1,0,little,left,CRULP
140,2,0,ring,left,CRULP
141,3,0,middle,left,CRULP
142,4,0,index,left,CRULP
143,5,0,index,left,CRULP
144,6,20942,index,right,CRULP
145,7,20888,index,right,CRULP
146,8,22231,middle,right,CRULP
147,9,22013,ring,right,CRULP
148,0,104913,little,right,CRULP
149,-,23007,little,right,CRULP
150,=,587,little,right,CRULP
151,q,265107,little,left,CRULP
152,w,2027184,ring,left,CRULP
153,e,350802,middle,left,CRULP
154,r,2078212,index,left,CRULP
155,t,1328094,index,left,CRULP
156,y,1623547,index,right,CRULP
157,u,397829,index,right,CRULP
158,i,3598106,middle,right,CRULP
159,o,2111123,ring,right,CRULP
160,p,571050,little,right,CRULP
161,[,957,little,right,CRULP
162,],878,little,right,CRULP
163,\,630,little,right,CRULP
164,a,4034410,little,left,CRULP
165,s,1165234,ring,left,CRULP
166,d,867689,middle,left,CRULP
167,f,317540,index,left,CRULP
168,g,439133,index,left,CRULP
169,h,1078235,index,right,CRULP
170,j,639751,index,right,CRULP
171,k,2258871,middle,right,CRULP
172,l,1167260,ring,right,CRULP
173,;,34679,little,right,CRULP
174,',3613,little,right,CRULP
175,z,254385,little,left,CRULP
176,x,346578,ring,left,CRULP
177,c,268472,middle,left,CRULP
178,v,114383,index,left,CRULP
179,b,1152365,index,left,CRULP
180,n,2537583,index,right,CRULP
181,m,1575433,index,right,CRULP
182,",",118271,middle,right,CRULP
183,.,1119764,ring,right,CRULP
184,/,3460,little,right,CRULP
185,shift,3946291,little,left,CRULP
186,~,0,ring,left,CRULP
187,!,82925,ring,left,CRULP
188,Q,0,ring,left,CRULP
189,A,276554,ring,left,CRULP
190,Z,45745,ring,left,CRULP
191,@,103872,middle,left,CRULP
192,W,0,middle,left,CRULP
193,S,182049,middle,left,CRULP
194,X,1192,middle,left,CRULP
195,#,33469,index,left,CRULP
196,E,0,index,left,CRULP
197,D,80431,index,left,CRULP
198,C,34210,index,left,CRULP
199,$,22355,index,left,CRULP
200,R,93687,index,left,CRULP
201,F,0,index,left,CRULP
202,V,63432,index,left,CRULP
203,%,19613,index,left,CRULP
204,T,201238,index,left,CRULP
205,G,71001,index,left,CRULP
206,B,0,index,left,CRULP
