,DistanceIsolated,DistanceTotal,SameHand,SameKey,SameFinger,Reach,Hurde,Frequency,Keyboard
d},0.0,,False,False,False,True,True,,CRULP
dp,0.0,0.0,False,False,False,True,True,103.0,CRULP
dG,0.0,0.0,True,False,False,True,False,14.0,CRULP
dC,0.0,0.0,True,False,True,True,False,29.0,CRULP
d*,0.0,,False,False,False,True,True,,CRULP
d],0.0,,False,False,False,True,True,,CRULP
du,0.0,,False,False,False,True,True,,CRULP
dA,0.0,0.0,True,False,False,True,False,68.0,CRULP
dk,0.0,0.0,False,False,False,True,False,801.0,CRULP
d3,0.0,,True,False,True,True,True,,CRULP
dq,0.0,0.0,True,False,False,True,True,64.0,CRULP
d|,0.0,0.0,False,False,False,True,True,1.0,CRULP
dz,0.0,0.0,True,False,False,True,False,29.0,CRULP
d~,0.0,,True,False,False,True,True,,CRULP
dl,0.0,0.0,False,False,False,True,False,286.0,CRULP
d/,0.0,0.0,False,False,False,True,False,3.0,CRULP
dP,0.0,,False,False,False,True,True,,CRULP
d$,0.0,0.0,True,False,False,True,True,2.0,CRULP
dJ,0.0,0.0,False,False,False,True,False,7.0,CRULP
dU,0.0,0.0,False,False,False,True,True,6.0,CRULP
dy,0.0,0.0,False,False,False,True,True,216.0,CRULP
dv,0.0,0.0,True,False,False,True,False,8.0,CRULP
d9,0.0,,False,False,False,True,True,,CRULP
dZ,0.0,0.0,True,False,False,True,False,6.0,CRULP
d2,0.0,,True,False,False,True,True,,CRULP
dL,0.0,,False,False,False,True,False,,CRULP
dW,0.0,,True,False,False,True,True,,CRULP
d%,0.0,0.0,True,False,False,True,True,4.0,CRULP
d>,0.0,,False,False,False,True,False,,CRULP
"d""",0.0,0.0,False,False,False,True,False,28.0,CRULP
dT,0.0,0.0,True,False,False,True,True,13.0,CRULP
dn,0.0,0.0,False,False,False,True,False,553.0,CRULP
dV,0.0,0.0,True,False,False,True,False,11.0,CRULP
d7,0.0,,False,False,False,True,True,,CRULP
d@,0.0,0.0,True,False,False,True,True,11.0,CRULP
dE,0.0,,True,False,True,True,True,,CRULP
dD,0.0,0.0,True,True,True,True,False,5.0,CRULP
dM,0.0,,False,False,False,True,False,,CRULP
d`,0.0,,True,False,False,True,True,,CRULP
d.,0.0,0.0,False,False,False,True,False,13.0,CRULP
dI,0.0,,False,False,False,True,True,,CRULP
df,0.0,0.0,True,False,False,True,False,162.0,CRULP
dN,0.0,,False,False,False,True,False,,CRULP
dK,0.0,0.0,False,False,False,True,False,87.0,CRULP
d0,0.0,,False,False,False,True,True,,CRULP
dr,0.0,0.0,True,False,False,True,True,1397.0,CRULP
"d,",0.0,0.0,False,False,False,True,False,95.0,CRULP
db,0.0,0.0,True,False,False,True,False,384.0,CRULP
d;,0.0,,False,False,False,True,False,,CRULP
dh,0.0,0.0,False,False,False,True,False,80.0,CRULP
dY,0.0,,False,False,False,True,True,,CRULP
)d,0.0,0.0,False,False,False,True,True,8.0,CRULP
)),0.0,0.0,True,True,True,True,False,185.0,CRULP
)5,0.0,,False,False,False,True,False,,CRULP
){,0.0,,True,False,True,True,True,,CRULP
)4,0.0,,False,False,False,True,False,,CRULP
)s,0.0,0.0,False,False,False,True,True,46.0,CRULP
)6,0.0,,True,False,False,True,False,,CRULP
)1,0.0,,False,False,False,True,False,,CRULP
)X,0.0,,False,False,False,True,False,,CRULP
)(,0.0,0.0,True,False,False,True,False,17.0,CRULP
)e,0.0,,False,False,False,True,True,,CRULP
)<,0.0,,True,False,False,True,False,,CRULP
)w,0.0,0.0,False,False,False,True,True,3.0,CRULP
)x,0.0,0.0,False,False,False,True,False,1.0,CRULP
)+,0.0,,True,False,True,True,False,,CRULP
)H,0.0,0.0,True,False,False,True,True,10.0,CRULP
)#,0.0,0.0,False,False,False,True,False,27.0,CRULP
)m,0.0,0.0,True,False,False,True,False,36.0,CRULP
)?,0.0,,True,False,True,True,False,,CRULP
)=,0.0,,True,False,True,True,False,,CRULP
)R,0.0,,False,False,False,True,True,,CRULP
)O,0.0,,True,False,False,True,True,,CRULP
):,0.0,,True,False,True,True,True,,CRULP
)\,0.0,,True,False,True,True,True,,CRULP
)F,0.0,,False,False,False,True,True,,CRULP
)_,0.0,,True,False,True,True,False,,CRULP
)Q,0.0,,False,False,False,True,True,,CRULP
)B,0.0,,False,False,False,True,False,,CRULP
)a,0.0,0.0,False,False,False,True,True,17.0,CRULP
)[,0.0,,True,False,True,True,True,,CRULP
)-,0.0,,True,False,True,True,False,,CRULP
)c,0.0,,False,False,False,True,False,,CRULP
)o,0.0,0.0,True,False,False,True,True,6.0,CRULP
)&,0.0,0.0,True,False,False,True,False,27.0,CRULP
)!,0.0,0.0,False,False,False,True,False,138.0,CRULP
)^,0.0,0.0,True,False,False,True,False,14.0,CRULP
)',0.0,0.0,True,False,True,True,True,1.0,CRULP
)8,0.0,,True,False,False,True,False,,CRULP
)g,0.0,0.0,False,False,False,True,True,1.0,CRULP
)i,0.0,,True,False,False,True,True,,CRULP
)t,0.0,0.0,False,False,False,True,True,4.0,CRULP
)j,0.0,0.0,True,False,False,True,True,6.0,CRULP
)S,0.0,,False,False,False,True,True,,CRULP
)},0.0,,True,False,True,True,True,,CRULP
)p,0.0,0.0,True,False,True,True,True,1.0,CRULP
)G,0.0,,False,False,False,True,True,,CRULP
)C,0.0,,False,False,False,True,False,,CRULP
)*,0.0,0.0,True,False,False,True,False,25.0,CRULP
)],0.0,,True,False,True,True,True,,CRULP
)u,0.0,0.0,True,False,False,True,True,107.0,CRULP
)A,0.0,0.0,False,False,False,True,True,1.0,CRULP
)k,0.0,0.0,True,False,False,True,True,30.0,CRULP
)3,0.0,,False,False,False,True,False,,CRULP
)q,0.0,0.0,False,False,False,True,True,8.0,CRULP
)|,0.0,,True,False,True,True,True,,CRULP
)z,0.0,0.0,False,False,False,True,False,1.0,CRULP
)~,0.0,,False,False,False,True,False,,CRULP
)l,0.0,0.0,True,False,False,True,True,8.0,CRULP
)/,0.0,,True,False,True,True,False,,CRULP
)P,0.0,,True,False,True,True,True,,CRULP
)$,0.0,0.0,False,False,False,True,False,13.0,CRULP
)J,0.0,,True,False,False,True,True,,CRULP
)U,0.0,,True,False,False,True,True,,CRULP
)y,0.0,,True,False,False,True,True,,CRULP
)v,0.0,0.0,False,False,False,True,False,1.0,CRULP
)9,0.0,,True,False,False,True,False,,CRULP
)Z,0.0,0.0,False,False,False,True,False,1.0,CRULP
)2,0.0,,False,False,False,True,False,,CRULP
)L,0.0,,True,False,False,True,True,,CRULP
)W,0.0,,False,False,False,True,True,,CRULP
)%,0.0,0.0,False,False,False,True,False,16.0,CRULP
)>,0.0,,True,False,False,True,False,,CRULP
")""",0.0,,True,False,True,True,True,,CRULP
)T,0.0,0.0,False,False,False,True,True,1.0,CRULP
)n,0.0,0.0,True,False,False,True,False,7.0,CRULP
)V,0.0,,False,False,False,True,False,,CRULP
)7,0.0,,True,False,False,True,False,,CRULP
)@,0.0,0.0,False,False,False,True,False,19.0,CRULP
)E,0.0,,False,False,False,True,True,,CRULP
)D,0.0,0.0,False,False,False,True,True,5.0,CRULP
)M,0.0,,True,False,False,True,False,,CRULP
)`,0.0,,False,False,False,True,False,,CRULP
).,0.0,0.0,True,False,False,True,False,3.0,CRULP
)I,0.0,,True,False,False,True,True,,CRULP
)f,0.0,0.0,False,False,False,True,True,16.0,CRULP
)N,0.0,,True,False,False,True,False,,CRULP
)K,0.0,,True,False,False,True,True,,CRULP
)0,0.0,,True,True,True,True,False,,CRULP
)r,0.0,0.0,False,False,False,True,True,1.0,CRULP
"),",0.0,0.0,True,False,False,True,False,7.0,CRULP
)b,0.0,0.0,False,False,False,True,False,5.0,CRULP
);,0.0,,True,False,True,True,True,,CRULP
)h,0.0,,True,False,False,True,True,,CRULP
)Y,0.0,,True,False,False,True,True,,CRULP
5d,0.0,,True,False,False,True,True,,CRULP
5),0.0,,False,False,False,True,False,,CRULP
55,0.0,,True,True,True,True,False,,CRULP
5{,0.0,,False,False,False,True,True,,CRULP
54,0.0,,True,False,True,True,False,,CRULP
5s,0.0,,True,False,False,True,True,,CRULP
56,0.0,,False,False,False,True,False,,CRULP
51,0.0,,True,False,False,True,False,,CRULP
5X,0.0,,True,False,False,True,False,,CRULP
5(,0.0,,False,False,False,True,False,,CRULP
5e,0.0,,True,False,False,True,True,,CRULP
5<,0.0,,False,False,False,True,False,,CRULP
5w,0.0,,True,False,False,True,True,,CRULP
5x,0.0,,True,False,False,True,False,,CRULP
5+,0.0,,False,False,False,True,False,,CRULP
5H,0.0,,False,False,False,True,True,,CRULP
5#,0.0,,True,False,False,True,False,,CRULP
5m,0.0,,False,False,False,True,False,,CRULP
5?,0.0,,False,False,False,True,False,,CRULP
5=,0.0,,False,False,False,True,False,,CRULP
5R,0.0,,True,False,True,True,True,,CRULP
5O,0.0,,False,False,False,True,True,,CRULP
5:,0.0,,False,False,False,True,True,,CRULP
5\,0.0,,False,False,False,True,True,,CRULP
5F,0.0,,True,False,True,True,True,,CRULP
5_,0.0,,False,False,False,True,False,,CRULP
5Q,0.0,,True,False,False,True,True,,CRULP
5B,0.0,,True,False,True,True,False,,CRULP
5a,0.0,,True,False,False,True,True,,CRULP
5[,0.0,,False,False,False,True,True,,CRULP
5-,0.0,,False,False,False,True,False,,CRULP
5c,0.0,,True,False,False,True,False,,CRULP
5o,0.0,,False,False,False,True,True,,CRULP
5&,0.0,,False,False,False,True,False,,CRULP
5!,0.0,,True,False,False,True,False,,CRULP
5^,0.0,,False,False,False,True,False,,CRULP
5',0.0,,False,False,False,True,True,,CRULP
58,0.0,,False,False,False,True,False,,CRULP
5g,0.0,,True,False,True,True,True,,CRULP
5i,0.0,,False,False,False,True,True,,CRULP
5t,0.0,,True,False,True,True,True,,CRULP
5j,0.0,,False,False,False,True,True,,CRULP
5S,0.0,,True,False,False,True,True,,CRULP
5},0.0,,False,False,False,True,True,,CRULP
5p,0.0,,False,False,False,True,True,,CRULP
5G,0.0,,True,False,True,True,True,,CRULP
5C,0.0,,True,False,False,True,False,,CRULP
5*,0.0,,False,False,False,True,False,,CRULP
5],0.0,,False,False,False,True,True,,CRULP
5u,0.0,,False,False,False,True,True,,CRULP
5A,0.0,,True,False,False,True,True,,CRULP
5k,0.0,,False,False,False,True,True,,CRULP
53,0.0,,True,False,False,True,False,,CRULP
5q,0.0,,True,False,False,True,True,,CRULP
5|,0.0,,False,False,False,True,True,,CRULP
5z,0.0,,True,False,False,True,False,,CRULP
5~,0.0,,True,False,False,True,False,,CRULP
5l,0.0,,False,False,False,True,True,,CRULP
5/,0.0,,False,False,False,True,False,,CRULP
5P,0.0,,False,False,False,True,True,,CRULP
5$,0.0,,True,False,True,True,False,,CRULP
5J,0.0,,False,False,False,True,True,,CRULP
5U,0.0,,False,False,False,True,True,,CRULP
5y,0.0,,False,False,False,True,True,,CRULP
5v,0.0,,True,False,True,True,False,,CRULP
59,0.0,,False,False,False,True,False,,CRULP
5Z,0.0,,True,False,False,True,False,,CRULP
52,0.0,,True,False,False,True,False,,CRULP
5L,0.0,,False,False,False,True,True,,CRULP
5W,0.0,,True,False,False,True,True,,CRULP
5%,0.0,,True,True,True,True,False,,CRULP
5>,0.0,,False,False,False,True,False,,CRULP
"5""",0.0,,False,False,False,True,True,,CRULP
5T,0.0,,True,False,True,True,True,,CRULP
5n,0.0,,False,False,False,True,False,,CRULP
5V,0.0,,True,False,True,True,False,,CRULP
57,0.0,,False,False,False,True,False,,CRULP
5@,0.0,,True,False,False,True,False,,CRULP
5E,0.0,,True,False,False,True,True,,CRULP
5D,0.0,,True,False,False,True,True,,CRULP
5M,0.0,,False,False,False,True,False,,CRULP
5`,0.0,,True,False,False,True,False,,CRULP
5.,0.0,,False,False,False,True,False,,CRULP
5I,0.0,,False,False,False,True,True,,CRULP
5f,0.0,,True,False,True,True,True,,CRULP
5N,0.0,,False,False,False,True,False,,CRULP
5K,0.0,,False,False,False,True,True,,CRULP
50,0.0,,False,False,False,True,False,,CRULP
5r,0.0,,True,False,True,True,True,,CRULP
"5,",0.0,,False,False,False,True,False,,CRULP
5b,0.0,,True,False,True,True,False,,CRULP
5;,0.0,,False,False,False,True,True,,CRULP
5h,0.0,,False,False,False,True,True,,CRULP
5Y,0.0,,False,False,False,True,True,,CRULP
{d,0.0,,False,False,False,True,True,,CRULP
{),0.0,,True,False,True,True,True,,CRULP
{5,0.0,,False,False,False,True,True,,CRULP
{{,0.0,,True,True,True,True,False,,CRULP
{4,0.0,,False,False,False,True,True,,CRULP
{s,0.0,,False,False,False,True,True,,CRULP
{6,0.0,,True,False,False,True,True,,CRULP
{1,0.0,,False,False,False,True,True,,CRULP
{X,0.0,,False,False,False,True,False,,CRULP
{(,0.0,,True,False,False,True,True,,CRULP
{e,0.0,,False,False,False,True,False,,CRULP
{<,0.0,,True,False,False,True,False,,CRULP
{w,0.0,,False,False,False,True,False,,CRULP
{x,0.0,,False,False,False,True,False,,CRULP
{+,0.0,,True,False,True,True,True,,CRULP
{H,0.0,,True,False,False,True,True,,CRULP
{#,0.0,,False,False,False,True,True,,CRULP
{m,0.0,,True,False,False,True,False,,CRULP
{?,0.0,,True,False,True,True,False,,CRULP
{=,0.0,,True,False,True,True,True,,CRULP
{R,0.0,,False,False,False,True,False,,CRULP
{O,0.0,,True,False,False,True,False,,CRULP
{:,0.0,,True,False,True,True,True,,CRULP
{\,0.0,,True,False,True,True,False,,CRULP
{F,0.0,,False,False,False,True,True,,CRULP
{_,0.0,,True,False,True,True,True,,CRULP
{Q,0.0,,False,False,False,True,False,,CRULP
{B,0.0,,False,False,False,True,False,,CRULP
{a,0.0,0.0,False,False,False,True,True,1.0,CRULP
{[,0.0,,True,True,True,True,False,,CRULP
{-,0.0,,True,False,True,True,True,,CRULP
{c,0.0,,False,False,False,True,False,,CRULP
{o,0.0,,True,False,False,True,False,,CRULP
{&,0.0,,True,False,False,True,True,,CRULP
{!,0.0,,False,False,False,True,True,,CRULP
{^,0.0,,True,False,False,True,True,,CRULP
{',0.0,,True,False,True,True,True,,CRULP
{8,0.0,,True,False,False,True,True,,CRULP
{g,0.0,,False,False,False,True,True,,CRULP
{i,0.0,,True,False,False,True,False,,CRULP
{t,0.0,,False,False,False,True,False,,CRULP
{j,0.0,,True,False,False,True,True,,CRULP
{S,0.0,,False,False,False,True,True,,CRULP
{},0.0,,True,False,True,True,False,,CRULP
{p,0.0,,True,False,True,True,False,,CRULP
{G,0.0,,False,False,False,True,True,,CRULP
{C,0.0,,False,False,False,True,False,,CRULP
{*,0.0,,True,False,False,True,True,,CRULP
{],0.0,,True,False,True,True,False,,CRULP
{u,0.0,,True,False,False,True,False,,CRULP
{A,0.0,,False,False,False,True,True,,CRULP
{k,0.0,,True,False,False,True,True,,CRULP
{3,0.0,,False,False,False,True,True,,CRULP
{q,0.0,,False,False,False,True,False,,CRULP
{|,0.0,,True,False,True,True,False,,CRULP
{z,0.0,,False,False,False,True,False,,CRULP
{~,0.0,,False,False,False,True,True,,CRULP
{l,0.0,,True,False,False,True,True,,CRULP
{/,0.0,,True,False,True,True,False,,CRULP
{P,0.0,,True,False,True,True,False,,CRULP
{$,0.0,,False,False,False,True,True,,CRULP
{J,0.0,,True,False,False,True,True,,CRULP
{U,0.0,,True,False,False,True,False,,CRULP
{y,0.0,,True,False,False,True,False,,CRULP
{v,0.0,,False,False,False,True,False,,CRULP
{9,0.0,,True,False,False,True,True,,CRULP
{Z,0.0,,False,False,False,True,False,,CRULP
{2,0.0,,False,False,False,True,True,,CRULP
{L,0.0,,True,False,False,True,True,,CRULP
{W,0.0,,False,False,False,True,False,,CRULP
{%,0.0,,False,False,False,True,True,,CRULP
{>,0.0,,True,False,False,True,False,,CRULP
"{""",0.0,,True,False,True,True,True,,CRULP
{T,0.0,,False,False,False,True,False,,CRULP
{n,0.0,,True,False,False,True,False,,CRULP
{V,0.0,,False,False,False,True,False,,CRULP
{7,0.0,,True,False,False,True,True,,CRULP
{@,0.0,,False,False,False,True,True,,CRULP
{E,0.0,,False,False,False,True,False,,CRULP
{D,0.0,,False,False,False,True,True,,CRULP
{M,0.0,,True,False,False,True,False,,CRULP
{`,0.0,,False,False,False,True,True,,CRULP
{.,0.0,,True,False,False,True,False,,CRULP
{I,0.0,,True,False,False,True,False,,CRULP
{f,0.0,,False,False,False,True,True,,CRULP
{N,0.0,,True,False,False,True,False,,CRULP
{K,0.0,,True,False,False,True,True,,CRULP
{0,0.0,,True,False,True,True,True,,CRULP
{r,0.0,,False,False,False,True,False,,CRULP
"{,",0.0,,True,False,False,True,False,,CRULP
{b,0.0,,False,False,False,True,False,,CRULP
{;,0.0,,True,False,True,True,True,,CRULP
{h,0.0,,True,False,False,True,True,,CRULP
{Y,0.0,,True,False,False,True,False,,CRULP
4d,0.0,,True,False,False,True,True,,CRULP
4),0.0,,False,False,False,True,False,,CRULP
45,0.0,,True,False,True,True,False,,CRULP
4{,0.0,,False,False,False,True,True,,CRULP
44,0.0,,True,True,True,True,False,,CRULP
4s,0.0,,True,False,False,True,True,,CRULP
46,0.0,,False,False,False,True,False,,CRULP
41,0.0,,True,False,False,True,False,,CRULP
4X,0.0,,True,False,False,True,False,,CRULP
4(,0.0,,False,False,False,True,False,,CRULP
4e,0.0,,True,False,False,True,True,,CRULP
4<,0.0,,False,False,False,True,False,,CRULP
4w,0.0,,True,False,False,True,True,,CRULP
4x,0.0,,True,False,False,True,False,,CRULP
4+,0.0,,False,False,False,True,False,,CRULP
4H,0.0,,False,False,False,True,True,,CRULP
4#,0.0,,True,False,False,True,False,,CRULP
4m,0.0,,False,False,False,True,False,,CRULP
4?,0.0,,False,False,False,True,False,,CRULP
4=,0.0,,False,False,False,True,False,,CRULP
4R,0.0,,True,False,True,True,True,,CRULP
4O,0.0,,False,False,False,True,True,,CRULP
4:,0.0,,False,False,False,True,True,,CRULP
4\,0.0,,False,False,False,True,True,,CRULP
4F,0.0,,True,False,True,True,True,,CRULP
4_,0.0,,False,False,False,True,False,,CRULP
4Q,0.0,,True,False,False,True,True,,CRULP
4B,0.0,,True,False,True,True,False,,CRULP
4a,0.0,,True,False,False,True,True,,CRULP
4[,0.0,,False,False,False,True,True,,CRULP
4-,0.0,,False,False,False,True,False,,CRULP
4c,0.0,,True,False,False,True,False,,CRULP
4o,0.0,,False,False,False,True,True,,CRULP
4&,0.0,,False,False,False,True,False,,CRULP
4!,0.0,,True,False,False,True,False,,CRULP
4^,0.0,,False,False,False,True,False,,CRULP
4',0.0,,False,False,False,True,True,,CRULP
48,0.0,,False,False,False,True,False,,CRULP
4g,0.0,,True,False,True,True,True,,CRULP
4i,0.0,,False,False,False,True,True,,CRULP
4t,0.0,,True,False,True,True,True,,CRULP
4j,0.0,,False,False,False,True,True,,CRULP
4S,0.0,,True,False,False,True,True,,CRULP
4},0.0,,False,False,False,True,True,,CRULP
4p,0.0,,False,False,False,True,True,,CRULP
4G,0.0,,True,False,True,True,True,,CRULP
4C,0.0,,True,False,False,True,False,,CRULP
4*,0.0,,False,False,False,True,False,,CRULP
4],0.0,,False,False,False,True,True,,CRULP
4u,0.0,,False,False,False,True,True,,CRULP
4A,0.0,,True,False,False,True,True,,CRULP
4k,0.0,,False,False,False,True,True,,CRULP
43,0.0,,True,False,False,True,False,,CRULP
4q,0.0,,True,False,False,True,True,,CRULP
4|,0.0,,False,False,False,True,True,,CRULP
4z,0.0,,True,False,False,True,False,,CRULP
4~,0.0,,True,False,False,True,False,,CRULP
4l,0.0,,False,False,False,True,True,,CRULP
4/,0.0,,False,False,False,True,False,,CRULP
4P,0.0,,False,False,False,True,True,,CRULP
4$,0.0,,True,True,True,True,False,,CRULP
4J,0.0,,False,False,False,True,True,,CRULP
4U,0.0,,False,False,False,True,True,,CRULP
4y,0.0,,False,False,False,True,True,,CRULP
4v,0.0,,True,False,True,True,False,,CRULP
49,0.0,,False,False,False,True,False,,CRULP
4Z,0.0,,True,False,False,True,False,,CRULP
42,0.0,,True,False,False,True,False,,CRULP
4L,0.0,,False,False,False,True,True,,CRULP
4W,0.0,,True,False,False,True,True,,CRULP
4%,0.0,,True,False,True,True,False,,CRULP
4>,0.0,,False,False,False,True,False,,CRULP
"4""",0.0,,False,False,False,True,True,,CRULP
4T,0.0,,True,False,True,True,True,,CRULP
4n,0.0,,False,False,False,True,False,,CRULP
4V,0.0,,True,False,True,True,False,,CRULP
47,0.0,,False,False,False,True,False,,CRULP
4@,0.0,,True,False,False,True,False,,CRULP
4E,0.0,,True,False,False,True,True,,CRULP
4D,0.0,,True,False,False,True,True,,CRULP
4M,0.0,,False,False,False,True,False,,CRULP
4`,0.0,,True,False,False,True,False,,CRULP
4.,0.0,,False,False,False,True,False,,CRULP
4I,0.0,,False,False,False,True,True,,CRULP
4f,0.0,,True,False,True,True,True,,CRULP
4N,0.0,,False,False,False,True,False,,CRULP
4K,0.0,,False,False,False,True,True,,CRULP
40,0.0,,False,False,False,True,False,,CRULP
4r,0.0,,True,False,True,True,True,,CRULP
"4,",0.0,,False,False,False,True,False,,CRULP
4b,0.0,,True,False,True,True,False,,CRULP
4;,0.0,,False,False,False,True,True,,CRULP
4h,0.0,,False,False,False,True,True,,CRULP
4Y,0.0,,False,False,False,True,True,,CRULP
sd,0.0,0.0,True,False,False,True,False,140.0,CRULP
s),0.0,,False,False,False,True,True,,CRULP
s5,0.0,,True,False,False,True,True,,CRULP
s{,0.0,,False,False,False,True,True,,CRULP
s4,0.0,,True,False,False,True,True,,CRULP
ss,0.0,0.0,True,True,True,True,False,471.0,CRULP
s6,0.0,,False,False,False,True,True,,CRULP
s1,0.0,,True,False,False,True,True,,CRULP
sX,0.0,,True,False,True,True,False,,CRULP
s(,0.0,0.0,False,False,False,True,True,1.0,CRULP
se,0.0,0.0,True,False,False,True,True,142.0,CRULP
s<,0.0,,False,False,False,True,False,,CRULP
sw,0.0,0.0,True,False,True,True,True,1203.0,CRULP
sx,0.0,0.0,True,False,True,True,False,44.0,CRULP
s+,0.0,,False,False,False,True,True,,CRULP
sH,0.0,,False,False,False,True,False,,CRULP
s#,0.0,,True,False,False,True,True,,CRULP
sm,0.0,0.0,False,False,False,True,False,1082.0,CRULP
s?,0.0,,False,False,False,True,False,,CRULP
s=,0.0,,False,False,False,True,True,,CRULP
sR,0.0,0.0,True,False,False,True,True,26.0,CRULP
sO,0.0,,False,False,False,True,True,,CRULP
s:,0.0,0.0,False,False,False,True,False,1.0,CRULP
s\,0.0,,False,False,False,True,True,,CRULP
sF,0.0,,True,False,False,True,False,,CRULP
s_,0.0,,False,False,False,True,True,,CRULP
sQ,0.0,,True,False,False,True,True,,CRULP
sB,0.0,,True,False,False,True,False,,CRULP
sa,0.0,0.0,True,False,False,True,False,2291.0,CRULP
s[,0.0,,False,False,False,True,True,,CRULP
s-,0.0,,False,False,False,True,True,,CRULP
sc,0.0,0.0,True,False,False,True,False,59.0,CRULP
so,0.0,0.0,False,False,False,True,True,217.0,CRULP
s&,0.0,,False,False,False,True,True,,CRULP
s!,0.0,0.0,True,False,False,True,True,3.0,CRULP
s^,0.0,,False,False,False,True,True,,CRULP
s',0.0,,False,False,False,True,False,,CRULP
s8,0.0,,False,False,False,True,True,,CRULP
sg,0.0,0.0,True,False,False,True,False,47.0,CRULP
si,0.0,0.0,False,False,False,True,True,2269.0,CRULP
st,0.0,0.0,True,False,False,True,True,2064.0,CRULP
sj,0.0,0.0,False,False,False,True,False,171.0,CRULP
sS,0.0,0.0,True,True,True,True,False,19.0,CRULP
s},0.0,,False,False,False,True,True,,CRULP
sp,0.0,0.0,False,False,False,True,True,339.0,CRULP
sG,0.0,0.0,True,False,False,True,False,4.0,CRULP
sC,0.0,0.0,True,False,False,True,False,1.0,CRULP
s*,0.0,,False,False,False,True,True,,CRULP
s],0.0,,False,False,False,True,True,,CRULP
su,0.0,,False,False,False,True,True,,CRULP
sA,0.0,0.0,True,False,False,True,False,71.0,CRULP
sk,0.0,0.0,False,False,False,True,False,2419.0,CRULP
s3,0.0,,True,False,False,True,True,,CRULP
sq,0.0,0.0,True,False,False,True,True,95.0,CRULP
s|,0.0,,False,False,False,True,True,,CRULP
sz,0.0,0.0,True,False,False,True,False,61.0,CRULP
s~,0.0,,True,False,False,True,True,,CRULP
sl,0.0,0.0,False,False,False,True,False,1292.0,CRULP
s/,0.0,0.0,False,False,False,True,False,1.0,CRULP
sP,0.0,,False,False,False,True,True,,CRULP
s$,0.0,,True,False,False,True,True,,CRULP
sJ,0.0,0.0,False,False,False,True,False,5.0,CRULP
sU,0.0,0.0,False,False,False,True,True,12.0,CRULP
sy,0.0,0.0,False,False,False,True,True,4046.0,CRULP
sv,0.0,0.0,True,False,False,True,False,214.0,CRULP
s9,0.0,,False,False,False,True,True,,CRULP
sZ,0.0,0.0,True,False,False,True,False,2.0,CRULP
s2,0.0,,True,False,True,True,True,,CRULP
sL,0.0,,False,False,False,True,False,,CRULP
sW,0.0,,True,False,True,True,True,,CRULP
s%,0.0,0.0,True,False,False,True,True,1.0,CRULP
s>,0.0,,False,False,False,True,False,,CRULP
"s""",0.0,0.0,False,False,False,True,False,21.0,CRULP
sT,0.0,0.0,True,False,False,True,True,535.0,CRULP
sn,0.0,0.0,False,False,False,True,False,919.0,CRULP
sV,0.0,0.0,True,False,False,True,False,1.0,CRULP
