,Key,Frequency,Distance,Finger,Hand,Keyboard
163,\,630,6.0,little,right,CRULP
164,a,4034410,1.0,little,left,CRULP
165,s,1165234,1.0,ring,left,CRULP
166,d,867689,1.0,middle,left,CRULP
167,f,317540,1.0,index,left,CRULP
168,g,439133,3.0,index,left,CRULP
169,h,1078235,3.0,index,right,CRULP
170,j,639751,1.0,index,right,CRULP
171,k,2258871,1.0,middle,right,CRULP
172,l,1167260,1.0,ring,right,CRULP
173,;,34679,1.0,little,right,CRULP
174,',3613,3.0,little,right,CRULP
175,z,254385,3.0,little,left,CRULP
176,x,346578,3.0,ring,left,CRULP
177,c,268472,3.0,middle,left,CRULP
178,v,114383,3.0,index,left,CRULP
179,b,1152365,4.5,index,left,CRULP
180,n,2537583,3.0,index,right,CRULP
181,m,1575433,3.0,index,right,CRULP
182,",",118271,3.0,middle,right,CRULP
183,.,1119764,3.0,ring,right,CRULP
184,/,3460,3.0,little,right,CRULP
185,shift,3946291,2.0,little,left,CRULP
186,~,0,6.0,ring,left,CRULP
187,!,82925,6.0,ring,left,CRULP
188,Q,0,3.0,ring,left,CRULP
189,A,276554,1.0,ring,left,CRULP
190,Z,45745,3.0,ring,left,CRULP
191,@,103872,5.0,middle,left,CRULP
192,W,0,3.0,middle,left,CRULP
193,S,182049,1.0,middle,left,CRULP
194,X,1192,3.0,middle,left,CRULP
195,#,33469,5.0,index,left,CRULP
196,E,0,3.0,index,left,CRULP
197,D,80431,1.0,index,left,CRULP
198,C,34210,3.0,index,left,CRULP
199,$,22355,6.0,index,left,CRULP
200,R,93687,4.0,index,left,CRULP
201,F,0,2.0,index,left,CRULP
202,V,63432,4.0,index,left,CRULP
203,%,19613,5.5,index,left,CRULP
204,T,201238,4.5,index,left,CRULP
205,G,71001,4.0,index,left,CRULP
206,B,0,5.5,index,left,CRULP
