,Finger,Distance,Frequency,Keyboard
6,R_Index,4.916332194510744,515,IME
2,L_Ring,3.975162683964177,1558,IME
o,R_Ring,1.9208170383762733,37137,IME
`,L_Little,4.916332194510744,0,IME
3,L_Middle,3.975162683964177,630,IME
d,L_Middle,0.038,27130,IME
u,R_Index,1.9208170383762733,31593,IME
b,L_Index,3.4078108255508943,26515,IME
5,L_Index,3.80711793394688,503,IME
m,R_Index,2.1287534527055074,42342,IME
x,L_Ring,2.1287534527055074,163,IME
j,R_Index,0.038,13389,IME
n,R_Index,2.139933633585989,62213,IME
\,R_Little,6.05448776280647,12,IME
g,L_Index,1.913,11904,IME
t,L_Index,2.435524765252697,42407,IME
7,R_Index,3.975162683964177,546,IME
4,L_Index,3.975162683964177,503,IME
8,R_Middle,3.975162683964177,582,IME
r,L_Index,1.9208170383762733,53823,IME
l,R_Ring,0.038,31559,IME
a,L_Little,0.038,228780,IME
q,L_Little,1.9208170383762733,8449,IME
;,R_Little,0.038,649,IME
f,L_Index,0.038,8299,IME
i,R_Middle,1.9208170383762733,94850,IME
/,R_Little,2.1287534527055074,109,IME
',R_Little,1.913,3546,IME
0,R_Little,3.975162683964177,1608,IME
y,R_Index,2.9316352569043667,25344,IME
],R_Little,3.908723446592381,9,IME
e,L_Middle,1.9208170383762733,80041,IME
h,R_Index,1.913,76305,IME
1,L_Little,3.975162683964177,1996,IME
k,R_Middle,0.038,55160,IME
w,L_Ring,1.9208170383762733,10613,IME
[,R_Little,2.435524765252697,7,IME
.,R_Ring,2.1287534527055074,7206,IME
=,R_Little,4.265957544725349,10,IME
v,L_Index,2.1287534527055074,1439,IME
9,R_Ring,3.9833295172900325,952,IME
p,R_Little,1.9208170383762733,12649,IME
z,L_Little,2.1287534527055074,10990,IME
l_shift,L_Little,2.81615136376692,4087,IME
r_shift,R_Little,4.913,3,IME
