,Finger,Distance,Frequency,Keyboard
r_shift,R_Little,4.913,20201,CRULP
l,R_Ring,0.038,60745,WINDOWS
3,L_Middle,3.975162683964177,391,WINDOWS
o,R_Ring,1.9208170383762733,12848,WINDOWS
y,R_Index,2.9316352569043667,8070,WINDOWS
k,R_Middle,0.038,41548,WINDOWS
=,R_Little,4.265957544725349,4,WINDOWS
[,R_Little,2.435524765252697,3,WINDOWS
h,R_Index,1.913,29965,WINDOWS
5,L_Index,3.80711793394688,348,WINDOWS
`,L_Little,4.916332194510744,0,WINDOWS
d,L_Middle,0.038,38021,WINDOWS
7,R_Index,3.975162683964177,383,WINDOWS
;,R_Little,0.038,400,WINDOWS
v,L_Index,2.1287534527055074,22527,WINDOWS
r,L_Index,1.9208170383762733,18312,WINDOWS
1,L_Little,3.975162683964177,1426,WINDOWS
u,R_Index,1.9208170383762733,22813,WINDOWS
g,L_Index,1.913,21794,WINDOWS
i,R_Middle,1.9208170383762733,16896,WINDOWS
z,L_Little,2.1287534527055074,6217,WINDOWS
x,L_Ring,2.1287534527055074,5976,WINDOWS
e,L_Middle,1.9208170383762733,9031,WINDOWS
s,L_Ring,0.038,40129,WINDOWS
n,R_Index,2.139933633585989,6621,WINDOWS
6,R_Index,4.916332194510744,362,WINDOWS
p,R_Little,1.9208170383762733,9253,WINDOWS
8,R_Middle,3.975162683964177,420,WINDOWS
4,L_Index,3.975162683964177,366,WINDOWS
2,L_Ring,3.975162683964177,742,WINDOWS
0,R_Little,3.975162683964177,824,WINDOWS
b,L_Index,3.4078108255508943,6078,WINDOWS
m,R_Index,2.1287534527055074,8237,WINDOWS
9,R_Ring,3.9833295172900325,786,WINDOWS
j,R_Index,0.038,76340,WINDOWS
\,R_Little,6.05448776280647,2,WINDOWS
f,L_Index,0.038,43297,WINDOWS
/,R_Little,2.1287534527055074,81,WINDOWS
a,L_Little,0.038,29422,WINDOWS
c,L_Middle,2.1287534527055074,27217,WINDOWS
',R_Little,1.913,2745,WINDOWS
",",R_Middle,2.1287534527055074,3087,WINDOWS
w,L_Ring,1.9208170383762733,4852,WINDOWS
],R_Little,3.908723446592381,3,WINDOWS
.,R_Ring,2.1287534527055074,7027,WINDOWS
-,R_Little,3.8110127219504575,166,WINDOWS
t,L_Index,2.435524765252697,4477,WINDOWS
q,L_Little,1.9208170383762733,3780,WINDOWS
l_shift,L_Little,2.81615136376692,25440,WINDOWS
r_shift,R_Little,4.913,25001,WINDOWS
l,R_Ring,0.038,22409,IME
3,L_Middle,3.975162683964177,383,IME
o,R_Ring,1.9208170383762733,24143,IME
y,R_Index,2.9316352569043667,15887,IME
k,R_Middle,0.038,37245,IME
=,R_Little,4.265957544725349,3,IME
[,R_Little,2.435524765252697,1,IME
h,R_Index,1.913,48722,IME
5,L_Index,3.80711793394688,348,IME
`,L_Little,4.916332194510744,0,IME
d,L_Middle,0.038,19832,IME
7,R_Index,3.975162683964177,382,IME
;,R_Little,0.038,377,IME
v,L_Index,2.1287534527055074,1040,IME
r,L_Index,1.9208170383762733,37234,IME
1,L_Little,3.975162683964177,1405,IME
u,R_Index,1.9208170383762733,23285,IME
g,L_Index,1.913,7861,IME
i,R_Middle,1.9208170383762733,64639,IME
z,L_Little,2.1287534527055074,7616,IME
x,L_Ring,2.1287534527055074,123,IME
e,L_Middle,1.9208170383762733,58561,IME
s,L_Ring,0.038,33084,IME
n,R_Index,2.139933633585989,43031,IME
6,R_Index,4.916332194510744,357,IME
p,R_Little,1.9208170383762733,8195,IME
8,R_Middle,3.975162683964177,416,IME
4,L_Index,3.975162683964177,363,IME
2,L_Ring,3.975162683964177,735,IME
0,R_Little,3.975162683964177,835,IME
b,L_Index,3.4078108255508943,17104,IME
m,R_Index,2.1287534527055074,29961,IME
9,R_Ring,3.9833295172900325,796,IME
j,R_Index,0.038,9070,IME
\,R_Little,6.05448776280647,4,IME
f,L_Index,0.038,5969,IME
/,R_Little,2.1287534527055074,82,IME
a,L_Little,0.038,157986,IME
c,L_Middle,2.1287534527055074,6133,IME
',R_Little,1.913,2701,IME
",",R_Middle,2.1287534527055074,3057,IME
w,L_Ring,1.9208170383762733,7700,IME
],R_Little,3.908723446592381,1,IME
.,R_Ring,2.1287534527055074,7133,IME
-,R_Little,3.8110127219504575,1074,IME
t,L_Index,2.435524765252697,29723,IME
q,L_Little,1.9208170383762733,6322,IME
l_shift,L_Little,2.81615136376692,2925,IME
r_shift,R_Little,4.913,0,IME
