,Distance,SameHand,SameKey,SameFinger,Reach,Hurde,Frequency
'I,0.0,True,False,False,True,True,
'@,0.0,False,False,False,True,True,
'!,0.0,False,False,False,True,True,
'T,0.0,False,False,False,True,True,2.0
'Z,0.0,False,False,False,True,False,
'D,0.0,False,False,False,True,False,
'8,0.0,True,False,False,True,True,
'e,0.0,False,False,False,True,True,2.0
'c,0.0,False,False,False,True,False,1.0
'M,0.0,True,False,False,True,False,
'b,0.0,False,False,False,True,False,4.0
'y,0.0,True,False,False,True,True,
'_,0.0,True,False,True,True,True,
'<,0.0,True,False,False,True,False,
'O,0.0,True,False,False,True,True,
'\,0.0,True,False,True,True,True,
's,0.0,False,False,False,True,False,2.0
'/,0.0,True,False,True,True,False,
"'""",0.0,True,True,True,True,False,3.0
'C,0.0,False,False,False,True,False,
'],0.0,True,False,True,True,True,
'+,0.0,True,False,True,True,True,
'm,0.0,True,False,False,True,False,6.0
'P,0.0,True,False,True,True,True,
'a,0.0,False,False,False,True,False,10.0
'X,0.0,False,False,False,True,False,
'$,0.0,False,False,False,True,True,
':,0.0,True,False,True,True,False,
"',",0.0,True,False,False,True,False,4.0
'g,0.0,False,False,False,True,False,2.0
'x,0.0,False,False,False,True,False,1.0
'S,0.0,False,False,False,True,False,2.0
'~,0.0,False,False,False,True,True,
'B,0.0,False,False,False,True,False,
'j,0.0,True,False,False,True,False,1.0
'?,0.0,True,False,True,True,False,
'4,0.0,False,False,False,True,True,
'0,0.0,True,False,True,True,True,
'F,0.0,False,False,False,True,False,
'p,0.0,True,False,True,True,True,1.0
'-,0.0,True,False,True,True,True,
'J,0.0,True,False,False,True,False,
'f,0.0,False,False,False,True,False,
'u,0.0,True,False,False,True,True,
'W,0.0,False,False,False,True,True,
'w,0.0,False,False,False,True,True,2.0
'A,0.0,False,False,False,True,False,2.0
'2,0.0,False,False,False,True,True,
'1,0.0,False,False,False,True,True,
'&,0.0,True,False,False,True,True,
'i,0.0,True,False,False,True,True,1.0
'.,0.0,True,False,False,True,False,2.0
'V,0.0,False,False,False,True,False,
'>,0.0,True,False,False,True,False,
YK,0.0,True,False,False,True,True,
Y',0.0,True,False,False,True,True,
Yz,0.0,False,False,False,True,False,
YH,0.0,True,False,True,True,True,
Yt,0.0,False,False,False,True,False,
Y`,0.0,False,False,False,True,True,
Y9,0.0,True,False,False,True,True,
Yo,0.0,True,False,False,True,False,
YQ,0.0,False,False,False,True,False,
Yh,0.0,True,False,True,True,True,
YU,0.0,True,False,True,True,False,
Y*,0.0,True,False,False,True,True,
Y%,0.0,False,False,False,True,True,
Y},0.0,True,False,False,True,False,
Y3,0.0,False,False,False,True,True,
Yv,0.0,False,False,False,True,False,
Y=,0.0,True,False,False,True,True,
Y#,0.0,False,False,False,True,True,
YR,0.0,False,False,False,True,False,
Y{,0.0,True,False,False,True,False,
Yn,0.0,True,False,True,True,False,
Y|,0.0,True,False,False,True,False,
Y5,0.0,False,False,False,True,True,
Y[,0.0,True,False,False,True,False,
YG,0.0,False,False,False,True,True,
Yk,0.0,True,False,False,True,True,
YE,0.0,False,False,False,True,False,
Yr,0.0,False,False,False,True,False,
Y;,0.0,True,False,False,True,True,
Y(,0.0,True,False,False,True,True,
Y7,0.0,True,False,True,True,True,
Y^,0.0,True,False,True,True,True,
YL,0.0,True,False,False,True,True,
YN,0.0,True,False,True,True,False,
Yq,0.0,False,False,False,True,False,
Yl,0.0,True,False,False,True,True,
Y6,0.0,True,False,True,True,True,
Yd,0.0,False,False,False,True,True,
Y),0.0,True,False,False,True,True,
YI,0.0,True,False,False,True,False,
Y@,0.0,False,False,False,True,True,
Y!,0.0,False,False,False,True,True,
YT,0.0,False,False,False,True,False,
YZ,0.0,False,False,False,True,False,
YD,0.0,False,False,False,True,True,
Y8,0.0,True,False,False,True,True,
Ye,0.0,False,False,False,True,False,
Yc,0.0,False,False,False,True,False,
YM,0.0,True,False,True,True,False,
Yb,0.0,False,False,False,True,False,
Yy,0.0,True,True,True,True,False,
Y_,0.0,True,False,False,True,True,
Y<,0.0,True,False,False,True,False,
YO,0.0,True,False,False,True,False,
Y\,0.0,True,False,False,True,False,
Ys,0.0,False,False,False,True,True,
Y/,0.0,True,False,False,True,False,
"Y""",0.0,True,False,False,True,True,
YC,0.0,False,False,False,True,False,
Y],0.0,True,False,False,True,False,
Y+,0.0,True,False,False,True,True,
Ym,0.0,True,False,True,True,False,
YP,0.0,True,False,False,True,False,
Ya,0.0,False,False,False,True,True,
YX,0.0,False,False,False,True,False,
Y$,0.0,False,False,False,True,True,
Y:,0.0,True,False,False,True,True,
"Y,",0.0,True,False,False,True,False,
Yg,0.0,False,False,False,True,True,
Yx,0.0,False,False,False,True,False,
YS,0.0,False,False,False,True,True,
Y~,0.0,False,False,False,True,True,
YB,0.0,False,False,False,True,False,
Yj,0.0,True,False,True,True,True,
Y?,0.0,True,False,False,True,False,
Y4,0.0,False,False,False,True,True,
Y0,0.0,True,False,False,True,True,
YF,0.0,False,False,False,True,True,
Yp,0.0,True,False,False,True,False,
Y-,0.0,True,False,False,True,True,
YJ,0.0,True,False,True,True,True,
Yf,0.0,False,False,False,True,True,
Yu,0.0,True,False,True,True,False,
YW,0.0,False,False,False,True,False,
Yw,0.0,False,False,False,True,False,
YA,0.0,False,False,False,True,True,
Y2,0.0,False,False,False,True,True,
Y1,0.0,False,False,False,True,True,
Y&,0.0,True,False,True,True,True,
Yi,0.0,True,False,False,True,False,
Y.,0.0,True,False,False,True,False,
YV,0.0,False,False,False,True,False,
Y>,0.0,True,False,False,True,False,
zK,0.0,False,False,False,True,False,50.0
z',0.0,False,False,False,True,False,2.0
zY,0.0,False,False,False,True,False,
zH,0.0,False,False,False,True,False,
zt,0.0,True,False,False,True,False,93.0
z`,0.0,True,False,True,True,False,
z9,0.0,False,False,False,True,False,
zo,0.0,False,False,False,True,False,200.0
zQ,0.0,True,False,True,True,False,
zh,0.0,False,False,False,True,False,26.0
zU,0.0,False,False,False,True,False,7.0
z*,0.0,False,False,False,True,False,
z%,0.0,True,False,False,True,False,1.0
z},0.0,False,False,False,True,False,
z3,0.0,True,False,False,True,False,
zv,0.0,True,False,False,False,False,
z=,0.0,False,False,False,True,False,
z#,0.0,True,False,False,True,False,
zR,0.0,True,False,False,True,False,
z{,0.0,False,False,False,True,False,
zn,0.0,False,False,False,False,False,324.0
z|,0.0,False,False,False,True,False,
z5,0.0,True,False,False,True,False,
z[,0.0,False,False,False,True,False,
zG,0.0,True,False,False,True,False,
zk,0.0,False,False,False,True,False,267.0
zE,0.0,True,False,False,True,False,
zr,0.0,True,False,False,True,False,173.0
z;,0.0,False,False,False,True,False,
z(,0.0,False,False,False,True,False,
z7,0.0,False,False,False,True,False,
z^,0.0,False,False,False,True,False,
zL,0.0,False,False,False,True,False,
zN,0.0,False,False,False,False,False,
zq,0.0,True,False,True,True,False,20.0
zl,0.0,False,False,False,True,False,125.0
z6,0.0,False,False,False,True,False,
zd,0.0,True,False,False,True,False,96.0
z),0.0,False,False,False,True,False,
zI,0.0,False,False,False,True,False,
z@,0.0,True,False,False,True,False,
z!,0.0,True,False,True,True,False,5.0
zT,0.0,True,False,False,True,False,2.0
zZ,0.0,True,True,True,False,False,2.0
zD,0.0,True,False,False,True,False,6.0
z8,0.0,False,False,False,True,False,
ze,0.0,True,False,False,True,False,29.0
zc,0.0,True,False,False,False,False,11.0
zM,0.0,False,False,False,False,False,
zb,0.0,True,False,False,False,False,262.0
zy,0.0,False,False,False,True,False,34.0
z_,0.0,False,False,False,True,False,
z<,0.0,False,False,False,False,False,
zO,0.0,False,False,False,True,False,1.0
z\,0.0,False,False,False,True,False,
zs,0.0,True,False,False,True,False,58.0
z/,0.0,False,False,False,False,False,1.0
"z""",0.0,False,False,False,True,False,7.0
zC,0.0,True,False,False,False,False,1.0
z],0.0,False,False,False,True,False,
z+,0.0,False,False,False,True,False,
zm,0.0,False,False,False,False,False,435.0
zP,0.0,False,False,False,True,False,
za,0.0,True,False,True,True,False,892.0
zX,0.0,True,False,False,False,False,
z$,0.0,True,False,False,True,False,1.0
z:,0.0,False,False,False,True,False,
"z,",0.0,False,False,False,False,False,62.0
zg,0.0,True,False,False,True,False,22.0
zx,0.0,True,False,False,False,False,49.0
zS,0.0,True,False,False,True,False,7.0
z~,0.0,True,False,True,True,False,
zB,0.0,True,False,False,False,False,
zj,0.0,False,False,False,True,False,35.0
z?,0.0,False,False,False,False,False,
z4,0.0,True,False,False,True,False,
z0,0.0,False,False,False,True,False,
zF,0.0,True,False,False,True,False,
zp,0.0,False,False,False,True,False,54.0
z-,0.0,False,False,False,True,False,
zJ,0.0,False,False,False,True,False,
zf,0.0,True,False,False,True,False,12.0
zu,0.0,False,False,False,True,False,1.0
zW,0.0,True,False,False,True,False,
zw,0.0,True,False,False,True,False,216.0
zA,0.0,True,False,True,True,False,12.0
z2,0.0,True,False,False,True,False,
z1,0.0,True,False,True,True,False,
z&,0.0,False,False,False,True,False,1.0
zi,0.0,False,False,False,True,False,1014.0
z.,0.0,False,False,False,False,False,17.0
zV,0.0,True,False,False,False,False,1.0
z>,0.0,False,False,False,False,False,
HK,0.0,True,False,False,True,False,7.0
H',0.0,True,False,False,True,False,
HY,0.0,True,False,True,True,True,
Hz,0.0,False,False,False,True,False,9.0
Ht,0.0,False,False,False,True,True,238.0
H`,0.0,False,False,False,True,True,
H9,0.0,True,False,False,True,True,
Ho,0.0,True,False,False,True,True,81.0
HQ,0.0,False,False,False,True,True,
Hh,0.0,True,True,True,True,False,14.0
HU,0.0,True,False,True,True,True,2.0
H*,0.0,True,False,False,True,True,
H%,0.0,False,False,False,True,True,
H},0.0,True,False,False,True,True,
H3,0.0,False,False,False,True,True,
Hv,0.0,False,False,False,True,False,3.0
H=,0.0,True,False,False,True,True,
H#,0.0,False,False,False,True,True,1.0
HR,0.0,False,False,False,True,True,56.0
H{,0.0,True,False,False,True,True,
Hn,0.0,True,False,True,True,False,296.0
H|,0.0,True,False,False,True,True,
H5,0.0,False,False,False,True,True,
H[,0.0,True,False,False,True,True,
HG,0.0,False,False,False,True,False,2.0
Hk,0.0,True,False,False,True,False,206.0
HE,0.0,False,False,False,True,True,
Hr,0.0,False,False,False,True,True,519.0
H;,0.0,True,False,False,True,False,
H(,0.0,True,False,False,True,True,
H7,0.0,True,False,True,True,True,
H^,0.0,True,False,True,True,True,
HL,0.0,True,False,False,True,False,
HN,0.0,True,False,True,True,False,
Hq,0.0,False,False,False,True,True,7.0
Hl,0.0,True,False,False,True,False,155.0
H6,0.0,True,False,True,True,True,
Hd,0.0,False,False,False,True,False,55.0
H),0.0,True,False,False,True,True,
HI,0.0,True,False,False,True,True,
H@,0.0,False,False,False,True,True,2.0
H!,0.0,False,False,False,True,True,3.0
HT,0.0,False,False,False,True,True,56.0
HZ,0.0,False,False,False,True,False,3.0
HD,0.0,False,False,False,True,False,10.0
H8,0.0,True,False,False,True,True,
He,0.0,False,False,False,True,True,95.0
Hc,0.0,False,False,False,True,False,14.0
HM,0.0,True,False,True,True,False,
Hb,0.0,False,False,False,True,False,103.0
Hy,0.0,True,False,True,True,True,865.0
H_,0.0,True,False,False,True,True,
H<,0.0,True,False,False,True,False,
HO,0.0,True,False,False,True,True,
H\,0.0,True,False,False,True,True,
Hs,0.0,False,False,False,True,False,155.0
H/,0.0,True,False,False,True,False,8.0
"H""",0.0,True,False,False,True,False,3.0
HC,0.0,False,False,False,True,False,1.0
H],0.0,True,False,False,True,True,
H+,0.0,True,False,False,True,True,
Hm,0.0,True,False,True,True,False,192.0
HP,0.0,True,False,False,True,True,
Ha,0.0,False,False,False,True,False,1935.0
HX,0.0,False,False,False,True,False,
H$,0.0,False,False,False,True,True,
H:,0.0,True,False,False,True,False,1.0
"H,",0.0,True,False,False,True,False,27.0
Hg,0.0,False,False,False,True,False,34.0
Hx,0.0,False,False,False,True,False,22.0
HS,0.0,False,False,False,True,False,4.0
H~,0.0,False,False,False,True,True,
HB,0.0,False,False,False,True,False,
Hj,0.0,True,False,True,True,False,41.0
H?,0.0,True,False,False,True,False,
H4,0.0,False,False,False,True,True,
H0,0.0,True,False,False,True,True,
HF,0.0,False,False,False,True,False,
Hp,0.0,True,False,False,True,True,75.0
H-,0.0,True,False,False,True,True,1.0
HJ,0.0,True,False,True,True,False,1.0
Hf,0.0,False,False,False,True,False,13.0
Hu,0.0,True,False,True,True,True,
HW,0.0,False,False,False,True,True,
Hw,0.0,False,False,False,True,True,584.0
HA,0.0,False,False,False,True,False,12.0
H2,0.0,False,False,False,True,True,
H1,0.0,False,False,False,True,True,
H&,0.0,True,False,True,True,True,1.0
Hi,0.0,True,False,False,True,True,2302.0
H.,0.0,True,False,False,True,False,
HV,0.0,False,False,False,True,False,
H>,0.0,True,False,False,True,False,
tK,0.0,False,False,False,True,True,234.0
t',0.0,False,False,False,True,True,2.0
tY,0.0,False,False,False,True,False,
tz,0.0,True,False,False,True,False,50.0
tH,0.0,False,False,False,True,True,2741.0
t`,0.0,True,False,False,True,True,
t9,0.0,False,False,False,True,True,
to,0.0,False,False,False,True,False,727.0
tQ,0.0,True,False,False,True,False,
th,0.0,False,False,False,True,True,646.0
tU,0.0,False,False,False,True,False,9.0
t*,0.0,False,False,False,True,True,2.0
t%,0.0,True,False,True,True,True,3.0
t},0.0,False,False,False,True,False,
t3,0.0,True,False,False,True,True,
tv,0.0,True,False,True,True,False,15.0
t=,0.0,False,False,False,True,True,
t#,0.0,True,False,False,True,True,4.0
tR,0.0,True,False,True,True,False,5.0
t{,0.0,False,False,False,True,False,
tn,0.0,False,False,False,True,False,508.0
t|,0.0,False,False,False,True,False,
t5,0.0,True,False,True,True,True,
t[,0.0,False,False,False,True,False,
tG,0.0,True,False,True,True,True,20.0
tk,0.0,False,False,False,True,True,2053.0
tE,0.0,True,False,False,True,False,
tr,0.0,True,False,True,True,False,872.0
t;,0.0,False,False,False,True,True,2.0
t(,0.0,False,False,False,True,True,3.0
t7,0.0,False,False,False,True,True,
t^,0.0,False,False,False,True,True,4.0
tL,0.0,False,False,False,True,True,
tN,0.0,False,False,False,True,False,1.0
tq,0.0,True,False,False,True,False,379.0
tl,0.0,False,False,False,True,True,424.0
t6,0.0,False,False,False,True,True,
td,0.0,True,False,False,True,True,311.0
t),0.0,False,False,False,True,True,
tI,0.0,False,False,False,True,False,
t@,0.0,True,False,False,True,True,22.0
t!,0.0,True,False,False,True,True,24.0
tT,0.0,True,True,True,True,False,4.0
tZ,0.0,True,False,False,True,False,30.0
tD,0.0,True,False,False,True,True,5.0
t8,0.0,False,False,False,True,True,
te,0.0,True,False,False,True,False,1003.0
tc,0.0,True,False,False,True,False,32.0
tM,0.0,False,False,False,True,False,
tb,0.0,True,False,True,True,False,581.0
ty,0.0,False,False,False,True,False,1276.0
t_,0.0,False,False,False,True,True,
t<,0.0,False,False,False,True,False,
tO,0.0,False,False,False,True,False,
t\,0.0,False,False,False,True,False,
ts,0.0,True,False,False,True,True,511.0
t/,0.0,False,False,False,True,False,
"t""",0.0,False,False,False,True,True,27.0
tC,0.0,True,False,False,True,False,9.0
t],0.0,False,False,False,True,False,
t+,0.0,False,False,False,True,True,
tm,0.0,False,False,False,True,False,1209.0
tP,0.0,False,False,False,True,False,
ta,0.0,True,False,False,True,True,3811.0
tX,0.0,True,False,False,True,False,
t$,0.0,True,False,True,True,True,5.0
t:,0.0,False,False,False,True,True,19.0
"t,",0.0,False,False,False,True,False,124.0
tg,0.0,True,False,True,True,True,106.0
tx,0.0,True,False,False,True,False,161.0
tS,0.0,True,False,False,True,True,226.0
t~,0.0,True,False,False,True,True,
tB,0.0,True,False,True,True,False,
tj,0.0,False,False,False,True,True,218.0
t?,0.0,False,False,False,True,False,
t4,0.0,True,False,True,True,True,
t0,0.0,False,False,False,True,True,
tF,0.0,True,False,True,True,True,
tp,0.0,False,False,False,True,False,280.0
t-,0.0,False,False,False,True,True,3.0
tJ,0.0,False,False,False,True,True,15.0
tf,0.0,True,False,True,True,True,146.0
tu,0.0,False,False,False,True,False,
tW,0.0,True,False,False,True,False,
tw,0.0,True,False,False,True,False,1148.0
tA,0.0,True,False,False,True,True,49.0
t2,0.0,True,False,False,True,True,
t1,0.0,True,False,False,True,True,
t&,0.0,False,False,False,True,True,3.0
ti,0.0,False,False,False,True,False,2292.0
t.,0.0,False,False,False,True,False,17.0
tV,0.0,True,False,True,True,False,65.0
t>,0.0,False,False,False,True,False,
`K,0.0,False,False,False,True,True,
`',0.0,False,False,False,True,True,
`Y,0.0,False,False,False,True,True,
`z,0.0,True,False,True,True,False,
`H,0.0,False,False,False,True,True,
`t,0.0,True,False,False,True,True,
`9,0.0,False,False,False,True,False,
`o,0.0,False,False,False,True,True,
`Q,0.0,True,False,True,True,True,
`h,0.0,False,False,False,True,True,
`U,0.0,False,False,False,True,True,
`*,0.0,False,False,False,True,False,
`%,0.0,True,False,False,True,False,
`},0.0,False,False,False,True,True,
`3,0.0,True,False,False,True,False,
`v,0.0,True,False,False,True,False,
`=,0.0,False,False,False,True,False,
`#,0.0,True,False,False,True,False,
`R,0.0,True,False,False,True,True,
`{,0.0,False,False,False,True,True,
`n,0.0,False,False,False,True,False,
`|,0.0,False,False,False,True,True,
`5,0.0,True,False,False,True,False,
`[,0.0,False,False,False,True,True,
`G,0.0,True,False,False,True,True,
`k,0.0,False,False,False,True,True,
`E,0.0,True,False,False,True,True,
`r,0.0,True,False,False,True,True,
`;,0.0,False,False,False,True,True,
`(,0.0,False,False,False,True,False,
`7,0.0,False,False,False,True,False,
`^,0.0,False,False,False,True,False,
`L,0.0,False,False,False,True,True,
`N,0.0,False,False,False,True,False,
`q,0.0,True,False,True,True,True,
`l,0.0,False,False,False,True,True,
`6,0.0,False,False,False,True,False,
`d,0.0,True,False,False,True,True,
`),0.0,False,False,False,True,False,
`I,0.0,False,False,False,True,True,
`@,0.0,True,False,False,True,False,
`!,0.0,True,False,True,True,False,
`T,0.0,True,False,False,True,True,
`Z,0.0,True,False,True,True,False,
`D,0.0,True,False,False,True,True,
`8,0.0,False,False,False,True,False,
`e,0.0,True,False,False,True,True,
`c,0.0,True,False,False,True,False,
`M,0.0,False,False,False,True,False,
`b,0.0,True,False,False,True,False,
`y,0.0,False,False,False,True,True,
`_,0.0,False,False,False,True,False,
`<,0.0,False,False,False,True,False,
`O,0.0,False,False,False,True,True,
`\,0.0,False,False,False,True,True,
`s,0.0,True,False,False,True,True,
`/,0.0,False,False,False,True,False,
"`""",0.0,False,False,False,True,True,
`C,0.0,True,False,False,True,False,
`],0.0,False,False,False,True,True,
`+,0.0,False,False,False,True,False,
`m,0.0,False,False,False,True,False,
`P,0.0,False,False,False,True,True,
`a,0.0,True,False,True,True,True,
`X,0.0,True,False,False,True,False,
`$,0.0,True,False,False,True,False,
`:,0.0,False,False,False,True,True,
"`,",0.0,False,False,False,True,False,
`g,0.0,True,False,False,True,True,
`x,0.0,True,False,False,True,False,
`S,0.0,True,False,False,True,True,
`~,0.0,True,True,True,True,False,
`B,0.0,True,False,False,True,False,
`j,0.0,False,False,False,True,True,
`?,0.0,False,False,False,True,False,
`4,0.0,True,False,False,True,False,
`0,0.0,False,False,False,True,False,
`F,0.0,True,False,False,True,True,
`p,0.0,False,False,False,True,True,
`-,0.0,False,False,False,True,False,
`J,0.0,False,False,False,True,True,
`f,0.0,True,False,False,True,True,
`u,0.0,False,False,False,True,True,
`W,0.0,True,False,False,True,True,
`w,0.0,True,False,False,True,True,
`A,0.0,True,False,True,True,True,
`2,0.0,True,False,False,True,False,
`1,0.0,True,False,True,True,False,
`&,0.0,False,False,False,True,False,
`i,0.0,False,False,False,True,True,
`.,0.0,False,False,False,True,False,
`V,0.0,True,False,False,True,False,
`>,0.0,False,False,False,True,False,
9K,0.0,True,False,False,True,True,
9',0.0,True,False,False,True,True,
9Y,0.0,True,False,False,True,True,
9z,0.0,False,False,False,True,False,
9H,0.0,True,False,False,True,True,
9t,0.0,False,False,False,True,True,
9`,0.0,False,False,False,True,False,
9o,0.0,True,False,True,True,True,
9Q,0.0,False,False,False,True,True,
9h,0.0,True,False,False,True,True,
9U,0.0,True,False,False,True,True,
9*,0.0,True,False,False,True,False,
9%,0.0,False,False,False,True,False,
9},0.0,True,False,False,True,True,
93,0.0,False,False,False,True,False,
9v,0.0,False,False,False,True,False,
9=,0.0,True,False,False,True,False,
9#,0.0,False,False,False,True,False,
9R,0.0,False,False,False,True,True,
9{,0.0,True,False,False,True,True,
9n,0.0,True,False,False,True,False,
9|,0.0,True,False,False,True,True,
95,0.0,False,False,False,True,False,
9[,0.0,True,False,False,True,True,
9G,0.0,False,False,False,True,True,
9k,0.0,True,False,False,True,True,
9E,0.0,False,False,False,True,True,
9r,0.0,False,False,False,True,True,
9;,0.0,True,False,False,True,True,
9(,0.0,True,True,True,True,False,
97,0.0,True,False,False,True,False,
9^,0.0,True,False,False,True,False,
9L,0.0,True,False,True,True,True,
9N,0.0,True,False,False,True,False,
9q,0.0,False,False,False,True,True,
9l,0.0,True,False,True,True,True,
96,0.0,True,False,False,True,False,
9d,0.0,False,False,False,True,True,
9),0.0,True,False,False,True,False,
9I,0.0,True,False,False,True,True,
9@,0.0,False,False,False,True,False,
9!,0.0,False,False,False,True,False,
9T,0.0,False,False,False,True,True,
9Z,0.0,False,False,False,True,False,
9D,0.0,False,False,False,True,True,
98,0.0,True,False,False,True,False,
9e,0.0,False,False,False,True,True,
9c,0.0,False,False,False,True,False,
9M,0.0,True,False,False,True,False,
9b,0.0,False,False,False,True,False,
9y,0.0,True,False,False,True,True,
9_,0.0,True,False,False,True,False,
9<,0.0,True,False,False,True,False,
9O,0.0,True,False,True,True,True,
9\,0.0,True,False,False,True,True,
9s,0.0,False,False,False,True,True,
9/,0.0,True,False,False,True,False,
"9""",0.0,True,False,False,True,True,
9C,0.0,False,False,False,True,False,
9],0.0,True,False,False,True,True,
9+,0.0,True,False,False,True,False,
9m,0.0,True,False,False,True,False,
9P,0.0,True,False,False,True,True,
9a,0.0,False,False,False,True,True,
9X,0.0,False,False,False,True,False,
9$,0.0,False,False,False,True,False,
9:,0.0,True,False,False,True,True,
"9,",0.0,True,False,False,True,False,
9g,0.0,False,False,False,True,True,
9x,0.0,False,False,False,True,False,
9S,0.0,False,False,False,True,True,
9~,0.0,False,False,False,True,False,
9B,0.0,False,False,False,True,False,
9j,0.0,True,False,False,True,True,
9?,0.0,True,False,False,True,False,
94,0.0,False,False,False,True,False,
90,0.0,True,False,False,True,False,
9F,0.0,False,False,False,True,True,
9p,0.0,True,False,False,True,True,
9-,0.0,True,False,False,True,False,
9J,0.0,True,False,False,True,True,
