,Distance,SameHand,SameKey,SameFinger,Reach,Hurde,Frequency
A/,0.0,False,False,False,True,False,
Aw,0.0,True,False,False,True,True,62.0
A;,0.0,False,False,False,True,False,
AH,0.0,False,False,False,True,False,
A_,0.0,False,False,False,True,True,
"A,",0.0,False,False,False,True,False,
AL,0.0,False,False,False,True,False,
AQ,0.0,True,False,True,True,True,
A@,0.0,True,False,False,True,True,
A2,0.0,True,False,False,True,True,
A=,0.0,False,False,False,True,True,
At,0.0,True,False,False,True,True,108.0
Ax,0.0,True,False,False,True,False,10.0
A],0.0,False,False,False,True,True,
A),0.0,False,False,False,True,True,
A',0.0,False,False,False,True,False,
A4,0.0,True,False,False,True,True,
Ad,0.0,True,False,False,True,False,55.0
A(,0.0,False,False,False,True,True,
A?,0.0,False,False,False,True,False,
A8,0.0,False,False,False,True,True,
A<,0.0,False,False,False,True,False,
AW,0.0,True,False,False,True,True,
Ai,0.0,False,False,False,True,True,141.0
Aq,0.0,True,False,True,True,True,11.0
AN,0.0,False,False,False,True,False,1.0
Ap,0.0,False,False,False,True,True,444.0
A7,0.0,False,False,False,True,True,
Az,0.0,True,False,True,True,False,125.0
A|,0.0,False,False,False,True,True,
AS,0.0,True,False,False,True,False,8.0
AK,0.0,False,False,False,True,False,116.0
A},0.0,False,False,False,True,True,
AU,0.0,False,False,False,True,True,215.0
AB,0.0,True,False,False,True,False,
A[,0.0,False,False,False,True,True,
AC,0.0,True,False,False,True,False,18.0
A{,0.0,False,False,False,True,True,
AD,0.0,True,False,False,True,False,
A#,0.0,True,False,False,True,True,
Ac,0.0,True,False,False,True,False,1.0
A>,0.0,False,False,False,True,False,
Ag,0.0,True,False,False,True,False,89.0
AF,0.0,True,False,False,True,False,
As,0.0,True,False,False,True,False,89.0
Ay,0.0,False,False,False,True,True,2.0
AX,0.0,True,False,False,True,False,
AY,0.0,False,False,False,True,True,
A!,0.0,True,False,True,True,True,
AJ,0.0,False,False,False,True,False,
Ab,0.0,True,False,False,True,False,251.0
Aa,0.0,True,True,True,True,False,
AI,0.0,False,False,False,True,True,
AV,0.0,True,False,False,True,False,
AT,0.0,True,False,False,True,True,41.0
Av,0.0,True,False,False,True,False,
Ak,0.0,False,False,False,True,False,19.0
A1,0.0,True,False,True,True,True,
A$,0.0,True,False,False,True,True,
Ae,0.0,True,False,False,True,True,
AM,0.0,False,False,False,True,False,
A`,0.0,True,False,True,True,True,
A-,0.0,False,False,False,True,True,
A3,0.0,True,False,False,True,True,
AR,0.0,True,False,False,True,True,2.0
A^,0.0,False,False,False,True,True,
AE,0.0,True,False,False,True,True,
AZ,0.0,True,False,True,True,False,12.0
An,0.0,False,False,False,True,False,176.0
A.,0.0,False,False,False,True,False,
A~,0.0,True,False,True,True,True,
AP,0.0,False,False,False,True,True,
A9,0.0,False,False,False,True,True,
A+,0.0,False,False,False,True,True,
Aj,0.0,False,False,False,True,False,98.0
AG,0.0,True,False,False,True,False,98.0
A*,0.0,False,False,False,True,True,
Al,0.0,False,False,False,True,False,137.0
Af,0.0,True,False,False,True,False,110.0
A&,0.0,False,False,False,True,True,
A%,0.0,True,False,False,True,True,
A0,0.0,False,False,False,True,True,
Am,0.0,False,False,False,True,False,71.0
AO,0.0,False,False,False,True,True,
A5,0.0,True,False,False,True,True,
Ar,0.0,True,False,False,True,True,111.0
A:,0.0,False,False,False,True,False,
"""u",0.0,True,False,False,True,True,1.0
"""\",0.0,True,False,True,True,True,
"""A",0.0,False,False,False,True,False,22.0
"""6",0.0,True,False,False,True,True,
"""h",0.0,True,False,False,True,False,24.0
"""o",0.0,True,False,False,True,True,65.0
"""/",0.0,True,False,True,True,False,
"""w",0.0,False,False,False,True,True,30.0
""";",0.0,True,False,True,True,False,1.0
"""H",0.0,True,False,False,True,False,
"""_",0.0,True,False,True,True,True,
""",",0.0,True,False,False,True,False,21.0
"""L",0.0,True,False,False,True,False,
"""Q",0.0,False,False,False,True,True,
"""@",0.0,False,False,False,True,True,4.0
"""2",0.0,False,False,False,True,True,
"""=",0.0,True,False,True,True,True,
"""t",0.0,False,False,False,True,True,48.0
"""x",0.0,False,False,False,True,False,17.0
"""]",0.0,True,False,True,True,True,
""")",0.0,True,False,True,True,True,
"""'",0.0,True,True,True,True,False,1.0
"""4",0.0,False,False,False,True,True,
"""d",0.0,False,False,False,True,False,32.0
"""(",0.0,True,False,False,True,True,
"""?",0.0,True,False,True,True,False,1.0
"""8",0.0,True,False,False,True,True,
"""<",0.0,True,False,False,True,False,
"""W",0.0,False,False,False,True,True,
"""i",0.0,True,False,False,True,True,28.0
"""q",0.0,False,False,False,True,True,15.0
"""N",0.0,True,False,False,True,False,
"""p",0.0,True,False,True,True,True,50.0
"""7",0.0,True,False,False,True,True,
"""z",0.0,False,False,False,True,False,11.0
"""|",0.0,True,False,True,True,True,
"""S",0.0,False,False,False,True,False,10.0
"""K",0.0,True,False,False,True,False,11.0
"""}",0.0,True,False,True,True,True,
"""U",0.0,True,False,False,True,True,
"""B",0.0,False,False,False,True,False,
"""[",0.0,True,False,True,True,True,
"""C",0.0,False,False,False,True,False,2.0
"""{",0.0,True,False,True,True,True,
"""D",0.0,False,False,False,True,False,15.0
"""#",0.0,False,False,False,True,True,
"""c",0.0,False,False,False,True,False,10.0
""">",0.0,True,False,False,True,False,
"""g",0.0,False,False,False,True,False,18.0
"""F",0.0,False,False,False,True,False,
"""s",0.0,False,False,False,True,False,65.0
"""y",0.0,True,False,False,True,True,
"""X",0.0,False,False,False,True,False,
"""Y",0.0,True,False,False,True,True,
"""!",0.0,False,False,False,True,True,7.0
"""J",0.0,True,False,False,True,False,
"""b",0.0,False,False,False,True,False,44.0
"""a",0.0,False,False,False,True,False,173.0
"""I",0.0,True,False,False,True,True,
"""V",0.0,False,False,False,True,False,
"""T",0.0,False,False,False,True,True,5.0
"""v",0.0,False,False,False,True,False,4.0
"""k",0.0,True,False,False,True,False,135.0
"""1",0.0,False,False,False,True,True,
"""$",0.0,False,False,False,True,True,
"""e",0.0,False,False,False,True,True,21.0
"""M",0.0,True,False,False,True,False,
"""`",0.0,False,False,False,True,True,
"""-",0.0,True,False,True,True,True,
"""3",0.0,False,False,False,True,True,
"""R",0.0,False,False,False,True,True,
"""^",0.0,True,False,False,True,True,1.0
"""E",0.0,False,False,False,True,True,
"""Z",0.0,False,False,False,True,False,5.0
"""n",0.0,True,False,False,True,False,49.0
""".",0.0,True,False,False,True,False,61.0
"""~",0.0,False,False,False,True,True,
"""P",0.0,True,False,True,True,True,
"""9",0.0,True,False,False,True,True,
"""+",0.0,True,False,True,True,True,
"""j",0.0,True,False,False,True,False,37.0
"""G",0.0,False,False,False,True,False,2.0
"""*",0.0,True,False,False,True,True,
"""l",0.0,True,False,False,True,False,28.0
"""f",0.0,False,False,False,True,False,23.0
"""&",0.0,True,False,False,True,True,1.0
"""%",0.0,False,False,False,True,True,
"""0",0.0,True,False,True,True,True,
"""m",0.0,True,False,False,True,False,118.0
"""O",0.0,True,False,False,True,True,
"""5",0.0,False,False,False,True,True,
"""r",0.0,False,False,False,True,True,26.0
""":",0.0,True,False,True,True,False,1.0
6u,0.0,True,False,True,True,True,
6\,0.0,True,False,False,True,True,
6A,0.0,False,False,False,True,True,
"6""",0.0,True,False,False,True,True,
6h,0.0,True,False,True,True,True,
6o,0.0,True,False,False,True,True,
6/,0.0,True,False,False,True,False,
6w,0.0,False,False,False,True,True,
6;,0.0,True,False,False,True,True,
6H,0.0,True,False,True,True,True,
6_,0.0,True,False,False,True,False,
"6,",0.0,True,False,False,True,False,
6L,0.0,True,False,False,True,True,
6Q,0.0,False,False,False,True,True,
6@,0.0,False,False,False,True,False,
62,0.0,False,False,False,True,False,
6=,0.0,True,False,False,True,False,
6t,0.0,False,False,False,True,True,
6x,0.0,False,False,False,True,False,
6],0.0,True,False,False,True,True,
6),0.0,True,False,False,True,False,
6',0.0,True,False,False,True,True,
64,0.0,False,False,False,True,False,
6d,0.0,False,False,False,True,True,
6(,0.0,True,False,False,True,False,
6?,0.0,True,False,False,True,False,
68,0.0,True,False,False,True,False,
6<,0.0,True,False,False,True,False,
6W,0.0,False,False,False,True,True,
6i,0.0,True,False,False,True,True,
6q,0.0,False,False,False,True,True,
6N,0.0,True,False,True,True,False,
6p,0.0,True,False,False,True,True,
67,0.0,True,False,True,True,False,
6z,0.0,False,False,False,True,False,
6|,0.0,True,False,False,True,True,
6S,0.0,False,False,False,True,True,
6K,0.0,True,False,False,True,True,
6},0.0,True,False,False,True,True,
6U,0.0,True,False,True,True,True,
6B,0.0,False,False,False,True,False,
6[,0.0,True,False,False,True,True,
6C,0.0,False,False,False,True,False,
6{,0.0,True,False,False,True,True,
6D,0.0,False,False,False,True,True,
6#,0.0,False,False,False,True,False,
6c,0.0,False,False,False,True,False,
6>,0.0,True,False,False,True,False,
6g,0.0,False,False,False,True,True,
6F,0.0,False,False,False,True,True,
6s,0.0,False,False,False,True,True,
6y,0.0,True,False,True,True,True,
6X,0.0,False,False,False,True,False,
6Y,0.0,True,False,True,True,True,
6!,0.0,False,False,False,True,False,
6J,0.0,True,False,True,True,True,
6b,0.0,False,False,False,True,False,
6a,0.0,False,False,False,True,True,
6I,0.0,True,False,False,True,True,
6V,0.0,False,False,False,True,False,
6T,0.0,False,False,False,True,True,
6v,0.0,False,False,False,True,False,
6k,0.0,True,False,False,True,True,
61,0.0,False,False,False,True,False,
6$,0.0,False,False,False,True,False,
6e,0.0,False,False,False,True,True,
6M,0.0,True,False,True,True,False,
6`,0.0,False,False,False,True,False,
6-,0.0,True,False,False,True,False,
63,0.0,False,False,False,True,False,
6R,0.0,False,False,False,True,True,
6^,0.0,True,True,True,True,False,
6E,0.0,False,False,False,True,True,
6Z,0.0,False,False,False,True,False,
6n,0.0,True,False,True,True,False,
6.,0.0,True,False,False,True,False,
6~,0.0,False,False,False,True,False,
6P,0.0,True,False,False,True,True,
69,0.0,True,False,False,True,False,
6+,0.0,True,False,False,True,False,
6j,0.0,True,False,True,True,True,
6G,0.0,False,False,False,True,True,
6*,0.0,True,False,False,True,False,
6l,0.0,True,False,False,True,True,
6f,0.0,False,False,False,True,True,
6&,0.0,True,False,True,True,False,
6%,0.0,False,False,False,True,False,
60,0.0,True,False,False,True,False,
6m,0.0,True,False,True,True,False,
6O,0.0,True,False,False,True,True,
65,0.0,False,False,False,True,False,
6r,0.0,False,False,False,True,True,
6:,0.0,True,False,False,True,True,
hu,0.0,True,False,True,True,True,
h\,0.0,True,False,False,True,True,
hA,0.0,False,False,False,True,False,15.0
"h""",0.0,True,False,False,True,False,6.0
h6,0.0,True,False,True,True,True,
ho,0.0,True,False,False,True,True,107.0
h/,0.0,True,False,False,True,False,
hw,0.0,False,False,False,True,True,147.0
h;,0.0,True,False,False,True,False,
hH,0.0,True,True,True,True,False,
h_,0.0,True,False,False,True,True,
"h,",0.0,True,False,False,True,False,14.0
hL,0.0,True,False,False,True,False,
hQ,0.0,False,False,False,True,True,
h@,0.0,False,False,False,True,True,
h2,0.0,False,False,False,True,True,
h=,0.0,True,False,False,True,True,
ht,0.0,False,False,False,True,True,216.0
hx,0.0,False,False,False,True,False,29.0
h],0.0,True,False,False,True,True,
h),0.0,True,False,False,True,True,
h',0.0,True,False,False,True,False,
h4,0.0,False,False,False,True,True,
hd,0.0,False,False,False,True,False,283.0
h(,0.0,True,False,False,True,True,
h?,0.0,True,False,False,True,False,
h8,0.0,True,False,False,True,True,
h<,0.0,True,False,False,True,False,
hW,0.0,False,False,False,True,True,
hi,0.0,True,False,False,True,True,395.0
hq,0.0,False,False,False,True,True,219.0
hN,0.0,True,False,True,True,False,
hp,0.0,True,False,False,True,True,35.0
h7,0.0,True,False,True,True,True,
hz,0.0,False,False,False,True,False,8.0
h|,0.0,True,False,False,True,True,
hS,0.0,False,False,False,True,False,254.0
hK,0.0,True,False,False,True,False,4.0
h},0.0,True,False,False,True,True,
hU,0.0,True,False,True,True,True,1.0
hB,0.0,False,False,False,True,False,
h[,0.0,True,False,False,True,True,
hC,0.0,False,False,False,True,False,24.0
h{,0.0,True,False,False,True,True,
hD,0.0,False,False,False,True,False,
h#,0.0,False,False,False,True,True,1.0
hc,0.0,False,False,False,True,False,5.0
h>,0.0,True,False,False,True,False,
hg,0.0,False,False,False,True,False,3.0
hF,0.0,False,False,False,True,False,
hs,0.0,False,False,False,True,False,331.0
hy,0.0,True,False,True,True,True,7.0
hX,0.0,False,False,False,True,False,
hY,0.0,True,False,True,True,True,
h!,0.0,False,False,False,True,True,
hJ,0.0,True,False,True,True,False,177.0
hb,0.0,False,False,False,True,False,233.0
ha,0.0,False,False,False,True,False,934.0
hI,0.0,True,False,False,True,True,
hV,0.0,False,False,False,True,False,4.0
hT,0.0,False,False,False,True,True,1.0
hv,0.0,False,False,False,True,False,34.0
hk,0.0,True,False,False,True,False,479.0
h1,0.0,False,False,False,True,True,
h$,0.0,False,False,False,True,True,
he,0.0,False,False,False,True,True,7.0
hM,0.0,True,False,True,True,False,
h`,0.0,False,False,False,True,True,
h-,0.0,True,False,False,True,True,
h3,0.0,False,False,False,True,True,
hR,0.0,False,False,False,True,True,
h^,0.0,True,False,True,True,True,2.0
hE,0.0,False,False,False,True,True,
hZ,0.0,False,False,False,True,False,3.0
hn,0.0,True,False,True,True,False,83.0
h.,0.0,True,False,False,True,False,1.0
h~,0.0,False,False,False,True,True,
hP,0.0,True,False,False,True,True,
h9,0.0,True,False,False,True,True,
h+,0.0,True,False,False,True,True,
hj,0.0,True,False,True,True,False,73.0
hG,0.0,False,False,False,True,False,2.0
h*,0.0,True,False,False,True,True,
hl,0.0,True,False,False,True,False,180.0
hf,0.0,False,False,False,True,False,88.0
h&,0.0,True,False,True,True,True,2.0
h%,0.0,False,False,False,True,True,1.0
h0,0.0,True,False,False,True,True,
hm,0.0,True,False,True,True,False,776.0
hO,0.0,True,False,False,True,True,
h5,0.0,False,False,False,True,True,
hr,0.0,False,False,False,True,True,324.0
h:,0.0,True,False,False,True,False,1.0
ou,0.0,True,False,False,True,False,5.0
o\,0.0,True,False,False,True,False,
oA,0.0,False,False,False,True,True,201.0
"o""",0.0,True,False,False,True,True,75.0
o6,0.0,True,False,False,True,True,
oh,0.0,True,False,False,True,True,153.0
o/,0.0,True,False,False,True,False,4.0
ow,0.0,False,False,False,True,False,4218.0
o;,0.0,True,False,False,True,True,1.0
oH,0.0,True,False,False,True,True,3.0
o_,0.0,True,False,False,True,True,
"o,",0.0,True,False,False,True,False,126.0
oL,0.0,True,False,True,True,True,
oQ,0.0,False,False,False,True,False,
o@,0.0,False,False,False,True,True,32.0
o2,0.0,False,False,False,True,True,
o=,0.0,True,False,False,True,True,
ot,0.0,False,False,False,True,False,1105.0
ox,0.0,False,False,False,True,False,232.0
o],0.0,True,False,False,True,False,
o),0.0,True,False,False,True,True,
o',0.0,True,False,False,True,True,2.0
o4,0.0,False,False,False,True,True,
od,0.0,False,False,False,True,True,639.0
o(,0.0,True,False,True,True,True,5.0
o?,0.0,True,False,False,True,False,
o8,0.0,True,False,False,True,True,
o<,0.0,True,False,False,True,False,
oW,0.0,False,False,False,True,False,
oi,0.0,True,False,False,True,False,3715.0
oq,0.0,False,False,False,True,False,160.0
oN,0.0,True,False,False,True,False,1.0
op,0.0,True,False,False,True,False,301.0
o7,0.0,True,False,False,True,True,
oz,0.0,False,False,False,True,False,298.0
o|,0.0,True,False,False,True,False,1.0
oS,0.0,False,False,False,True,True,105.0
oK,0.0,True,False,False,True,True,155.0
o},0.0,True,False,False,True,False,
oU,0.0,True,False,False,True,False,3.0
oB,0.0,False,False,False,True,False,
o[,0.0,True,False,False,True,False,
oC,0.0,False,False,False,True,False,10.0
o{,0.0,True,False,False,True,False,
oD,0.0,False,False,False,True,True,36.0
o#,0.0,False,False,False,True,True,6.0
oc,0.0,False,False,False,True,False,133.0
o>,0.0,True,False,True,True,False,
og,0.0,False,False,False,True,True,112.0
oF,0.0,False,False,False,True,True,
os,0.0,False,False,False,True,True,748.0
oy,0.0,True,False,False,True,False,4224.0
oX,0.0,False,False,False,True,False,1.0
oY,0.0,True,False,False,True,False,
o!,0.0,False,False,False,True,True,78.0
oJ,0.0,True,False,False,True,True,21.0
ob,0.0,False,False,False,True,False,708.0
oa,0.0,False,False,False,True,True,3042.0
oI,0.0,True,False,False,True,False,
oV,0.0,False,False,False,True,False,9.0
oT,0.0,False,False,False,True,False,66.0
ov,0.0,False,False,False,True,False,50.0
ok,0.0,True,False,False,True,True,1498.0
o1,0.0,False,False,False,True,True,
o$,0.0,False,False,False,True,True,6.0
oe,0.0,False,False,False,True,False,304.0
oM,0.0,True,False,False,True,False,
o`,0.0,False,False,False,True,True,
o-,0.0,True,False,False,True,True,4.0
o3,0.0,False,False,False,True,True,
oR,0.0,False,False,False,True,False,3.0
o^,0.0,True,False,False,True,True,6.0
oE,0.0,False,False,False,True,False,
oZ,0.0,False,False,False,True,False,90.0
on,0.0,True,False,False,True,False,1120.0
o.,0.0,True,False,True,True,False,34.0
o~,0.0,False,False,False,True,True,
oP,0.0,True,False,False,True,False,
o9,0.0,True,False,True,True,True,
o+,0.0,True,False,False,True,True,
oj,0.0,True,False,False,True,True,401.0
oG,0.0,False,False,False,True,True,33.0
o*,0.0,True,False,False,True,True,5.0
ol,0.0,True,False,True,True,True,817.0
of,0.0,False,False,False,True,True,163.0
o&,0.0,True,False,False,True,True,7.0
o%,0.0,False,False,False,True,True,5.0
o0,0.0,True,False,False,True,True,
om,0.0,True,False,False,True,False,1557.0
oO,0.0,True,True,True,True,False,
o5,0.0,False,False,False,True,True,
or,0.0,False,False,False,True,False,1298.0
o:,0.0,True,False,False,True,True,41.0
/u,0.0,True,False,False,True,False,
/\,0.0,True,False,True,True,False,
/A,0.0,False,False,False,True,False,
"/""",0.0,True,False,True,True,False,
/6,0.0,True,False,False,True,False,
/h,0.0,True,False,False,True,False,
/o,0.0,True,False,False,True,False,
/w,0.0,False,False,False,True,False,
/;,0.0,True,False,True,True,False,
/H,0.0,True,False,False,True,False,
/_,0.0,True,False,True,True,False,
"/,",0.0,True,False,False,False,False,
/L,0.0,True,False,False,True,False,
/Q,0.0,False,False,False,True,False,
/@,0.0,False,False,False,True,False,
/2,0.0,False,False,False,True,False,
/=,0.0,True,False,True,True,False,
/t,0.0,False,False,False,True,False,
/x,0.0,False,False,False,False,False,
/],0.0,True,False,True,True,False,
/),0.0,True,False,True,True,False,
/',0.0,True,False,True,True,False,
/4,0.0,False,False,False,True,False,
/d,0.0,False,False,False,True,False,2.0
/(,0.0,True,False,False,True,False,
/?,0.0,True,True,True,False,False,
/8,0.0,True,False,False,True,False,
/<,0.0,True,False,False,False,False,
/W,0.0,False,False,False,True,False,
/i,0.0,True,False,False,True,False,
/q,0.0,False,False,False,True,False,1.0
/N,0.0,True,False,False,False,False,
/p,0.0,True,False,True,True,False,
/7,0.0,True,False,False,True,False,
/z,0.0,False,False,False,False,False,1.0
/|,0.0,True,False,True,True,False,
/S,0.0,False,False,False,True,False,
/K,0.0,True,False,False,True,False,
/},0.0,True,False,True,True,False,
/U,0.0,True,False,False,True,False,
/B,0.0,False,False,False,False,False,
/[,0.0,True,False,True,True,False,
/C,0.0,False,False,False,False,False,
/{,0.0,True,False,True,True,False,
/D,0.0,False,False,False,True,False,
/#,0.0,False,False,False,True,False,
/c,0.0,False,False,False,False,False,2.0
/>,0.0,True,False,False,False,False,
/g,0.0,False,False,False,True,False,
/F,0.0,False,False,False,True,False,
/s,0.0,False,False,False,True,False,2.0
/y,0.0,True,False,False,True,False,
/X,0.0,False,False,False,False,False,
/Y,0.0,True,False,False,True,False,
/!,0.0,False,False,False,True,False,9.0
/J,0.0,True,False,False,True,False,
/b,0.0,False,False,False,False,False,6.0
/a,0.0,False,False,False,True,False,2.0
/I,0.0,True,False,False,True,False,
/V,0.0,False,False,False,False,False,
/T,0.0,False,False,False,True,False,
/v,0.0,False,False,False,False,False,
/k,0.0,True,False,False,True,False,
/1,0.0,False,False,False,True,False,
/$,0.0,False,False,False,True,False,1.0
/e,0.0,False,False,False,True,False,1.0
/M,0.0,True,False,False,False,False,
/`,0.0,False,False,False,True,False,
/-,0.0,True,False,True,True,False,
/3,0.0,False,False,False,True,False,
/R,0.0,False,False,False,True,False,
/^,0.0,True,False,False,True,False,
/E,0.0,False,False,False,True,False,
/Z,0.0,False,False,False,False,False,
/n,0.0,True,False,False,False,False,1.0
/.,0.0,True,False,False,False,False,
/~,0.0,False,False,False,True,False,
/P,0.0,True,False,True,True,False,
/9,0.0,True,False,False,True,False,
/+,0.0,True,False,True,True,False,
/j,0.0,True,False,False,True,False,3.0
