,SameHand,SameFinger,SameKey,Reach,Hurdle,Press_L_Little,Press_L_Ring,Press_L_Middle,Press_L_Index,Press_R_Little,Press_R_Ring,Press_R_Middle,Press_R_Index,Dist_L_Little,Dist_L_Ring,Dist_L_Middle,Dist_L_Index,Dist_R_Little,Dist_R_Ring,Dist_R_Middle,Dist_R_Index,Frequency,Keyboard
s`,1,0,0,1,0,1,0,0,0,0,0,0,0,4.916332194510744,0.038,0.0,0.0,0.0,0.0,0.0,0.0,0,CRULP
s(,0,0,0,1,0,1,0,0,0,0,1,0,0,2.81615136376692,0.038,0.0,0.0,0.0,3.9833295172900325,0.0,0.0,1,CRULP
s[,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0,0.038,0.0,0.0,2.435524765252697,0.0,0.0,0.0,0,CRULP
s#,1,0,0,1,0,0,0,1,0,1,0,0,0,0.0,0.038,3.975162683964177,0.0,4.913,0.0,0.0,0.0,0,CRULP
s+,0,0,0,1,0,1,0,0,0,1,0,0,0,2.81615136376692,0.038,0.0,0.0,4.265957544725349,0.0,0.0,0.0,0,CRULP
s?,0,0,0,1,0,1,0,0,0,1,0,0,0,2.81615136376692,0.038,0.0,0.0,2.1287534527055074,0.0,0.0,0.0,0,CRULP
s-,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0,0.038,0.0,0.0,3.8110127219504575,0.0,0.0,0.0,0,CRULP
sx,1,1,0,1,0,0,1,0,0,0,0,0,0,0.0,2.1667534527055072,0.0,0.0,0.0,0.0,0.0,0.0,45,CRULP
s',0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.038,0.0,0.0,1.913,0.0,0.0,0.0,2,CRULP
st,1,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0.038,0.0,2.435524765252697,0.0,0.0,0.0,0.0,2067,CRULP
s\,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0,0.038,0.0,0.0,6.05448776280647,0.0,0.0,0.0,0,CRULP
sq,1,0,0,1,0,1,0,0,0,0,0,0,0,1.9208170383762733,0.038,0.0,0.0,0.0,0.0,0.0,0.0,95,CRULP
s;,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.038,0.0,0.0,0.038,0.0,0.0,0.0,1,CRULP
s^,0,0,0,1,0,1,0,0,0,0,0,0,1,2.81615136376692,0.038,0.0,0.0,0.0,0.0,0.0,4.916332194510744,0,CRULP
sg,1,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.038,0.0,1.913,0.0,0.0,0.0,0.0,47,CRULP
sT,1,0,0,1,0,0,0,0,1,1,0,0,0,0.0,0.038,0.0,2.435524765252697,4.913,0.0,0.0,0.0,535,CRULP
sp,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0,0.038,0.0,0.0,1.9208170383762733,0.0,0.0,0.0,340,CRULP
sX,1,1,0,1,0,0,1,0,0,1,0,0,0,0.0,2.1667534527055072,0.0,0.0,4.913,0.0,0.0,0.0,0,CRULP
sL,0,0,0,0,0,1,0,0,0,0,1,0,0,2.81615136376692,0.038,0.0,0.0,0.0,0.038,0.0,0.0,0,CRULP
s4,1,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0.038,0.0,3.975162683964177,0.0,0.0,0.0,0.0,0,CRULP
sd,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.038,0.038,0.0,0.0,0.0,0.0,0.0,140,CRULP
s},0,0,0,1,0,1,0,0,0,1,0,0,0,2.81615136376692,0.038,0.0,0.0,3.908723446592381,0.0,0.0,0.0,0,CRULP
sw,1,1,0,1,0,0,1,0,0,0,0,0,0,0.0,1.9588170383762733,0.0,0.0,0.0,0.0,0.0,0.0,1207,CRULP
s0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0,0.038,0.0,0.0,3.975162683964177,0.0,0.0,0.0,0,CRULP
s1,1,0,0,1,0,1,0,0,0,0,0,0,0,3.975162683964177,0.038,0.0,0.0,0.0,0.0,0.0,0.0,0,CRULP
sQ,1,0,0,1,0,1,0,0,0,1,0,0,0,1.9208170383762733,0.038,0.0,0.0,4.913,0.0,0.0,0.0,0,CRULP
su,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.038,0.0,0.0,0.0,0.0,0.0,1.9208170383762733,0,CRULP
sv,1,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0.038,0.0,2.1287534527055074,0.0,0.0,0.0,0.0,215,CRULP
s$,1,0,0,1,0,0,0,0,1,1,0,0,0,0.0,0.038,0.0,3.975162683964177,4.913,0.0,0.0,0.0,0,CRULP
s%,1,0,0,1,0,0,0,0,1,1,0,0,0,0.0,0.038,0.0,3.80711793394688,4.913,0.0,0.0,0.0,1,CRULP
sP,0,0,0,1,0,1,0,0,0,1,0,0,0,2.81615136376692,0.038,0.0,0.0,1.9208170383762733,0.0,0.0,0.0,0,CRULP
s.,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0,0.038,0.0,0.0,0.0,2.1287534527055074,0.0,0.0,12,CRULP
sF,1,0,0,0,0,0,0,0,1,1,0,0,0,0.0,0.038,0.0,0.038,4.913,0.0,0.0,0.0,0,CRULP
sZ,1,0,0,1,0,1,0,0,0,1,0,0,0,2.1287534527055074,0.038,0.0,0.0,4.913,0.0,0.0,0.0,2,CRULP
sz,1,0,0,1,0,1,0,0,0,0,0,0,0,2.1287534527055074,0.038,0.0,0.0,0.0,0.0,0.0,0.0,61,CRULP
s_,0,0,0,1,0,1,0,0,0,1,0,0,0,2.81615136376692,0.038,0.0,0.0,3.8110127219504575,0.0,0.0,0.0,0,CRULP
sD,1,0,0,0,0,0,0,1,0,1,0,0,0,0.0,0.038,0.038,0.0,4.913,0.0,0.0,0.0,18,CRULP
sB,1,0,0,1,0,0,0,0,1,1,0,0,0,0.0,0.038,0.0,3.4078108255508943,4.913,0.0,0.0,0.0,0,CRULP
sS,1,1,1,0,0,0,1,0,0,1,0,0,0,0.0,0.076,0.0,0.0,4.913,0.0,0.0,0.0,19,CRULP
s:,0,0,0,0,0,1,0,0,0,1,0,0,0,2.81615136376692,0.038,0.0,0.0,0.038,0.0,0.0,0.0,1,CRULP
s*,0,0,0,1,0,1,0,0,0,0,0,1,0,2.81615136376692,0.038,0.0,0.0,0.0,0.0,3.975162683964177,0.0,0,CRULP
sC,1,0,0,1,0,0,0,1,0,1,0,0,0,0.0,0.038,2.1287534527055074,0.0,4.913,0.0,0.0,0.0,1,CRULP
s>,0,0,0,1,0,1,0,0,0,0,1,0,0,2.81615136376692,0.038,0.0,0.0,0.0,2.1287534527055074,0.0,0.0,0,CRULP
s3,1,0,0,1,0,0,0,1,0,0,0,0,0,0.0,0.038,3.975162683964177,0.0,0.0,0.0,0.0,0.0,0,CRULP
sA,1,0,0,0,0,1,0,0,0,1,0,0,0,0.038,0.038,0.0,0.0,4.913,0.0,0.0,0.0,73,CRULP
sa,1,0,0,0,0,1,0,0,0,0,0,0,0,0.038,0.038,0.0,0.0,0.0,0.0,0.0,0.0,2292,CRULP
s5,1,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0.038,0.0,3.80711793394688,0.0,0.0,0.0,0.0,0,CRULP
sE,1,0,0,1,0,0,0,1,0,1,0,0,0,0.0,0.038,1.9208170383762733,0.0,4.913,0.0,0.0,0.0,0,CRULP
sG,1,0,0,0,0,0,0,0,1,1,0,0,0,0.0,0.038,0.0,1.913,4.913,0.0,0.0,0.0,4,CRULP
s7,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.038,0.0,0.0,0.0,0.0,0.0,3.975162683964177,0,CRULP
so,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0,0.038,0.0,0.0,0.0,1.9208170383762733,0.0,0.0,218,CRULP
s),0,0,0,1,0,1,0,0,0,1,0,0,0,2.81615136376692,0.038,0.0,0.0,3.975162683964177,0.0,0.0,0.0,0,CRULP
sR,1,0,0,1,0,0,0,0,1,1,0,0,0,0.0,0.038,0.0,1.9208170383762733,4.913,0.0,0.0,0.0,26,CRULP
sN,0,0,0,1,0,1,0,0,0,0,0,0,1,2.81615136376692,0.038,0.0,0.0,0.0,0.0,0.0,2.139933633585989,0,CRULP
s8,0,0,0,1,0,0,0,0,0,0,0,1,0,0.0,0.038,0.0,0.0,0.0,0.0,3.975162683964177,0.0,0,CRULP
s!,1,0,0,1,0,1,0,0,0,1,0,0,0,3.975162683964177,0.038,0.0,0.0,4.913,0.0,0.0,0.0,3,CRULP
sU,0,0,0,1,0,1,0,0,0,0,0,0,1,2.81615136376692,0.038,0.0,0.0,0.0,0.0,0.0,1.9208170383762733,12,CRULP
s~,1,0,0,1,0,1,0,0,0,1,0,0,0,4.916332194510744,0.038,0.0,0.0,4.913,0.0,0.0,0.0,0,CRULP
s@,1,1,0,1,0,0,1,0,0,1,0,0,0,0.0,4.013162683964177,0.0,0.0,4.913,0.0,0.0,0.0,3,CRULP
s|,0,0,0,1,0,1,0,0,0,1,0,0,0,2.81615136376692,0.038,0.0,0.0,6.05448776280647,0.0,0.0,0.0,0,CRULP
sM,0,0,0,1,0,1,0,0,0,0,0,0,1,2.81615136376692,0.038,0.0,0.0,0.0,0.0,0.0,2.1287534527055074,0,CRULP
sr,1,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0.038,0.0,1.9208170383762733,0.0,0.0,0.0,0.0,1085,CRULP
"s""",0,0,0,0,0,1,0,0,0,1,0,0,0,2.81615136376692,0.038,0.0,0.0,1.913,0.0,0.0,0.0,22,CRULP
si,0,0,0,1,0,0,0,0,0,0,0,1,0,0.0,0.038,0.0,0.0,0.0,0.0,1.9208170383762733,0.0,2280,CRULP
sn,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.038,0.0,0.0,0.0,0.0,0.0,2.139933633585989,921,CRULP
s],0,0,0,1,0,0,0,0,0,1,0,0,0,0.0,0.038,0.0,0.0,3.908723446592381,0.0,0.0,0.0,0,CRULP
s6,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.038,0.0,0.0,0.0,0.0,0.0,4.916332194510744,0,CRULP
sK,0,0,0,0,0,1,0,0,0,0,0,1,0,2.81615136376692,0.038,0.0,0.0,0.0,0.0,0.038,0.0,109,CRULP
sb,1,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0.038,0.0,3.4078108255508943,0.0,0.0,0.0,0.0,571,CRULP
sW,1,1,0,1,0,0,1,0,0,1,0,0,0,0.0,1.9588170383762733,0.0,0.0,4.913,0.0,0.0,0.0,0,CRULP
sI,0,0,0,1,0,1,0,0,0,0,0,1,0,2.81615136376692,0.038,0.0,0.0,0.0,0.0,1.9208170383762733,0.0,0,CRULP
sO,0,0,0,1,0,1,0,0,0,0,1,0,0,2.81615136376692,0.038,0.0,0.0,0.0,1.9208170383762733,0.0,0.0,0,CRULP
sy,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.038,0.0,0.0,0.0,0.0,0.0,2.9316352569043667,4046,CRULP
sY,0,0,0,1,0,1,0,0,0,0,0,0,1,2.81615136376692,0.038,0.0,0.0,0.0,0.0,0.0,2.9316352569043667,0,CRULP
sJ,0,0,0,0,0,1,0,0,0,0,0,0,1,2.81615136376692,0.038,0.0,0.0,0.0,0.0,0.0,0.038,5,CRULP
sj,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.038,0.0,0.0,0.0,0.0,0.0,0.038,173,CRULP
sV,1,0,0,1,0,0,0,0,1,1,0,0,0,0.0,0.038,0.0,2.1287534527055074,4.913,0.0,0.0,0.0,1,CRULP
s=,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0,0.038,0.0,0.0,4.265957544725349,0.0,0.0,0.0,0,CRULP
s2,1,1,0,1,0,0,1,0,0,0,0,0,0,0.0,4.013162683964177,0.0,0.0,0.0,0.0,0.0,0.0,0,CRULP
/s,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.038,0.0,0.0,2.1287534527055074,0.0,0.0,0.0,2,CRULP
//,1,1,1,1,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.076,0.0,0.0,0.0,0,CRULP
/&,1,0,0,1,1,1,0,0,0,0,0,0,1,2.81615136376692,0.0,0.0,0.0,2.1287534527055074,0.0,0.0,3.975162683964177,0,CRULP
/h,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,2.1287534527055074,0.0,0.0,1.913,0,CRULP
/k,1,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2.1287534527055074,0.0,0.038,0.0,0,CRULP
"/,",1,0,0,1,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2.1287534527055074,0.0,2.1287534527055074,0.0,0,CRULP
/c,0,0,0,1,0,0,0,1,0,0,0,0,0,0.0,0.0,2.1287534527055074,0.0,2.1287534527055074,0.0,0.0,0.0,2,CRULP
/f,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.038,2.1287534527055074,0.0,0.0,0.0,5,CRULP
/9,1,0,0,1,1,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,2.1287534527055074,3.9833295172900325,0.0,0.0,0,CRULP
/<,1,0,0,1,0,1,0,0,0,0,0,1,0,2.81615136376692,0.0,0.0,0.0,2.1287534527055074,0.0,2.1287534527055074,0.0,0,CRULP
/l,1,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,2.1287534527055074,0.038,0.0,0.0,1,CRULP
/m,1,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,2.1287534527055074,0.0,0.0,2.1287534527055074,0,CRULP
/H,1,0,0,0,0,1,0,0,0,0,0,0,1,2.81615136376692,0.0,0.0,0.0,2.1287534527055074,0.0,0.0,1.913,0,CRULP
/{,1,1,0,1,1,1,0,0,0,1,0,0,0,2.81615136376692,0.0,0.0,0.0,3.8490127219504573,0.0,0.0,0.0,0,CRULP
/e,0,0,0,1,0,0,0,1,0,0,0,0,0,0.0,0.0,1.9208170383762733,0.0,2.1287534527055074,0.0,0.0,0.0,1,CRULP
/`,0,0,0,1,0,1,0,0,0,0,0,0,0,4.916332194510744,0.0,0.0,0.0,2.1287534527055074,0.0,0.0,0.0,0,CRULP
/(,1,0,0,1,1,1,0,0,0,0,1,0,0,2.81615136376692,0.0,0.0,0.0,2.1287534527055074,3.9833295172900325,0.0,0.0,0,CRULP
/[,1,1,0,1,1,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,3.8490127219504573,0.0,0.0,0.0,0,CRULP
/#,0,0,0,1,0,0,0,1,0,1,0,0,0,0.0,0.0,3.975162683964177,0.0,7.041753452705508,0.0,0.0,0.0,0,CRULP
/+,1,1,0,1,1,1,0,0,0,1,0,0,0,2.81615136376692,0.0,0.0,0.0,5.778247363978522,0.0,0.0,0.0,0,CRULP
/?,1,1,1,1,0,1,0,0,0,1,0,0,0,2.81615136376692,0.0,0.0,0.0,0.076,0.0,0.0,0.0,0,CRULP
/-,1,1,0,1,1,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,5.68542287584026,0.0,0.0,0.0,0,CRULP
/x,0,0,0,1,0,0,1,0,0,0,0,0,0,0.0,2.1287534527055074,0.0,0.0,2.1287534527055074,0.0,0.0,0.0,0,CRULP
/',1,1,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,2.177933633585989,0.0,0.0,0.0,0,CRULP
/t,0,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,2.435524765252697,2.1287534527055074,0.0,0.0,0.0,0,CRULP
/\,1,1,0,1,1,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,6.151822989521667,0.0,0.0,0.0,0,CRULP
/q,0,0,0,1,0,1,0,0,0,0,0,0,0,1.9208170383762733,0.0,0.0,0.0,2.1287534527055074,0.0,0.0,0.0,1,CRULP
/;,1,1,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,2.1667534527055072,0.0,0.0,0.0,0,CRULP
/^,1,0,0,1,1,1,0,0,0,0,0,0,1,2.81615136376692,0.0,0.0,0.0,2.1287534527055074,0.0,0.0,4.916332194510744,0,CRULP
/g,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,1.913,2.1287534527055074,0.0,0.0,0.0,0,CRULP
/T,0,0,0,1,0,0,0,0,1,1,0,0,0,0.0,0.0,0.0,2.435524765252697,7.041753452705508,0.0,0.0,0.0,0,CRULP
/p,1,1,0,1,1,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,4.013162683964177,0.0,0.0,0.0,0,CRULP
/X,0,0,0,1,0,0,1,0,0,1,0,0,0,0.0,2.1287534527055074,0.0,0.0,7.041753452705508,0.0,0.0,0.0,0,CRULP
/L,1,0,0,0,0,1,0,0,0,0,1,0,0,2.81615136376692,0.0,0.0,0.0,2.1287534527055074,0.038,0.0,0.0,0,CRULP
/4,0,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,3.975162683964177,2.1287534527055074,0.0,0.0,0.0,0,CRULP
/d,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.038,0.0,2.1287534527055074,0.0,0.0,0.0,1,CRULP
/},1,1,0,1,1,1,0,0,0,1,0,0,0,2.81615136376692,0.0,0.0,0.0,4.548275707064582,0.0,0.0,0.0,0,CRULP
/w,0,0,0,1,0,0,1,0,0,0,0,0,0,0.0,1.9208170383762733,0.0,0.0,2.1287534527055074,0.0,0.0,0.0,0,CRULP
/0,1,1,0,1,1,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,6.09264358259653,0.0,0.0,0.0,0,CRULP
/1,0,0,0,1,0,1,0,0,0,0,0,0,0,3.975162683964177,0.0,0.0,0.0,2.1287534527055074,0.0,0.0,0.0,0,CRULP
/Q,0,0,0,1,0,1,0,0,0,1,0,0,0,1.9208170383762733,0.0,0.0,0.0,7.041753452705508,0.0,0.0,0.0,0,CRULP
/u,1,0,0,1,1,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,2.1287534527055074,0.0,0.0,1.9208170383762733,0,CRULP
/v,0,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,2.1287534527055074,2.1287534527055074,0.0,0.0,0.0,0,CRULP
/$,0,0,0,1,0,0,0,0,1,1,0,0,0,0.0,0.0,0.0,3.975162683964177,7.041753452705508,0.0,0.0,0.0,1,CRULP
/%,0,0,0,1,0,0,0,0,1,1,0,0,0,0.0,0.0,0.0,3.80711793394688,7.041753452705508,0.0,0.0,0.0,0,CRULP
/P,1,1,0,1,1,1,0,0,0,1,0,0,0,2.81615136376692,0.0,0.0,0.0,4.013162683964177,0.0,0.0,0.0,0,CRULP
/.,1,0,0,1,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,2.1287534527055074,2.1287534527055074,0.0,0.0,0,CRULP
/F,0,0,0,0,0,0,0,0,1,1,0,0,0,0.0,0.0,0.0,0.038,7.041753452705508,0.0,0.0,0.0,0,CRULP
/Z,0,0,0,1,0,1,0,0,0,1,0,0,0,2.1287534527055074,0.0,0.0,0.0,7.041753452705508,0.0,0.0,0.0,0,CRULP
/z,0,0,0,1,0,1,0,0,0,0,0,0,0,2.1287534527055074,0.0,0.0,0.0,2.1287534527055074,0.0,0.0,0.0,1,CRULP
/_,1,1,0,1,1,1,0,0,0,1,0,0,0,2.81615136376692,0.0,0.0,0.0,5.68542287584026,0.0,0.0,0.0,0,CRULP
/D,0,0,0,0,0,0,0,1,0,1,0,0,0,0.0,0.0,0.038,0.0,7.041753452705508,0.0,0.0,0.0,0,CRULP
/B,0,0,0,1,0,0,0,0,1,1,0,0,0,0.0,0.0,0.0,3.4078108255508943,7.041753452705508,0.0,0.0,0.0,0,CRULP
/S,0,0,0,0,0,0,1,0,0,1,0,0,0,0.0,0.038,0.0,0.0,7.041753452705508,0.0,0.0,0.0,0,CRULP
/:,1,1,0,0,0,1,0,0,0,1,0,0,0,2.81615136376692,0.0,0.0,0.0,2.1667534527055072,0.0,0.0,0.0,0,CRULP
/*,1,0,0,1,1,1,0,0,0,0,0,1,0,2.81615136376692,0.0,0.0,0.0,2.1287534527055074,0.0,3.975162683964177,0.0,3,CRULP
/C,0,0,0,1,0,0,0,1,0,1,0,0,0,0.0,0.0,2.1287534527055074,0.0,7.041753452705508,0.0,0.0,0.0,0,CRULP
/>,1,0,0,1,0,1,0,0,0,0,1,0,0,2.81615136376692,0.0,0.0,0.0,2.1287534527055074,2.1287534527055074,0.0,0.0,0,CRULP
/3,0,0,0,1,0,0,0,1,0,0,0,0,0,0.0,0.0,3.975162683964177,0.0,2.1287534527055074,0.0,0.0,0.0,0,CRULP
/A,0,0,0,0,0,1,0,0,0,1,0,0,0,0.038,0.0,0.0,0.0,7.041753452705508,0.0,0.0,0.0,0,CRULP
/a,0,0,0,0,0,1,0,0,0,0,0,0,0,0.038,0.0,0.0,0.0,2.1287534527055074,0.0,0.0,0.0,1,CRULP
/5,0,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,3.80711793394688,2.1287534527055074,0.0,0.0,0.0,0,CRULP
/E,0,0,0,1,0,0,0,1,0,1,0,0,0,0.0,0.0,1.9208170383762733,0.0,7.041753452705508,0.0,0.0,0.0,0,CRULP
/G,0,0,0,0,0,0,0,0,1,1,0,0,0,0.0,0.0,0.0,1.913,7.041753452705508,0.0,0.0,0.0,0,CRULP
/7,1,0,0,1,1,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,2.1287534527055074,0.0,0.0,3.975162683964177,0,CRULP
/o,1,0,0,1,1,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,2.1287534527055074,1.9208170383762733,0.0,0.0,2,CRULP
/),1,1,0,1,1,1,0,0,0,1,0,0,0,2.81615136376692,0.0,0.0,0.0,6.09264358259653,0.0,0.0,0.0,0,CRULP
/R,0,0,0,1,0,0,0,0,1,1,0,0,0,0.0,0.0,0.0,1.9208170383762733,7.041753452705508,0.0,0.0,0.0,0,CRULP
/N,1,0,0,1,0,1,0,0,0,0,0,0,1,2.81615136376692,0.0,0.0,0.0,2.1287534527055074,0.0,0.0,2.139933633585989,0,CRULP
/8,1,0,0,1,1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2.1287534527055074,0.0,3.975162683964177,0.0,0,CRULP
/!,0,0,0,1,0,1,0,0,0,1,0,0,0,3.975162683964177,0.0,0.0,0.0,7.041753452705508,0.0,0.0,0.0,9,CRULP
/U,1,0,0,1,1,1,0,0,0,0,0,0,1,2.81615136376692,0.0,0.0,0.0,2.1287534527055074,0.0,0.0,1.9208170383762733,0,CRULP
/~,0,0,0,1,0,1,0,0,0,1,0,0,0,4.916332194510744,0.0,0.0,0.0,7.041753452705508,0.0,0.0,0.0,0,CRULP
/@,0,0,0,1,0,0,1,0,0,1,0,0,0,0.0,3.975162683964177,0.0,0.0,7.041753452705508,0.0,0.0,0.0,0,CRULP
/|,1,1,0,1,1,1,0,0,0,1,0,0,0,2.81615136376692,0.0,0.0,0.0,6.151822989521667,0.0,0.0,0.0,0,CRULP
/M,1,0,0,1,0,1,0,0,0,0,0,0,1,2.81615136376692,0.0,0.0,0.0,2.1287534527055074,0.0,0.0,2.1287534527055074,0,CRULP
/r,0,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,1.9208170383762733,2.1287534527055074,0.0,0.0,0.0,0,CRULP
"/""",1,1,0,0,0,1,0,0,0,1,0,0,0,2.81615136376692,0.0,0.0,0.0,2.177933633585989,0.0,0.0,0.0,0,CRULP
/i,1,0,0,1,1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2.1287534527055074,0.0,1.9208170383762733,0.0,0,CRULP
/n,1,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,2.1287534527055074,0.0,0.0,2.139933633585989,1,CRULP
/],1,1,0,1,1,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,4.548275707064582,0.0,0.0,0.0,0,CRULP
/6,1,0,0,1,1,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,2.1287534527055074,0.0,0.0,4.916332194510744,0,CRULP
/K,1,0,0,0,0,1,0,0,0,0,0,1,0,2.81615136376692,0.0,0.0,0.0,2.1287534527055074,0.0,0.038,0.0,1,CRULP
/b,0,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,3.4078108255508943,2.1287534527055074,0.0,0.0,0.0,6,CRULP
/W,0,0,0,1,0,0,1,0,0,1,0,0,0,0.0,1.9208170383762733,0.0,0.0,7.041753452705508,0.0,0.0,0.0,0,CRULP
/I,1,0,0,1,1,1,0,0,0,0,0,1,0,2.81615136376692,0.0,0.0,0.0,2.1287534527055074,0.0,1.9208170383762733,0.0,0,CRULP
/O,1,0,0,1,1,1,0,0,0,0,1,0,0,2.81615136376692,0.0,0.0,0.0,2.1287534527055074,1.9208170383762733,0.0,0.0,0,CRULP
/y,1,0,0,1,1,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,2.1287534527055074,0.0,0.0,2.9316352569043667,0,CRULP
/Y,1,0,0,1,1,1,0,0,0,0,0,0,1,2.81615136376692,0.0,0.0,0.0,2.1287534527055074,0.0,0.0,2.9316352569043667,0,CRULP
