sentence,estimate
پاکستان ٹیلی وژن نیٹ ورک مندرجہ ذیل چینل نشر کرتا ہے۔,0.04666400058682612
اس کے لیے مندرجہ ذیل سافٹ ویئر کی ضرورت ہوتی ہے:,0.04663238739080142
گنتی میں اسے چار سو بہتر بولا جاتا ہے۔,0.04623981795726991
میری طرف سے بھی بہت ساری مبارک باد قبول ہو,0.04604946518167904
مستونگ روڈ ریلوے اسٹیشن مستونگ روڈ میں واقع ہے,0.045418039895737825
پسندیدگی کے لئے آپ سب کا بہت بہت شکریہ,0.04499290074512637
گنتی میں اسے ایک سو تین بولا جاتا ہے۔,0.0449115624962816
"""جاننے کے لئے لاگ ان رہیے """" اردو محفل """" پہ""",0.04180313296714991
وارث صاحب خوبصورت کلام شیئر کرنے پر آپ کا شکریہ,0.041266164890505226
بہترین فرائیڈ چکن کے لیے اور حمص کے لیے بھی,0.04056964615497511
حضرت زینب رضی اللہ تعالی عنہا بنت ابی معاویہ,0.04000106608761879
جس کا مطلب ہے کہ یہ شہر چلایا گیا ہے۔,0.0391415486077495
انڈیا نے اپنی پہلی اننگ میں 279 رنز بنائے,0.03829557297596196
خلعت فاخرہ انہوں نے اپنے لئے چھپا رکھی ہے,0.03799747858942326
بنیادی طور پر یہ معاشیات کی ایک اہم شاخ ہے,0.03790702841188964
مجموعہ 75 اوورز میں تمام وکٹوں کے نقصان پر 284,0.037803420444144274
سودہ بنت زمعہ ازواج مطہرات میں سے ایک ہیں۔,0.03776850363737274
میرا خیال ہے انٹر نیٹ ہی بہتر رہے گا,0.03750933471031836
فیس بک کی جانب سے جاری کیا گیا اشتہار ملاحظہ کیجئے,0.037333365773243005
اسے منطقی پروگرامنگ سکھانے کے لیے بھی استعمال کیا جاتا ہے۔,0.03697968142434763
بعد میں 1970 ء میں قومی اسمبلی کے رکن منتخب ہوئے۔,0.0360526399366378
یہ سوفٹ وئیر ڈاون لوڈ کر لیا ہے میں نے,0.03586441786814255
ولی کی شاعری مے ں سراپا نگاری بدرجہ اتم موجود ہے۔,0.03572008658630679
فلک شیر بھائی آپ کو بھی یونہی لگ رہا ہے کیا,0.03551853354749804
الحمد للہ آج مندرجہ ذیل ابواب پوسٹ ہو گئے ہیں,0.035434669282531556
اللہ آپ کو بھی تندرستی عطا فرمائے اور برکتوں سے نوازے,0.03509843975901863
انھیں 1959 میں کیمیاء کو نوبیل انعام دیا گیا۔,0.03487250794048171
حضور صلی اللہ علیہ وآلہ وسلم کے عصا مبارک سے نشانات,0.0347623356224489
نیوزی لینڈ ورلڈ ٹی ٹوئنٹی کوالیفائر دبئی 11 بجے صبح,0.03472195737890189
ان میں رشی آریائی فکری خطوط کی نمائندگی کرتے ہیں۔,0.033751967399982576
بہت شکریہ @ قرۃ العین اعوان جیتی رہو خوش رہو,0.03348682261265644
حضرت محمد رضی اللہ عنہ بن طلحہ رضی اللہ عنہ,0.03298884036368328
خدا کا نام جیتے ہیں اور اپنا کام کرتے ہیں,0.032912158653411086
"""انہوں نے اس پر اپنی کتاب """" تلبیس ابلیس """" میں لکھا ہے""",0.03286070849642642
گنتی میں اسے نو سو دو بولا جاتا ہے۔,0.032820853255230195
[ ریکارڈز ] سب سے زیادہ اننگز کھیلنے والی اوپننگ جوڑیاں,0.03253649779485016
دہلی، ہریانہ، پنجاب، ہماچل پردیش، جموں و کشمیر، چندی گڑھ,0.03247944500462281
خاص طور پر انٹرویوز کی وجہ سے معروف و متنازع رپوٹر,0.03229377985301928
اسی طرح ضمنی کرداروں میں اسفندیار، منوا، عورت، سہیلیاں,0.03225586738916324
خلافت امیرالمومنین سیدنا عمر بن خطاب رضی اللہ عنہ,0.032215620452146036
نیپچون کا اوسط درجہ حرارت منفی 200 ڈگری سینٹی گریڈ ہے۔,0.03206890037326131
رضوان بھائی تو اسے اتارتے اتارتے بوڑھے ہو جائیں گے,0.032060289867587584
بلامبالغہ علامہ اقبال ایک عظیم مفکر مانے جاتے ہیں۔,0.031888074561381
ریاض صاحب تشریف آوری اور حوصلہ افزائی کا بہت شکریہ ۔,0.03177736573037521
کچھ نہیں ہو گا اگر خال چلا جائے گا,0.030988682044811585
اور نہ ہی نثری نظم کو شاعری مانا جاتا ہے,0.030730427546799756
عمومی طور پر یہ سرخ رنگ کا ہوتا ہے۔,0.030450008977523507
گنتی میں اسے تین سو نینیانوے بولا جاتا ہے۔,0.030379612803219665
جنگل کا کل رقبہ 9000 ایکڑ پر مشتمل ہے۔,0.03000397818411774
ٹیگ : حسرت ، مولانا حسرت موہانی ، حسرت موہانی ، طارق شاہ,0.029939246397601666
ان اجرام فلکی کو کوئیپر کی پٹی کہا جاتا ہے۔,0.029673899221352596
اس کے بعد اجمل صاحب کا یہ پیغام موصول ہوا,0.0293614191038781
یہ تو لگ رہا ہے جیسے فرما رہے ہوں کہ,0.02915159117015417
ناروے یہاں سے 305 کلومیٹر شمال مشرق میں ہے۔,0.02896016274308505
منیر انور صاحب کی سمجھ میں آ گئی ہے,0.028931113153758792
مجاز جسکو اجازہ دیا جاتا ہے یا دیا گیا ہو,0.028821998072319763
جیسا کہ اللہ تعالی نے ان کے متعلق فرمایا ہے,0.028606703685269564
نئی معاشی پالیسیوں کی وجہ سے بیرونی سرمایہ کاری بڑھنے لگی۔,0.028502365503035188
حرکی توانائی کو درج ذیل مساوات سے ظاہر کیا جاتا ہے۔,0.028445124346621734
السلام علیکم نیرنگ بھائی اور بہت بہت مبارک ھو نیلم سس,0.02838060962174214
محمد اسحاق کو آخری دفعہ پایا گیا : نومبر 17 ، 2005,0.02815178222460096
تلہ گنگ ضلع چکوال کی ایک انتہائی اہم تحصیل ہے۔,0.028049502303468647
علاقہ انتظامی طور پر چھ صوبوں میں تقسیم کیا گیا ہے,0.02804254602743679
انتظامی طور پر یہ ضلع زنگلان میں شامل ہے۔,0.028002667880323295
انتظامی طور پر یہ ضلع خوجاوند میں شامل ہے۔,0.028002667880323295
ٹی ٹوئنٹی : سنسنی خیز مقابلے کے بعد پاکستان فاتح,0.027901757669835176
نوبیل انعام دینے والی سویڈش اکیڈمی نے اس بات کا اعلان ۔,0.027708448031415714
ہم نے تو دردناک واقعہ بلکہ مرثیہ لکھا ہے بھائی,0.027381986556899003
انہوں نے چند ٹی وی ڈراموں میں بھی کام کیا۔,0.027270475822068117
شبیر حسن خان جوش ملیح آبادی ولد نواب بشیر احمد خان,0.02724784311516834
طارق شاہ ، جمعہ بوقت 1 : 09 شام ، پسندیدہ کلام,0.02718786867639228
اس کا زمانہ تقریبا 3000 ق م سمجھا جاتا ہے۔,0.026940027842727077
اس دروازے کے بارے میں مشہور کنہیا لال لکھتا ہے کہ,0.02689837925132402
آگے کی تعلیم کے لئے اسلامیہ کالج لاہور گئے تھے,0.026752121041318338
دو تین اسی طرح ک خط لکھئے کام بن جائے گا,0.026636003711501308
اطاعت رسول کی اہمیت صدیق اکبر کی نظر میں,0.02654028627641632
ہماری پاک فوج ناپاک فوج میں تبدیل ہو چکی ہے,0.02653432669363429
آپ کو شارک اور فاختہ کا فرق معلوم نہیں,0.026532786406293037
سلیم بھائی آپ سے بہت کچھ سیکھنے کا موقع ملتا ہے,0.02644379870017752
انیسویں صدی میں 321 سے زیادہ بڑی جنگیں لڑی گئیں۔,0.026345243598902703
جناب سکینہ کے خلاف ایڑی چوٹی کا زور لگا دیا۔,0.026047864126540633
ظلم کی طرح اذیت میں ہے جس طرح حیات,0.025971489741212838
نقشوں میں اس کا مقام بائیں طرف ہوتا ہے۔,0.025904891172377667
باقی ابھی تو میں سوچ رہا ہوں کہ کیا کیا جائے,0.025879801085965205
براہ راست 13 تبصرے اور بذریعہ فیس بک 5,0.02584919526565014
یہ ہر سال 7-9 جنوری منائے جا رہے ہیں۔,0.02584681386881595
گنتی میں اسے ایک سو تریانوے بولا جاتا ہے۔,0.0258090792313624
یکم ہندوستان پر ایسٹ انڈیا کمپنی کا راج ختم ہو گیا۔,0.02579158425230069
"""کون جاہل شخص ہے جو احمقانہ باتیں کر رہا ہے """"؟ """,0.02569349063471408
فلسطینی عوامی پارٹی، فلسطین میں ایک معاشری سیاسی جماعت ہے۔,0.025548793079326497
آپ کی یاد آتی رہی رات بھر - مخدوم محی الدین,0.025379174698249452
12 نومبر: موہن داس گاندھی نے سری لنکا کا دورہ کیا۔,0.025338866407917052
بارہ دری میں رہتا ہوں شعلہ شرف یہ ہے,0.025165938002083423
روزہ تقوی حاصل کرنے کا ایک بہترین ذریعہ ہے۔,0.025157250680574124
مگر بات الجھی ہوئی رہگزر کی طرح بڑھ رہی ہے,0.025076964724479338
ویسے آپ کے لیے مریض اکٹھے کر رہا ہوں,0.024891548943809925
یہ نیشنل ہائی وے اتھارٹی کے زیر انتظام ہے۔,0.02477677470675673
بچپن پلے اسکول میں مختلف مقابلوں کے ساتھ ڈے,0.024690850521884664
ان میں سب سے پہلے علما و مجتہدین کا بیان ہے۔,0.02465081779214586
بس کے بارے میں بات کر رہے ہیں آپ لوگ,0.024599237749279267
ریاستہائے متحدہ امریکہ کی ریاست لوزیانا کا دارالحکومت ہے,0.024503169437649075
کیونکہ اس کا گوشت کھایا جاتا ہے اس لئے,0.024492702248314523
سیمی فائنل میں اس کا مقابلہ فٹبال کلب بارسلونا سے ہوگا,0.024477803313075603
کامران اکمل پاکستان کرکٹ ٹیم کا موجودہ وکٹ کیپر ہے,0.02441141499864092
سعید بن زید، صحابی عشرہ مبشرہ میں سے ایک۔,0.024336794930080726
حکومت کی طرف سے ادائیگی نہ ہونے کی وجہ سے,0.024333394529676408
فرضی میاں کچھ لوگ آپ کو مس کر رہے ہیں,0.024196715978431177
جہاں وہ ٹورانٹو سٹار کے لیے رپورٹنگ کرتا رہا۔,0.02415212011183305
سیرت النبی کے بہت سے ایڈیشن شائع ہوچکے ہیں,0.024121527393184607
حکومت پاکستان کے اعداد و شمار کے مطابق پاکستان میں,0.024120063550731444
کتاب سموئیل-1 کو تین حصوں میں تقسیم کیا جا سکتا ہے:۔,0.02411867784305233
خود شہزادی سکینہ علیہ السلام کا فیصلہ کافی ہے۔,0.02410252574914906
نبض دھیمی ہو جاتی ہے بلڈ پریشر گر جاتا ہے۔,0.024025098443894877
آصف جاہ پنجم بحیثیت نظام ریاست دکن تخت نشین ہوا۔,0.02398440226844914
مسقطی ڈائری کے ویب سائٹ پر مسقطی کے بارے میں۔,0.023839028966439198
آدم عربی زبان میں انسان کے معنی رکھتا ہے۔,0.023814653987180794
ساری دنیا سارے عالم کا بھلا ہو جائے گا,0.023655074978831334
اس کی شاعری کا بیشتر ذخیرہ گم ہو گیا ہے۔,0.023651965155084824
"""مہدی نقوی حجاز ہیں اور بھی دنیا میں """" نقوی """" بہت اچھے : :""",0.02364438743191439
اب تک جو زلزلے سے زمیں کانپ جاتی ہے,0.02356287363567443
عام طور پر طوطا بھی فکس ہوتا ہے میچ کے ساتھ,0.02352366002160349
انہوں نے اسلام کے حوالے سے کافی کام کیا۔,0.02335957456686101
زیادہ تر انفیکشن میں کئی قسم کے بیکٹیریا شامل ہوتے ہیں۔,0.023303712824918884
ثمینہ بہن کو تہہ دل سے محفل پر خوش آمدید,0.023275771739177272
یہ نسبتا کم درجہ حرارت افراطی مرحلے میں قائم رہا۔,0.02323409094199292
پاکستان ٹیلی وژن نیٹ ورک ریاستی ٹی وی اسٹیشن ہے۔,0.023226144569575453
اخفا کرنے کے لیے عموما ایک کنجی استعمال کی جاتی ہے,0.02313787349572444
دل کی گہرائیوں سے آپکو خوش آمدید کہتا ہوں,0.02298738618112208
اس میلاد نامے کا آغاز حمد سے ہوتا ہے۔,0.022980920721107054
لانڈی کوتل ریلوے اسٹیشن لانڈی کوتل میں واقع ہے,0.02297813835594062
مثال کراچی میں ایم کیو ایم کے لڑکوں کی ہے,0.02281191790324948
40 سال کی عمر میں انہوں نے ریٹائرمنٹ کا اعلان کیا۔,0.02279802313083972
منتظمین کے پاس درج ذیل انتظامی طرازی اختیارات ہوتے ہیں,0.02271112114906999
وقت کا کیا ہے گزرتا ہے گزر جائے گا,0.02270046526825468
یا نائن نائن نائن ڈائل کردوں سمجھ نہیں آرہا,0.02269444643153381
آپ کا نام شمس الدین محمد سبزواری ہے جبکہ لقب ہے۔,0.02267408520396418
کیا بات ہے بہت شکریہ اتنی عمدہ شیئرنگ کے لیے,0.02266936390266198
یہ فلم اسقاط حمل کے خلاف بنائی گئی تھی۔,0.022654246776435606
ارے آپ نے اس کو جگا کر سوپ بنوایا,0.022628160724054016
ضلع انتظامی طور پر 5 تحصیلوں میں تقسیم ہے:,0.022617766761787554
پیکوکان کو اڑانے کے لیے مشاق ہونے کی ضرورت پڑتی ہے۔,0.022613026892324185
کے ایوان پاکستان کے لیے ایک انتخابی حلقہ ہے,0.022609752082346675
کب تلک کانٹوں پہ چلنا مجھ پہ فیصل فرض ہے,0.022602553717323684
عرب میں یہ لوگ نکاح کر کے بچیوں کو مارتے ہیں,0.022568508115087663
ہاں جی یہ تو آپ اب چالاکی کر رہی ہیں نا,0.022561569415648998
سرخ پتلون کے ساتھ فائٹر کے طور پر گیین پیکر,0.022481873236762383
فلم 2012 نے ابھی تک 225 ملین ڈالرز کما لئے,0.022476745574767323
ڈاکٹر انور سدید انشائیہ کی تعریف کرتے ہوئے رقم طراز ہیں,0.02238547066227068
یاسر نے ٹی وی پروگراموں کے لیے بھی لکھا ہے۔,0.022251688259003758
حماس انتظامی طور پر دو بنیادی گروہوں میں منقسم ہے۔,0.022082560113562286
جزیرہ نما گیلی پولی تاریخی قومی پارک مع تصاویر,0.022065892110246864
یوسفی نے خاکم بدہن کے دیباچہ میں لکھا ہے کہ,0.02206017213601853
پوری فلم راجستھان میں گولی مار دی گئی تھی۔,0.021972022137098625
چینی فلکیات میں دمدار سیاروں کو بہت اہمیت حاصل رہی ہے۔,0.021929739361011683
ہیت، فلسفہ اور ادبیات میں بھی کافی درک حاصل,0.02186169444325471
39 ۔ شاعری کے لیے کیا کیا شرطیں ضروری ہیں,0.021813358002039984
اوہ سوری مجھے پتہ نہیں چلا تھا نا وعلیکم اسلام,0.021721133116430293
کے درمیان حسابی رشتوں کو مثلثیاتی شناختیں کہتے ہیں۔,0.021479758329066727
پتھروں کی مغز اوزاروں کی دوسری قسم کچھوا نما ہیں۔,0.021473939092320874
علی گڑھ تحریک کو مسلمانوں کے لیے مفید سمجھتے تھے۔,0.02147105689864357
تمہیں سبزی بگھارنے کو ایک باورچی کی ضرورت ہے,0.02146045599872412
10 ۔ عالی شان جنت میں قیام پذیر ہوں گے,0.021347129053640782
قائم پور ریلوے اسٹیشن قائم پور میں واقع ہے,0.0213340722315769
بہت ہی اچھا لگا کاشف صاحب کے بارے جان کر,0.021299969165098888
ذیل میں اسی سے متعلق مضامین دیے گئے ہیں۔,0.021213151594394297
کالے ڈبوں کے درمیان گرے نقطے موجود نہیں ہیں,0.021208691843127472
ایک تو آپ اتنی مشکل باتیں کرتے ہیں ناں بھیا,0.02116497958431251
بہت ہی عمدہ انتخاب ہے محمد احمد بھائی بہت خوب,0.02115481785129924
بسوں میں تو مین نے بھی بہت فلمیں دیکھی ہیں,0.021149910382200137
یہ شہر صوبائی ونی پگ کے قریب ہی واقع ہے۔,0.02113534301634867
سمہ سٹہ جنکشن ریلوے اسٹیشن سمہ سٹہ جنکشن میں واقع ہے,0.02108572285775498
میں نے کیا ہے نا جانے چاند کی زبان میں,0.02106509141938105
ٹیگ کر کے بعد وچ کٹ دتا اے ناں,0.021039161770054302
قلعے کے درمیان چند سیدھی دیواریں منہدم حالت میں ملتی ہیں۔,0.02102147866422308
سگے بھائی کے سینے میں بھی نفرت جاگ جاتی ہے,0.020946091883593934
گھسر پھسر تو نہیں کوئی مشورے کی بات کر رہے تھے,0.02093373424052965
اہلیان کوفہ منتظر ہیں کہ حضرت حسین تشریف لائیں,0.020924270460478657
اپنی آگ کی تلاش۔ سنگ میل پبلی کیشنز لاہور، 1999ء ،,0.020866307852619313
اس کے بعد نیچرل فلسفہ کے اسسٹنٹ پروفیسر مقرر ہوئے۔,0.020794953304904953
اللہ سب کو سدا اپنی امان میں رکھے آمین,0.020783980534755418
مچھر کی زندگی چار ارتقائی مراحل پر مشتمل ہوتی ہے۔,0.02077807109585276
سولہویں اور سترہویں صدی میں جادوگرنیوں کے خلاف مہم چلی۔,0.020766511255037746
اینگلو انڈین برطانوی دور حکومت کی علامت تصور کیے جاتے ہیں۔,0.020694235239450572
پہلے ہی نیرنگ خیال باز نہیں آتا جٹا کہنے سے,0.02063127526665444
تجھ سے مرا ملاپ ہے نکھرا موسم چیت کا,0.020629668690483733
گنتی میں اسے آٹھ سو تریاسی بولا جاتا ہے۔,0.02062366704432177
ہدایتکار جلال الدین خٹک تھے، موسیقی فضل ربی کی تھی۔,0.02056674411652199
جناب یہ تو استعمال کریں گے تو پتا چلے گا,0.02042375423323267
ویسے آپ جب پوچھنا چاہیں تو پوچھ لیجئے گا,0.020395798018355397
انھیں 1920 میں کیمسٹری دا نوبیل انعام دیا گیا۔,0.02035223339493737
شکر ہے میں ریال والے وطن سے دور ہوں,0.02032524957236223
ان کا تعلق بے حد غریب گھرانے سے تھا۔,0.020271903671937624
فتاوی رضویہ احمد رضا خان بریلوی جلد 29 صفحہ,0.020255989185405335
"""یعنی کہ اسے """" احد """" کی پہلی جانور کیڈٹ سمجھا جائے""",0.020236690233698635
ہمارا کام تو ہے کہ ان کی مغفرت کی دعا کریں,0.0202011916099215
ہاں جی کھانے والی بات سمجھ آ گئی ہے,0.020184353535719027
سر میں رسولی کی وجہ سے کراچی میں وفات پائی۔,0.020093598665538937
آپ تمام احباب کی تہہ دل سے شکر گزار ہوں,0.02009082927162599
این اے-161 قومی اسمبلی پاکستان پاکستان کا ایک انتخابی حلقہ ہے۔,0.020072415728773742
اس کے بعد ملک میں مارشل لا نافذ ہو گیا۔,0.0200309529522779
زیست آساں بھی ہو سکتی تھی لیکن ہم نے,0.019967096347338016
ہر ایک عنصر علاحدہ علاحدہ محفوظ کیا جاتا ہے۔,0.019854776141223326
اسکے اخلاق کھٹک جاتے ہیں دل میں ہر بار,0.019819876914205486
سعودی عرب کے شہر الریاض کی ایک پرانی بستی میں,0.01980530031011092
اوکلاہوما سٹی اوکلاہوما میں دنیا کا پہلا پارکنگ میٹر لگایا گیا,0.01980230655132028
انسٹی ٹیوٹ فار فزیکلی ہینڈی کیپڈ چلڈرن، سریاب روڈ کوئٹہ,0.019774911128025804
کہنے لگے کہ میں بھی اسی کشمکش میں ہوں,0.01975256840118508
میرے سے بھی ہو جاتے ہیں بھیا فکر ناٹ,0.019716333800187443
انہوں نے اپنے کریئر کا آغاز ڈراما ' جھروکے' سے کیا۔,0.019656205989067827
انہوں نے چار سو سے زائد فلموں میں کام کیا۔,0.019610266803986906
یونیورسٹی آف واروک ، برطانیہ کی طرف سے اعزازی ڈاکٹریٹ کی ڈگری,0.01955140628261086
میں نے تجھ سے ہی نہیں سب سے محبت کی ہے,0.01952704366690779
چھوٹے جسامت والا خانہ بائیں جانب ظاہر ہوتا ہے,0.0195203282091409
مخالف ان کی الفت دیکھ کر بے حد بھڑکتے تھے,0.019513856163024437
بہت شکریہ زبیر بھائی آپ نے کافی عمدہ جوابات دیے ہیں,0.019490616864702243
جی بالکل اس کے علاوہ شعری اصطلاح بھی ہے یہ,0.019412164601685034
انہوں نے پاکستان کے اقوام متحدہ میشن میں شرکت کی,0.019321896123639562
"""عالمی"""" کبڈی لیگ کی سرکاری ویب سائٹ- صفحہ """"اول""""۔""",0.01930709313063695
جہاں طوفان نوح کے بعد کشتی آکر رکی تھی۔,0.019298702348563776
بحیرہ احمر کا ساحل مندرجہ ذیل ممالک سے ملتا ہے :,0.019240001859295964
یہ جملہ لکھا ہوا تھا لیکن اب یہ جملہ لکھا ہے,0.019220878350428496
کوائف نامے پر ملک عدنان احمد کے مراسلے پر تبصرے,0.019212688990114187
آپ نے اپنی شاعری کا سفر غالبا سنہ میں شروع کیا,0.01916903050488803
آداب عرض ہے یہ شعر اسی خادم کا ہے,0.019161896138957468
کسی کو چھینک آتی ہے تو وہ اطلاع دیتا ہے,0.019138835752520716
میرے خیال میں ایران کا مقصد یہودیوں کی تاریخی مبالغہ آرائی,0.019078844393310673
باقی کی تفصیل بعد میں ہم گولا کھانے جا رہے ہیں,0.01907100857894103
فائر فاکس سے فلرٹ تھوڑے دن ہی چلا تھا,0.019015638210447938
اللہ آپ کے بھائی کو بالکل ٹھیک کر دیں گے,0.01897508357419081
ضلع کشمور پاکستان کے صوبہ سندھ کا ایک ضلع ہے۔,0.01895814506919397
گیارہ نعرے جنھوں نے چین کو تبدیل کر دیا,0.018907995704595736
ایک برکی روڈ، لاہور جبکہ دوسرا شیخوپورہ میں واقع ہے۔,0.018898637691221343
نسخے لکھ جاتے ہیں خاطر سے اطبا جھوٹ سچ,0.018890837635338827
طبل بجانا پڑے گا آپ سب کو اٹھانے کے لیئے,0.018867184670608477
مجھ کو معلوم تھا ظلمت کا فسوں طاری ہے,0.018864303284047666
او آئی سی آئی سی وش یو آل دا بیسٹ عائشہ,0.018856075994210172
اس کے تحت 4 ٹی وی اسٹیشن کام کر رہے ہیں۔,0.018835900169315266
اس کی موت کو بلیو وہیل سے منسلک کیا گیا ہے۔,0.018828158312720906
اشکوں سے دل میں آگ لگاتا رہا ہوں میں,0.018810641935578052
ہم بھی گھرمیں ٹھہریں گے آج شام سوچیں گے,0.018796847440391246
پرل ایئر مندرجہ ذیل مقامات پر پروازوں کا اردہ رکھتی تھی:,0.018789282309403334
ڈیپارٹمنٹ آف فلاسفی اینڈ انٹر ڈسپلنری سٹڈیز، گورنمنٹ کالج یونیورسٹی، لاہور,0.018751008855603688
مجموعہ 20 اوورز میں 6 وکٹوں کے نقصان پر 137,0.018748946101986883
پھر استعفا دے کر بسلسلہ ملازمت نانپارہ آ گئے۔,0.018718824459322977
خیر آپ تکلیف کرتے ہیں تو چکھ لیتی ہوں,0.018709008296847636
وزارت کھاد و کیمیائی مواد حکومت ہند کی ایک وزارت ہے۔,0.01870639653876378
ساری دنیا کی ہدایت کے لیے جو آئے ہیں,0.018645437951230977
اسے سولہویں صدی کے درمیان میں بنایا گیا تھا۔,0.018606498479861157
یونان نے بھی اپنی آزادی کا اعلان کر دیا۔,0.018606035881442537
جن سے ان کی کمپوزیشن کی مہارت کا احساس ہوتا ہے۔,0.018534476765383657
اسی وجہ سے ان کا رنگ سرخی مائل ہے۔,0.01852944529992056
در حقیقت پارسا تو بھی نہیں میں بھی نہیں,0.018516946959569406
روایتی بھنگڑا رقص ضلع سیالکوٹ میں معیاری سمجھا جاتا ہے۔,0.018512571375726088
سترہویں صدی قبل مسیح کے چاند گرہنوں کی فہرست,0.018508158373240925
میرا خیال ہے سری لنکا کے ساتھ ہوگا کیا,0.018487346003991916
کلیسا کے اندر ایک پادری نوزائیدہ بچے کو بپتسمہ دیتے ہوئے,0.0184265972012662
قیصر نذیر خاور ایک منجھے ہوئے افسانہ نگار ، اور مترجم ہیں ۔,0.0183795920930233
میرا خیال ہے مزاج تلخ ہو رہے ہیں اس لئے میں,0.018362704818701527
اگر آپ کو یہاں کوئی حل نہ ملا تو آپ,0.018357881736900564
آپ کی آمد پر سب کی خوشی دیدنی ہے,0.01834331763154245
بہت شکریہ عثمان بھائی آپ کی دعائیں درکار ہیں,0.018324830821228537
انھیں کمرے کی بوسیدہ چھتوں سے ڈر نہیں لگتا,0.01830634688417091
چین کے تانگ خاندان کی ترکوں نے سیادت قبول کرلی تھی,0.018301786072227582
انگولا سے زائر تک سیاست کے حوالے سے ایک,0.018284217733760315
اس شخص نے کہا میں نے آپ کو معاف کیا ۔,0.0182003025727341
تیزی روانش مدارا گزید / دلش رای رزم بخارا گزید,0.018197496357527283
چڑھی جاتی ہے ہر ہر شے کی قیمت آسمانوں پر,0.018167053517205614
اس کے بعد وہ اداکاری کرنے کے لیے ممبئی چلی گئیں۔,0.018157820867620002
صوبہ خیبر پختونخوا میں ضلع نوشہرہ کا محل وقوع,0.018157463485532096
