,Stim
194,کہ کوئی اور ثمر کاٹنے کو آتا ہے
195,چلیں اس بہانے ہمیں حسین تو مانا آپ نے
196,یاسر عمران مرزا ، فروری 17 ، 2009
197,شمعون کے فرقہ میں سے سافت بن حوری
198,یہودا کے فرقہ میں سے کالب بن یفنہ
199,ہماری تو بڑی دیر سے یہ حسرت ہے
200,ہی ہی ہی ہی ہی ہی ہی بھیا
201,وہ صوقلو محمد پاشا کے عم زاد تھے۔
202,میں نے یہ تو سوچا ہی نہیں تھا
203,حضرت انس بن مالک سے مروی ہے کہ
204,سبزہ نو رستہ اس گھر کی نگہبانی کرے
205,نیوزی لینڈ 46 اوورز میں 217 پر 7
206,جی آپ کا بھی کر رہا ہے نا
207,اور بھی دوسری کتابیں ہیں ان کا کیا ہوگا
208,بس زیادہ بات ہی تین سے ہوتی ہے
209,اس زمیں کا ہر ذرہ آفتاب تم سے ہے
210,وہ لوگ آنکھوں سے اوجھل ہو گئے ہیں
211,موجودہ کے بنتو میں یہ مسئلہ نہیں ہوتا
212,خواب کی راکھ سمیٹے گی بکھر جائے گی
213,مزدوری مزدور کی محنت کا صلہ ہوتی ہے
214,اس کے پیچھے کہانی یہ بیان ہوتی ہے کہ
215,ہوسکتا ہے رات کو ملاقات ہو بشرط زندگی
216,ملنا ترا اگر نہیں آساں تو سہل ہے
217,اور یہ چیز کوئی استاد نہیں سکھا سکتا
218,یا رسول اللہ صلی اللہ علیہ وآلہ وسلم
219,مرے سر پر ہو گیان امرت کی برکھا
220,آپ اور پہلے عذر جفا اس نے جب کیا
221,آغوش میں مسلم کے وہ دلبر نظر آئے
222,پولیس کے مطابق آصف فلور ملز میں ۔
223,نبھائی تھی نہ ہم نے جانے کس سے
224,پیش کیوں کرتے ہو شیشے کے مشابہ خود کو
225,میری چاہت تیرے پندار کا مر جانا ہے
226,کیا پتہ کوئی سارہ خان سویٹ بھی ہو
227,صوفیا اور قرآن تبلیغی نصاب کی روشنی میں
228,مجھے تو یاد نہیں صحیح طرح سے بھیا
229,اگر جو ہے تو تڑپتا دکھائی دیتا ہے
230,ہے وقت اب بھی کشتیاں لے موڑ کے
231,سید اسد محمود ، فروری 15 ، 2013
232,باتیں سنتا میں کبھی پوچھتا معنی ان کے
233,سارہ بشارت گیلانی ، مئی 29 ، 2013
234,محمد شکیل عطاری ، مئی 30 ، 2012
235,فیصل عظیم فیصل ، مئی 7 ، 2009
236,محمد صغر بن علی میدانکربلا میں شہید ہوئے
237,ایویں میں خود بھی پھسلا جا رہا ہوں
238,کہتے نہیں لیکن کر تو سکتے ہیں نہ
239,ابھی تو سوئے تھے مقتل کو سرخرو کر کے
240,آپ نے کوئی چاند چڑھایا ہو گا ہ
241,وہ بات کہتے کیوں ہو جو کرتے نہیں
242,اپنی اپنی ذات کی طناب میں کسے ہوئے
243,مہدی نقوی حجاز ، جولائی 5 ، 2012
244,مہدی نقوی حجاز ، اپریل 28 ، 2013
245,گریاں نہیں تو یاں سے نکالے ہوئے تو ہیں
246,سب دیکھ دیکھ اس کو بجاتے ہیں تالیاں
247,کہ ذرہ ذرہ دریچہ ہے تازہ چہروں کا
248,اچھا تو آپ کا نام عمر ہے گڈ
249,وہ بہادر بھی ہے اور نڈر بھی ہے۔
250,مرا مقصد فقط شعلہ نوائی ہو نہیں سکتا
251,پتہ نہیں کیا بات چیت ہورہی ہے یہاں
252,""""""" نہ ہی فون میرے پاس ہے """""""
253,ترا علاج ڈنر کے سوا کچھ اور نہیں
254,یہ کشمیر مغرب اور مشرق کو جگائے گا
255,بلوچستان کے ضلع چاغی کا ایک شہر ہے۔
256,دل ہی دل میں وہ خفا ہو جیسے
257,اس کا جواب آیات میں دیا گیا ہے
258,ڈیلفی یونان کے جنوب وسط میں واقع ہے۔
259,اعتراض تو اس پر بھی کوئی نہیں کرتا
260,مجھے لگتا ہے جیسے میں جانتی ہوں انہیں
261,میں خود کو نہیں دیکھتی اوروں کی نظر سے
262,محبت نے جھکایا ہے سر اچھے اچھوں کا
263,عمار ابن ضیا ، اپریل 28 ، 2008
264,عمار ابن ضیا ، جنوری 6 ، 2009
265,عمار ابن ضیا ، جنوری 1 ، 2009
266,عمار ابن ضیا ، فروری 22 ، 2008
267,کونین کی تعمیر میں مصروف ہے دن رات
268,کیا کہیں آپ سے قول ہارے ہیں کیوں
269,کیا ہی گہر ائی کا حامل کلام ہے
270,ان کی پاکی کا خدائے پاک کرتا ہے بیاں
271,اور اب چمچے نے میرے گال سجا رکھا ہے
272,دن کو پروانے سے صحبت رات کو سرخاب سے
273,مجھے تو اور کوئی کام بھی نہیں آتا
274,کچھ وقت چاہتے تھے کہ سوچیں تیرے لیئے
275,پھر جو اس نے کہا کیے ہی بنی
276,انڈس ریسورس سینٹر کی بانی اور ایگزیکیوٹو ڈائریکٹر
277,چلیں شمشاد بھائی اب آپ کی باری ہے
278,اپنا تو کسی سے بھی ستارہ نہیں ملتا
279,ایک کالا کتا پیشاب کر آئے گا ۔
280,کیوں کہ مجھے کسی سے جاگیر نہیں درکار
281,شیر کی نیت اور بکری کی عقل میں فتور
282,گزارش ہے کہ کھل کر تنقید کی جائے
283,میں اس کا دل جوابوں سے ٹٹول لیتی ہوں
284,ملٹی وائبریٹر سرکٹ کی تین قسمیں ہوتی ہیں۔
285,رستم کے اسلاف میں ایک نام گرشتاب تھا۔
286,فرہاد بہ پیکر چو منوچہر و قباد است
287,ایک تیلی لڑکا جو تیل بیچ رہا تھا
288,ہم پہ جو گزری وہ ہم سے پوچھو
289,پر یہ تو ہر اقتباس کے ساتھ بڑھ رہا
290,ان کے خاندان کا نام انڈو یورپین زبانیں ہے
291,پانی کے دو گھونٹ چڑھا کر رقص کیا
292,پر وصل سے بیزاری ہونے والی با ۔
293,بات نکلی تو بہت دور تلک جائے گی
294,اس نے زرہ بکتر اور خود پہنا ہوا تھا
295,سالم آرگنائزر کے طور پر سلیم خان ڈنگ ڈونگ
296,گھر جلانے کو مرا لوگ جو گھرمیں آئے
297,اب میرے رخت میں باقی نہیں ساماں کوئی
298,جو اذن ہو تو تیری یاد سے گزر
299,نایاب الف عین نیرنگ خیال فلک شیر جیا
300,تیرے سینے کا نہاں خانہ عجائب خانہ ہے
301,مراسلہ تسلیم خم ہے جو مزاج امین آئے
302,ساری باتیں ٹھیک کہیں آپ کے قاری نے
303,کیا کیا توقعات تھیں آہوں سے اے خمار
304,ہم اپنے آپ کو محفوظ سمجھیں یا قیدی
305,اونگ کی بادشاہت چین کی آخری بادشاہت تھی۔
306,شیراد کلکر اور راجشری ٹھاکر ڈراما سات پھیرے سے
307,سب کام سہی طرح سے ہو گیا ہے
308,دلوں میں اپنے چھپائے پھرتے ہیں کوچہ کوچہ
309,کتنا بورنگ کام ہے ناں پیپرز چیک کرنا
310,دیں ہمہ اوست از سید نصیر الدین نصیر
311,میرا خیال ہے سری لنکا کے ساتھ ہوگا کیا
312,لاڑ ریلوے اسٹیشن لاڑ ملتان میں واقع ہے
313,یہ سب جب آپ مطالعہ کر چکیں تو
314,شکست دے گیا اپنا غرور ہی اس کو
315,مل جائے آپ کو دنیا کی ہر خوشی
316,گلیاں ہی گلیاں ہیں - اشوک چکر دھر
317,رسول اللہ صلی اللہ علیہ وسلم نے فرمایا
318,بمبئ میں آپ کی دوسری شادی ہوئی ۔
319,سنا ہے عشق کا آزار ہوگیا ہے مجھے
320,عدم کی گرد میں نہاں ہے کاروان زندگی
321,وہاب اعجاز خان ، ستمبر 26 ، 2007
322,اس کا دامن کسی اجنبی نے نہیں دیکھا
323,کہیں دنیا سے ہی کوچ نہ کر جانا
324,لنکن مسوری کا رقبہ مربع کیلومیٹر ہے ہے
325,اکثر اس زبان کو میمن لوگ بولتے ہیں
326,ایک گزارش ہم نے بھی کر رکھی ہے
327,امن و آزادی کے ہم تو ہیں نقیب
328,کا نام ہند اور کنیت ام سلمہ تھی
329,جو لوگ تیرے پیار کی ضد پر اڑے رہے
330,اس کے بعد پنچاب اور بلوچستان فتح ہوئے۔
331,آجکل تو جاوید چودھری کمال کر رہا ہے
332,قدرتی قسم کے وراثے ان کی مثال ہیں
333,مانو ٹھیک نہیں ہوں سر میں درد ہے
334,آپ صلی اللہ علیہ وسلم رحمت اللعالمین تھے
335,آپ کی تو پھر سن لیں گے سب
336,موت پر ہوتی ہے کیا تنقید آکر دیکھتے
337,آپ کے چند کالموں کے نام یہ ہیں:
338,رات درویش کی تربت پہ تھے گریاں تارے
339,ہم نے اپنوں کی خوشیوں پہ واری خوشی
340,ابھی اس بات کا کسی کو پتا نہیں
341,طور پر کافر گیا کافر سے ملنے کے لیے
342,اس دیس میں ٹھکانے کے دن بیت ہی گئے
343,ہم سب جانتے ہیں ان کے بارے میں
344,ہتھے جو چڑھ گئے کبھی سسرال کے جناب
345,آپ کہتے ہیں تو زنجیر ہلا دیتے ہیں
346,بالکل اصلی پستول کی نقلی بلٹ کی طرح
347,آپ سیدنا کے خاص شاگردوں میں سے تھے۔
348,تو پھر مجھے اکیلے کیوں چھوڑ دیا ہے
349,نہیں عمران جس کو علم کچھ انجام کا
350,سنیئر کہیں آپ ہمیں بوڑھا تو نہیں کہ رہے
351,لے کے چلتا ہوں خیالوں کا سفینہ اپنا
352,ساتھ میں کوئی چپس وغیرہ بھی پکڑ لینا
353,کیونکہ اس کا گوشت کھایا جاتا ہے اس لئے
354,گھر کا آنگن حسین خوشیوں سے مہک جائے گا
355,آج ہی کھائی ہے مفت کے مال سے
356,1940ء میں مسلم لیگ میں شمولیت اختیار کی۔
357,مزید معلومات کے لیے دیکھیے : قوانین کرکٹ
358,ان میں سے کوئی رستہ ادھر کیوں نہیں جاتا
359,یوں تو عیاشی میسر ہے زمانے بھر کی
360,31 دسمبر ہوگیا ہے ابھی شام نہیں آئی
361,میں اللہ سے بس یہ دعا مانگتا ہوں
362,جنہیں عاشقوں نے چاہا کہ فلک سے توڑ لائیں
363,پٹریاں ممباسا سے کمپالا کی جانب جاتی ہیں۔
364,جو گرد اڑ کے گئ ہے ملال میرا تھا
365,اور بلوچستان کی خطرناک جیل مچھ جیل بیجھا گیا
366,زمین کا دیرپا استعمال کی صلاحیت رکھتا ہے۔
367,سنو بہار سے پہلے خزاں تو رہتی ہے
368,پاکستان کے شہر لاہور کا تاریخی دروازہ ہے
369,اس چراغاں کا کروں کیا کارفرما جل گیا
370,چیمپئنز ٹرافی کے لیے بھارتی ٹیم کا اعلان
371,ان کا یہ شعر تو ضرب المثل ہے
372,اسلام تے کفر دی جنگ ہون والی اے
373,اور وہ بھی دونوں بلکہ چاروں طرف سے
374,استانی نے مسکراتے ہوئے اس کے گال چھوئے اور کہا
375,کوئی نہ سہہ سکے لہجہ کرخت ایسا تھا
376,تو اپنی رضا سے کیا ہے یہ ہم نے
377,ردیف و قافیہ کا فرق تک نہیں معلوم
378,آپ کے سرچ وارنٹ جاری کر دئیے گئے ہیں
379,لگاتا پھر رہا ہوں عاشقوں پر کفر کے فتوے
380,کیسے کیسے ارمان دل میں ھی رہ گئے
381,سرچ انجن وغیرہ میں ویب سائٹ کی شمولیت
382,وے لطف کی نگاہیں پہلے فریب ہیں سب
383,امید ہے اس شکایت کا ازالہ ہوجائے گا
384,کہ جن کے خوں سے ترے رنگ تابناک ہوئے
385,اللہ جی یہ تو مذاق کا اسٹائل تھا
386,شمشاد بھائی بالکل صحیح جواب ہے آپ کا
387,ظہور احمد سولنگی ، اکتوبر 3 ، 2007
388,تیری نگاہ سے دل سینوں میں کانپتے تھے
389,بیوی کا دف اولاد سے مارا جاتا ہے
390,ء میں ان کے مرنے کی تصدیق ہوئی
391,وہ کہہ گیا تھا یہی وقت امتحاں کا ہے
392,میں اس کے انبوہ میں اکثر کھو جاتا
393,قرآن کے حافظ بھی تھے اور عاشق بھی۔
394,پر جوگی دے حاجی تے ٹھنڈ اے ۔
395,اور انصاف کی فراہمی بہت بہت ضروری ہے
396,او عدم کے جانے والے یہ وفاداری نہیں
397,سکول اور کالجوں کے لئے تعلیمی رنگ کا
398,ہم جلد ہی اپنا تعارفی دھاگہ کھولتے ہیں
399,آج یوم پاکستان کے حوالے سے کچھ اسپیشل
400,خم تیری زلف کا دیکھ کر یاد آیا
401,پھر اداسی بھی لگائے ہوئے پر آتی ہے
402,اور جو امریکہ اور اسرائیل کو مطلوب ہوتا ہے
403,اب وہ عشق و محبت کی رسمیں نہیں
404,اوڈیشا میں 1992ء کی شراب خوری سے اموات
405,کنڑ : پاکستان اور افغان طالبان میں جھڑپ
406,ایک جزیرہ اس کے آگے پیچھے سات سمندر
407,پڑھتا ہوں کلمہ آپ کے میں نانا جان کا
408,چناچہ ان کے پاس فرشتہ آیا اور کہا پڑھ
409,تیرے لیے میں صدیوں کو ٹھہرا سکتا ہوں
410,یا اس پر کوئی بیرونی قوم مسلط ہے۔
411,ان کی لوح مزار کے یہ دو ہیں :
412,لیتا نہیں کسی کا پس مرگ کوئی نام
413,میری اسائنمنٹ میں یہ مصرع سوال کی صورت ہے
414,گھوڑے کو چرنے کے لیے چھوڑ دیتا ہے
415,اور اس کے لیے یہ ساعت بڑی ہی سعید ہے
416,عجیب خواب تھا آنکھیں ہی لے گیا میری
417,کیوں کے میرے سوال ذرا ٹیڑھے ہوتے ہیں
418,تمام عمر فونٹ کے آنے کا انتظار کیا
419,اس جنگ میں ہنوں نے ساتھ دیا تھا۔
420,ان کا تعلق پاکستان کے صوبہ سندھ سے تھا
421,کوئی کیوں آئے جدھر کوئی بھی آواز نہیں
422,جو ہونا ہوتا ہے وہ ہو کے رہتا ہے
423,دونوں میں سے ایک کام تو ہوا ہی ہے
424,اس پرت میں قطبی اشفاق بھی دیکھتے ہیں
425,کوئی بھی کام ہو انجام تک نہیں جاتا
426,تمام مطبع و محراب و منبر و اخبار
427,اکیلا دل مرا فوج تمنا کے مقابل ہے
428,چھلکے سجے ہو جیسے پھلوں کی دکان پر
429,جاگتے ہی جاگتے پھر صبح تک گا میں
430,جو بچا ہے پر وہ بھی لگانا چاہیئے
431,منزل ہے کوئی اور فقط راستہ ہوں میں
432,دل منافق تھا شب ہجر میں سویا کیسا
433,ایک پل جو خدا کی یاد کا ہو
434,تو نے اسلام دیا تو نے جماعت میں لیا
435,جلا دین نے پائی ان کے بیاں سے
436,لاجواب شعر پایا ہے آپ کی تحریر سے
437,تعبیر یہ لیں یک نہ شد دو شد
438,جو 55ء اور 60ء کے درمیان سامنے آئے۔
439,آپ آ جائیں ناں اب بن جائے گا
440,جمرۃ الکبری کو بڑا شیطان کہا جاتا ہے۔
441,تو یہ ہوئی وجہ فضا کی بہتری کی
442,جو کیجئے تو بس اردو میں گفتگو کیجے
443,آتی نہیں ہے راس ہمیں جانتے ہیں ہم
444,سن صدائیں دے رہی ہے منزل پیار کی
445,پھرتا ہوں ترے واسطے میں دربدر اے یار
446,چاند تاروں سے پرے ایسی زمیں اور بھی ہے
447,تیرا نام لینا بھی جب گناہ ٹھہرا تھا
448,اس نئے طیارہ کا نام ٹی رکھا گیا
449,محبت زندگی ہے اور تم میری محبت ہو
450,اسرائیل کا 26 فلسطینی قیدی رہا کرنے کا اعلان
451,فقط عوام کے دم سے ہے زندگی کو دوام
452,پاکستان میں کہیں بھی یہ وائرس نہیں ہے۔
453,آپ نے تو فون نمبر بھی نہیں بتایا
454,نامیاتی کھادوں کے باعث پید اہونے والی آلودگی
455,پلیز چیک کرنے والے اسکو یہاں رپورٹ کریں
456,ایچ اے خان ، جولائی 28 ، 2007
457,ایچ اے خان ، اکتوبر 3 ، 2007
458,ایچ اے خان ، نومبر 23 ، 2007
459,ریئل وی این سی کی پاس ٹرو کرپٹ
460,ملکان کی مجموعی آبادی افراد پر مشتمل ہے
461,اپ نے کھانا ہی ہے نا اس کو
462,ہم جنہیں ہاتھ لگا کر ہی گنہگار ہوئے
463,جبتک میرے گھر والے شاید کراچی جاچکے تھے
464,ہیں ساغر و مینا کی طرح دل بھی شکستہ
465,پاک چین دوستی کی مکمل تفصیل اردو میں
466,صفائی کے اس عمل کا نام تزکیہ ہے۔
467,کسی غیر کو درد سنانے کی ضرورت کیا ہے
468,کے لیے کی علامت بھی استعمال ہوتی ہے۔
469,یہ پیڑ بھی عجب ہیں ہنستے نہیں کبھی
470,ہم نہ ہونگے کوئی ہم سا ہو گا
471,دل کا عجیب حال ہے فرصت میں بیٹھ کر
472,ایس فصیح ربانی ، مئی 27 ، 2010
473,اردو محفل کی پیشکش ہی کافی رہے گا
