sentence,log10_score
یادگار جو ریاست کی ملکیت نہیں۔ ٹائمز آف انڈیا,-3.2420467800564237
ایک ٹیم پہلے کھیل کر جتنی دوڑیں بنا سکے بناتی ہے۔,-1.93733059276234
اس موضوع پر ان گنت کتابیں بھی لکھی گئیں۔,-2.677501678466797
یحیی بن بطریق جو ابن بطریق کے نام سے مشہور ہیں۔,-3.391591505570845
اینجلا آئسا ڈورا ڈنکن شہرت کی حامل امریکی رقاصہ تھی۔,-4.850339126586914
جو یا تو مذہبی عبادت تھی یا شاہی محل۔,-3.680034637451172
نے تین سال کے عرصے میں قرآن مجید حفظ کیا۔,-2.2360021591186525
یہ پروگرام بھارتی چینل سونی ٹی وی نے نشر کیا تھا۔,-3.2018186395818535
برس کی عمر میں جماعت اسلامی کے رکن بنے۔,-2.6104808383517795
پروفیسر پانچ کتابوں کے مصنف ہیں سیاست سے متعلق ہیں۔,-2.6351654052734377
ان کی اداکاری اور صداکاری دونوں اپنی مثال آپ رہے۔,-2.0241289138793945
آخر میں اس نے زرنگ عربوں کے حوالے کرکے صلح کرلی۔,-2.380698810924183
بارہویں صدی عیسوی کے چاند گرہنوں کی فہرست,-1.8666260242462158
آبائی وطن موضع ناگڑیاں ضلع گجرات پنجاب، تھا۔,-4.482211112976074
خوگر نہیں کچھ یونہی ہم ریختہ گوئی کے,-2.671104669570923
نیز متکبر، کبریائی والے اور عظمت والے کو کہتے ہیں۔,-3.4751815795898438
اس کے بعد پرنسٹن یونیورسٹی امریکا چلے گئے۔,-2.125469923019409
وہ دیوی کالی کے مندر اور دعا پر چلتا ہے۔,-3.151461601257324
جزیرہ نما گیلی پولی تاریخی قومی پارک مع تصاویر,-3.4471651713053384
بادشاہ کی وفات کے بعد کا عہد سلطنت شروع ہوتا ہے۔,-2.4690780639648438
مجھے تو اور کوئی کام بھی نہیں آتا,-1.7059895992279053
اس جنگ میں ہنوں نے ساتھ دیا تھا۔,-3.0777029991149902
"""یعنی شویت امبر یا اشویتامبر کے معنی ہوئے """"سفید"""" """"لباس""""۔""",-4.776406478881836
شمالی جزیرے کے بیس پر پورٹ فوارہ تعمیر کیا ہے۔,-3.858214569091797
کلی مورتیوں میں لڑکیوں اور عورتوں دوسرے زیورات بھی پہنائے گئے۔,-1.9544178355823865
ڈیلفی یونان کے جنوب وسط میں واقع ہے۔,-3.242579460144043
اس کتاب کو کی سوانح حیات کہنا بھی درست ہو گا۔,-2.8063683943314985
جام جم، دارورسن، زخم بہار اور بار سفر شائع ہیں۔,-4.414923095703125
ان کا جد امجد محمد خان بنگش تھا۔,-2.702449083328247
لوگ کچھ بھی کہتے ہوں خود کشی کے بارے میں,-2.27209529876709
استعال میں نہایت سادہ مگر ساتھ ساتھ بہت طاقتور ہے۔,-2.3088262557983397
اس کے کرداروں پر کئی فلمیں بن چکی ہیں۔,-2.115125444200304
اس اسکول سے فارغ التحصیل چند نمایاں طلبہ,-3.0804710388183594
یکم ہندوستان پر ایسٹ انڈیا کمپنی کا راج ختم ہو گیا۔,-2.696778904307972
"""بیشک"""" نفس تو برائیوں کا ہی حکم دیتا """"ہے۔""",-4.3418163723415795
اس بیگ میں ایٹمی جنگ حملے کے متعلق معلومات ہوتی ہے۔,-2.8827715787020596
پاک چین دوستی کی مکمل تفصیل اردو میں,-2.3970723152160645
افریقا کی خود مختار ریاستوں و تابع علاقہ جات کی فہرست,-2.716024398803711
اکھل بھارتیہ ہندو مہاسبھا کی دفتری ویب سائٹ,-4.523587703704834
حج اسلامی سال کے آخری مہینے ذوالحج میں ہوتا ہے۔,-3.4064849853515624
سنہرے عقاب کو سرکاری پرندے کا درجہ دیا جاتا ہے۔,-1.9539077758789063
نگر پالیکا پریشد بہرائچ کے چیئرمین بھی رہے۔,-4.848849773406982
حکومت کے میں آکر ملازمت سے استعفی دیا۔,-3.158916473388672
مگر دنیا میں انسان کی چاہت ہی سب کچھ نہیں ہے۔,-2.3524615547873755
آپ سیدنا کے خاص شاگردوں میں سے تھے۔,-2.910881519317627
ہیت، فلسفہ اور ادبیات میں بھی کافی درک حاصل,-3.946000417073568
نامیاتی کھادوں کے باعث پید اہونے والی آلودگی,-4.717158317565918
یہ پالتو سانپ جسامت میں چھوٹا ہی ہوتا ہوگا۔,-4.212438371446398
علامہ جلال الدین سیوطی کی علم نحو پر مشتمل کتاب پر,-3.26016547463157
چنانچہ زندان شام کی روایت کے حسب ذیل ناقل ہیں۔,-3.191104507446289
سجاد ظہیر ترقی پسند تحریک کے بانیوں میں ایک ہیں۔,-2.5604455947875975
لہذا ان کو اجتماعی حثیت میں دیکھنا سمجھنا ضروری ہے ۔,-2.7605459039861504
اس الخوارزم کو ہم مثال کے ذریعہ واضح کرتے ہیں :,-3.08258056640625
سرخ پتلون کے ساتھ فائٹر کے طور پر گیین پیکر,-3.7078483581542967
مستقبل میں ترقی کے لیے ارجنٹائن کی بنیادیں مضبوط ہیں۔,-2.9992372512817385
گنتی میں اسے آٹھ سو تریاسی بولا جاتا ہے۔,-2.718999014960395
کرنے کے بعد رسوم کا مستقل حصہ بن گئے۔,-2.34756957160102
دگر مولیان تا در بدخشان / ہمینست ازین پادشاہی نشان,-5.335561370849609
اس فن پر مشتمل کتابوں کے نام یہ ہیں:,-2.8580559624565973
اس نے اپنے جذبات کو بادشاہ پر ظاہر نہ ہونے دیا۔,-2.1715221405029297
وزارت کھاد و کیمیائی مواد حکومت ہند کی ایک وزارت ہے۔,-3.5023713545365767
اس اجلاس میں لیاقت علی خان نے بھی شرکت کی۔,-2.0694660186767577
وہ تاریخ کے موضوع پر متعدد کتابوں کے مصنف تھے۔,-2.1896400451660156
سولہویں اور سترہویں صدی میں جادوگرنیوں کے خلاف مہم چلی۔,-3.6165702819824217
ریاض آباد ریلوے اسٹیشن ریاض آباد میں واقع ہے,-2.4712547726101346
اگر کسانوں کے پاس روٹی نہیں تو انہیں کیک کھانے دیں۔,-3.3000689419833096
اس کی ساری عمر خدا پرستی اور حقیقت نوازی میں گزری۔,-2.369337948885831
اور کوئی نہیں جانتا کہ ان لفظوں کا کیا مطلب ہے۔,-2.1391164606267754
دونوں نے جلسے میں شرکت کی زحمت نہیں کی۔,-2.7825378841824002
اس لیے اس کا نام بروڈ پیک ہے۔,-2.4535582065582275
یہ گاوں ساسانی سلطنت کے زمانہ میں بسایا گیا تھا۔,-3.4343189239501952
ان کی والدہ سلطان جارجیا کے شہر پوتی کی ولمہ تھیں۔,-3.6707534790039062
اقتدار کے ایوانوں میں انہیں نقص گیر کہا جاتا تھا۔,-3.2517841339111326
گنتی میں اسے ایک سو تین بولا جاتا ہے۔,-1.4517510732014973
پھر یہ لوگ آنکھوں پر پٹی باندھ چکے تھے۔,-2.510813183254666
وہ وفا شعار اور با وفا لڑکی ہوتی ہے۔,-2.934246063232422
جارجیائی بنیادی طور پر روس کی جمہریہ جارجیا میں آباد ہیں۔,-3.649580175226385
پیدائشی طور پر تعلق حیدرآباد، دکن سے تھا۔,-3.847452163696289
راہی نے متعدد کتابوں پر تنقیدی تبصرے لکھے ہیں۔,-3.472063488430447
قطر میں ہندو آبادی ملکی آبادی کا بنتی ہے۔,-2.994291305541992
سکاٹ لینڈ کی سرحد صرف انگلستان سے ملتی ہے۔,-3.0765917036268444
پوتا: قاسم بن حسن میدان کربلا میں شہید ہوئے,-2.89057985941569
نیم شب پای فرو ہشت بہ کاشانہ ما,-4.593690395355225
وہ پہلی انگریز سکھ جنگ کے دوران گورنر جنرل ہند بنا،۔,-2.796809109774503
بلکہ یہ لوگ اسے اپنا مقدس فریضہ مانتے تھے۔,-3.463491439819336
رفاعی سلاسل تصوف میں سے ایک سلسلے کا نام ہے۔,-3.0655868530273436
مزید اس صفحہ پر ملحظہ کریں جزائر ایران,-3.727132558822632
پریم چند کے اثر سے اردو میں ناول کو ترقی ہوئی۔,-2.7244508916681465
ایک ہزار ماڈل اسکولوں، کالجوں اور اسلامی مراکز کا قیام,-3.338640594482422
انہیں پاکستان کا اعلی پایہ کا باورچی بھی کہا گیا ہے۔,-2.842752456665039
سالم آرگنائزر کے طور پر سلیم خان ڈنگ ڈونگ,-3.7908706665039062
سر میں رسولی کی وجہ سے کراچی میں وفات پائی۔,-2.636635398864746
طلب علم میں اسکندیہ، شام اور عرب کا سفر کیا۔,-3.4577392578125
فقہ حنبلیہ سے نسبت کی وجہ سے الحنبلی کہلاتے ہیں۔,-3.846710205078125
ڈاکٹر ثمر مبارک مند - نیوکلیئر طبیعیات اور میزائل انجینئر,-3.550457000732422
اتنا نہ یاد آ کہ تجھے بھول جائیں ہم دد,-2.3809986114501953
پہلی صدی عیسوی کے چاند گرہنوں کی فہرست,-1.8247785568237305
علمی مراحل طے کرنے کے بعد تدریس میں مصروف ہوئے۔,-2.8310192108154295
"""علی گڑھ سے ایک رسالہ """"اردوئے معلی"""" جاری کیا۔""",-4.8078431023491754
پاک-چین تعلقات کو چینی وزیر اعظم نے یو بیان کی:,-3.9478759765625
پہلا واقعہ حدیث کی کتاب صحیح بخاری میں مرقوم ہے۔,-2.872628593444824
تاہم حالیہ برسوں میں فوجی اخراجات میں کمی کی گئی ہے۔,-1.910378716208718
دونوں جماعتوں کے درمیان مفاہمت کی کئی کوششیں ہوئیں۔,-3.15628899468316
قریش مکہ کو پناہ نہیں دی جائے گی۔,-2.2961838245391846
امام، محمد بن حسین بن حسن حنفی، ببکر خواہر زادہ۔,-4.890699005126953
گورنمنٹ اسکول فار مینٹلی ریٹارڈد، اسپیشل ایجوکیشن کمپلیکس، بروری روڈ، کوئٹہ,-5.301992242986506
یہوداہ یا تدی، یسوع کے بارہ رسل میں سے ایک تھے۔,-4.001857410777699
گویڈیلک زبانوں میں سے قدیم ترین معروف شکل ہے۔,-3.63716549343533
کچھ مہینے بعد سارے امتحان مکمل ہو گئے۔,-3.1783945560455322
بنگش قبائیل خاندانی طور پر انتہائی امیر ہیں۔,-3.428144693374634
کلی ثقافت کا نمایندہ قبرستان میہی سے ملا ہے۔,-3.8350821601019964
س رہاڑی ریلوے اسٹیشن سرہاڑی میں واقع ہے,-3.296417713165283
اردو: پانی کو ڈنڈے سے جدا نہیں کیا,-3.1126997470855713
ان کے قتل سے قریش کے حوصلے پست ہو گئے۔,-1.9005340576171874
وہ لوگ آنکھوں سے اوجھل ہو گئے ہیں,-1.4515178203582764
کل تین جگہ ہیں چوتھی جگہ استعمال نہیں ہو سکتی۔,-3.7039737701416016
جس کا مطلب ہے کہ یہ شہر چلایا گیا ہے۔,-2.0942445755004884
بچپن پلے اسکول میں مختلف مقابلوں کے ساتھ ڈے,-3.546481450398763
نسل کا اطلاق جانوروں کی مخصوص نسل پر بھی ہوتا ہے۔,-2.9952260797674004
سورج کے ساتھ طلوع اور غروب ہونے والے 'بچے',-3.3329255845811634
نام عبد اللہ بن احمد بن حنبل اور کنیت ابوعبدالرحمن تھی۔,-2.931588953191584
اور اس کو رینگت کی کی طرح کی حیثیت دی گئی۔,-2.725372141057795
ان میں عورتوں اور جانوروں کی مورتیاں شامل ہیں۔,-1.865009519788954
گھسر پھسر تو نہیں کوئی مشورے کی بات کر رہے تھے,-2.9210257096724077
اہل کے نزدیک یہ مستند ترین کتب میں شامل ہے۔,-2.6841039657592773
چونکہ مقدسہ مریم بھی دولہا کی رشتہ دار تھیں۔,-3.541805691189236
ایک اردو آن لائن لغت میں معید کا اندراج۔,-3.584563785129123
اس واقعہ کا اسلامی نام شیطانک ورسز نہیں ہے۔,-3.3160684373643665
بربر قوم حریت پسند اور جنگ جو تھی۔,-3.840759754180908
پاکستان ٹیلی وژن نیٹ ورک ریاستی ٹی وی اسٹیشن ہے۔,-2.5095102310180666
گنتی میں اسے چار سو چوراسی بولا جاتا ہے۔,-1.3832577599419489
۔ اگر شوہر کسی کریہہ مرض میں مبتلا ہو جائے؛,-3.546113204956055
یہ فلم اسقاط حمل کے خلاف بنائی گئی تھی۔,-2.928328620062934
آپ اردو کے پہلے ناول نگار تسلیم کیے جائے ہیں۔,-2.178523635864258
کانوں میں پہنے کے تکونے زیورات بھی ملے ہیں۔,-3.6079923841688366
پیسا ٹاور - پیسا میں ایک مشہور مینار,-3.0228917598724365
چوتھے فلک پہ پہنچا تھا پانی کمر کمر,-3.6997344493865967
آسارام سے زائد چھوٹے بڑے آشرموں کے مالک ہیں۔,-3.7034662034776478
زندگی کا بڑا حصہ تنگی و ترشی میں گزرا۔,-3.6926561991373696
چیتی گانے میں رسولن بائی اور گریجا دیوی نے شہرت پائی۔,-4.661477522416548
میٹرک پاس کے مدرسہ میں مدرس ہو گئے۔,-3.281632423400879
ایک ایسا طریقہ علاج جو مریض کو کلی شفا دیتا ہے۔,-3.1950902071866123
اس کے بعد ملک میں مارشل لا نافذ ہو گیا۔,-1.5660480499267577
مدرسہ کے مہتمم اور بھی آپ ہی تھے۔,-3.291395425796509
حضرت علی کے گھر میں کھانے کو کچھ نہ تھا۔,-2.0879934310913084
حیاتیات داں؛ زندگی کی مختلف اقسام کے بارے میں معلومات,-2.5853214263916016
مسقطی ڈائری کے ویب سائٹ پر مسقطی کے بارے میں۔,-3.755083465576172
ان تعلیمات کا حضرت ابراہیم کے صحیفوں میں نازل ہوئی تھیں۔,-3.145383661443537
مختصرا قانون کا پہلا بیان کافی ہے تمام صورتوں کے لیے۔,-3.7293541648171167
انہوں نے ایک اسلامی تبلیغی تنظیم قائم کی۔,-3.362077236175537
جو اس کے اور راجپوت برادری سے تعلق رکھتے ہیں۔,-2.563350868225098
یہاں ان کی پہلی فلم 'دال میں کالا' تھی۔,-3.5221231248643665
مون سون بادلوں اور بارشوں کا ایک سلسلہ ہے۔,-2.0908148023817272
اس کو گنتی میں چھیاسی بولا جاتا ہے۔,-1.5197527408599854
ہزار گنج چلتن نیشنل پارک - حکومت بلوچستان,-3.7854199409484863
حضرت عمر نے اپنے ماموں کو اپنے ہاتھ سے قتل کیا۔,-2.5054071599786933
اکبر کے عہد حکومت میں بہرام آگرہ میں مقیم تھے۔,-2.7746349334716798
دیگر چکوک جو شہر کے نزدیک ہیں درج ذیل ہیں ۔,-2.8862037658691406
گویا ان حالات و واقعات کی تفصیل ہوتی ہے۔,-2.549041748046875
اسلام اور جدیدیت: سرمایہ دارانہ نظام کا منتخب,-2.922924757003784
ایم آر کیانی - سابقہ منصب اعلی لاہور عدالت عالیہ,-3.4561016082763674
تحصیل زیارت بلوچستان کے ضلع زیارت کی ایک تحصیل ہے۔,-2.4487983703613283
کچھ عرصہ اسمبلی میں حزب اختلاف کی قیادت کی۔,-2.9037833743625217
اس سلسلہ میں درج ذیل احادیث ملاحظہ فرمائیے :۔,-2.287236531575521
رابعہ خضداری اسپیشل ایجوکیشن سینٹر فار ھئیرنگ امپئیرڈ چلڈرن، خضدار، بلوچستان,-5.129264831542969
اس میں و اطراف کے لاکھوں شیعہ شرکت کرتے ہیں۔,-3.4567134857177733
اقبال کتب خانہ کی خدمات کی رسائی تک ممکن بنانا۔,-3.5511734008789064
جس سے ساری کہانی میں مزہ پیدا ہوتا ہے۔,-2.6315224965413413
جو اپنے بھائی کا انتقام لینے کے لیے آیا تھا۔,-2.340982437133789
وہ ایلیاڈ اور اوڈیسی جیسی شاہکار رزمیہ نظمیں لکھیں تھیں۔,-4.429667282104492
یہ وہ زمانہ تھا کہ مسلمانوں کی حالت اچھی نہ تھی۔,-2.249917984008789
آپ کے والد علم و فضل میں یکتا تھے۔,-2.1190022362603083
اسد آفریدی کرکٹ آرکائیو کی ویب سائٹ پر,-2.4228665828704834
اور غزل میں داخل اور خارج کی کشمکش جاری ہے۔,-3.1480422973632813
اس لڑکی ویرا کے سامنے قاتل اپنے آپ کو ظاہر ہے۔,-3.146867578679865
نیز سول سروس اکیڈمی میں انسٹرکٹر کے فرائض بھی انجام دیے۔,-3.341114044189453
یہ مقابلے ایشین سرکل کبڈی قوانین کے تحت ہوئے۔,-3.8977669609917536
انہیں اعزازی طور پر کیپٹن کا عہدہ ملا ہوا تھا۔,-2.361408805847168
علاقے پر ترکوں کا اثر و رسوخ قائم ہو گیا۔,-2.4581350326538085
"""مزنی فرمانے لگے """"وہ تفریعات"""" میں سب پر فائق """"ہیں۔""",-4.881163024902344
اسے سولہویں صدی کے درمیان میں بنایا گیا تھا۔,-2.384494357638889
"""آپ نے اسے فرمایا: """"اپنا"""" دایاں زمین سے""",-4.024446964263916
سرہندی شاہ کمال کے پاس پہنچے اور انہیں اپنا خواب سنایا۔,-2.8396082791415127
آدم عربی زبان میں انسان کے معنی رکھتا ہے۔,-2.8727660708957248
فلم کے اداکاروں نے اپنی اداکاری کے جوہر دیکھے۔,-2.7343457539876304
لیکن ان کی اہمیت کو نہیں بھلایا جا سکتا۔,-2.951073964436849
بیسویں صدی عیسوی کے چاند گرہنوں کی فہرست,-1.8307573795318604
"""ان کی والدہ کا نام """" سلمی"""" بنت """"عمرو"""" تھا۔""",-3.773044967651367
ہیمر اسٹورم، ہرالڈ؛ فورکل، رابرٹ؛ ہاسپلمتھ، مارٹن، ویکی نویس,-6.34337404039171
اس وقت پورا داغ کے نام سے گونج رہا تھا۔,-2.834748458862305
چنانچہ مسیح کا مقدس ہونا کسی بھی صورت ممکن نہیں۔,-3.191440200805664
یہ مسجد بئر رومہ کے قریب واقع ہے۔,-3.489154577255249
ان میں تین نام سب سے اہم ہے,-1.9493869543075562
بارہ سال کی عمر میں پہلی نظم لکھی۔,-2.675772190093994
اس سے فصل اور باغبانی اچھی ہوتی ہے۔,-2.0004730224609375
نورانی قاعدہ، طبع مکتبہ اشرفیہ ہردوئی، یوپی، ہند,-5.578489780426025
انکا شمار پاکستان کے سینئر صحافیوں میں کیا جاتا ہے۔,-2.186001014709473
البتہ اس کا سارا سفر کے قریب قریب رہتا ہوگا۔,-2.7336124420166015
"""اس کو """" برٹش"""" انڈین """"گورنمنٹ"""" کہتے تھے۔""",-4.56430196762085
مدرسہ بدایوں اہل سنت و جماعت کی ایک تاریخی درسگاہ ہے۔,-3.0187183726917612
ان کی لفظیات میں داستانوی رنگ نمایاں ہے۔,-1.9215837717056274
پنجابی پاکستان میں سب سے زیادہ بولی جانے والی زبان ہے۔,-1.8661081140691584
ہوں یہ نام یگیہ کے منتروں کا سا مقام حاصل,-3.708246612548828
ڈاکٹر نے سینٹ اسٹیفن کالج دہلی سے تدریس کا آغاز کیا۔,-2.053630828857422
بیٹا: عبد اللہ ابن علی کربلا میں شہید ہوئے,-2.3956807454427085
یونان نے بھی اپنی آزادی کا اعلان کر دیا۔,-2.2488004896375866
"""ٹالسٹائی"""" کے ابتدائی اور بعدازاں ادبی رجحانات پر ایک فلسفیانہ """"نظر""""۔""",-3.993960293856534
جس میں سوار ہوکر جنگل کی سیر کی جا سکتی ہے۔,-2.4707693620161577
"""اور ایک رسالہ """"عید"""" کا """"چاند"""" اردو زبان میں بھی ہے۔""",-3.668589158491655
قبائلی کبر و غرور تنظیم کا دشمن ہوتا ہے۔,-3.1107660929361978
جس سے بیرون ملک بھی لوگ آپ کے متعرف ہیں۔,-3.021825981140137
جارج فہیر کے ساتھ کیمسٹری میں وولف پرائز,-4.2388834953308105
مابعد حرف: کسی حرف کے بعد والے حرف کو کہتے ہیں۔,-3.4541515003551138
نوری لال ہالٹ ریلوے اسٹیشن نوری لال میں واقع ہے,-2.879281425476074
یادو کی اولاد سے کرشن جی اور بلرام تھے۔,-3.889624277750651
اس کی ثقافت چھ ہزار سال پرانی ہے۔,-2.1573407649993896
ایک برکی روڈ، لاہور جبکہ دوسرا شیخوپورہ میں واقع ہے۔,-3.636465072631836
عمر کی طرف سے نہاوند کے گورنر تھے، ۔,-3.378895017835829
جئے دیو گرو گرنتھ میں شامل سب سے قدیم شاعر ہیں۔,-3.3836149735884233
میٹھے پانی کے حوض کی مچھلیوں کی فہرست,-2.9281222820281982
تیرا نام بڑی برکت والا ہے اور تیری بزرگی بلند ہے۔,-2.8056434284556997
درجن بھر اہرن کوڑے کی چوتی سطح سے ملے ہیں۔,-3.9834335327148436
وہ چودہ مقام جن پر سجدہ واجب ہے۔,-1.8765575885772705
آتے جاتے ہوئے موسم تھے زمانہ تو تھا,-1.8735930919647217
یہ تصویریں سب کی سب سیاہ رنگ سے بنائی گئیں ہیں۔,-2.725823835893111
اس کے جسم پر بھالوں کے درجنوں زخم تھے۔,-3.2622464497884116
ووکیشنل ٹریننگ سینٹر فار ڈس ایبلڈ پرسنز، خضدار,-5.188723564147949
یہ فلم باکس آفس پر کچھ زیادہ کامیاب نہیں ہو سکی۔,-2.205087488347834
یہ نیشنل ہائی وے اتھارٹی کے زیر انتطام ہے۔,-2.355317857530382
بربروں کے حملے کے بارے میں اس سے مشورے کیے۔,-3.257345962524414
چھٹی صدی قبل مسیح کے چاند گرہنوں کی فہرست,-1.4566515816582575
ٹک مہر کے پانی سوں یہ آ گ بجھاتی جا,-2.3586374282836915
لالہ ملک راج سرف ایک بھارتی صحافی اور مصنف تھے۔,-2.1622697830200197
اللہ ہر برائی، نقص، عیب اور ظلم سے اعلی ہے۔,-3.8879154205322264
نصاب التجوید : مولانا محمد ہاشم خان صفحہ کراچی,-3.677543216281467
برمودا کے علاوہ آئل آف مان کا نام بھی ہے۔,-2.9260631561279298
کراچی سے بذریعہ اسٹیمر یہ سفر ہوا تھا۔,-3.8008062839508057
حضرت مولانا یوسف صاحب آپ کے رفیق اور ہم درس تھے۔,-2.864193656227805
سچا سوا ریلوے اسٹیشن پاکستان میں واقع ہے۔,-2.266556978225708
ان کا ناول آزاد اردو کا ایک شاہکار ہے۔,-2.752712673611111
پہلی شاخ ہستناپور میں راج کرتی تھی اور دوسری متھرا میں۔,-4.020741549405185
وسطی پٹی پر زیادہ تر شہر اور قصبے آباد ہیں۔,-3.2438518524169924
ہم رات بہت روئے بہت آہ و فغاں کی,-3.3044073316786022
آپ شام، ایران اور عراق کے حاکموں سے بھی ملی تھیں۔,-3.3920360911976206
ڈراما خواب ہستی بھی اسی آخر ی دور کی یادگار ہے۔,-3.37484394420277
ابراہیم مسقطی اس دنیا سے کوچ کر گئے۔ اعتماد اخبار,-3.4086631774902343
اور آپ کو دفن کے لیے کربلا لے گئے تھے۔,-2.71191349029541
یہ غالبا انیس سو باسٹھ کی بات ہے۔,-3.1275455951690674
پرچم شناختگر، کسی پرچم کی شناخت کرنے کے لیے ایک اوزار,-2.7015575062144888
اقبال شناسی کے لیے تحقیق و تدوین کے مواقع فراہم کرنا۔,-2.7887819463556465
سکینہ کے والد گرامی سردار کربلا حسین ہیں۔,-3.7320828437805176
وہ سی شی کو نہنی کے نام سے پکارا کرتے تھے۔,-3.2328869212757456
احمد ندیم اور افسانہ نگار۔ سنگ میل پبلی کیشنز لاہور،,-3.4602024078369142
شاہ عبد العلیم صدیقی نجیب الطرفین صدیقی تھے۔,-3.796980619430542
اختلاج قلب کی وجہ سے مستعفی ہونا پڑا۔,-3.6117818355560303
مختصر تاریخ ڈاکٹر ویلہم زبان سے اردو میں,-3.127253770828247
یہ کتاب بخارا اور تہران میں چھپ چکی ہے۔,-2.8561893039279513
تاکہ تمام علاقوں پر اچھی طرح تلسلط قائم رکھ سکیں۔,-3.627682113647461
اور ان کو غفلت سے خالی خالی اور فارغ رکھے گی۔,-2.318013971502131
خبر میں متواتر کی ساری شرائط نہ ہو۔,-3.1456120014190674
دل درد سے بوجھل ہو تو پھر نیند کہاں کی,-2.1775390625
شرح مفتی احمد یار خان جلد ہشتم نعیمی کتب خانہ گجرات,-3.496570587158203
جب کا گورنر تھا تو اس کا سالہ تھا۔,-2.8194154103597007
سید اشرف علی دو سال تک اس خدمت پر فائز رہے۔,-3.0525034124200996
اور ان کے بعد پال ششم پوپ بنے۔,-3.7030701637268066
اس فلم کی ہدایت منوج کے سریدھر نے دی۔,-3.7616424560546875
ان کی اکثر تقاریر اسلام، مسیحیت اور بائبل پر مرکوز تھیں۔,-3.988582957874645
تیلگو دیشم پارٹی کی جانب سے دو مرتبہ یم۔,-2.775708940294054
"""اور"""" وہ نفس کو ہر بری خواہش سے روکتا """"ہے۔""",-3.2274906158447267
یہ جماعت اسلامی کے چار بڑے دھڑوں میں سے ایک ہے۔,-2.1833324432373047
معشوق جو تھا اپنا باشندہ دکن کا تھا,-1.8479409217834473
