,Stim
41,سجدہ تلاوت مطابق امام شافعی: الحج، آیت 77۔
42,مونس و دمساز مری آہ ہے فریاد ہے
43,"""عالمی"""" کبڈی لیگ کی سرکاری ویبسائٹ- صفحہ """"اول""""۔"""
44,میں نے کہا شوق سے ضرور پڑھوا دیجئے۔
45,متن میں مذکور الفاظ سنن نسائی کے ہیں
46,لاسز یا کاپر لاسز کم ہو جاتے ہیں۔
47,یہ نام تو کی روداد میں درج ہیں۔
48,اور سید محسن رضا کاظمی زیادہ معروف ہیں
49,پٹریاں ممباسا سے کمپالا کی جانب جاتی ہیں۔
50,لانڈی کوتل ریلوے اسٹیشن پاکستان میں واقع ہے۔
51,عمر کی طرف سے نہاوند کے گورنر تھے،۔
52,لیکن چار دن میں ہتھیار ڈال چکی تھی۔
53,چودہویں صدی عیسوی کے چاند گرہنوں کی فہرست
54,جبکہ دو صاحبزادے اسعد اور محمد جونیئر ہیں۔
55,ایک چوکور چار انچ مربع برتن ملا ہے۔
56,مونسون بادلوں اور بارشوں کا ایک سلسلہ ہے۔
57,ان کی لفظیات میں داستانوی رنگ نمایاں ہے۔
58,وار فکشن کے حوالے سے افسانوں کا ایک
59,اس نے گھریلو کرکٹ ہریانہ کے لیے کھیلا۔
60,چنانچہ آپ کو لیکر گنگوہ روانہ ہو گئے۔
61,مجھ کو کافی ہے ترا نام برائے خوشبو
62,تیری نگاہ سے دل سینوں میں کانپتے تھے
63,"""آپ نے اسے فرمایا: """"اپنا"""" دایاں زمین سے"""
64,شیخ ابو نصر جیلانی کے فرزند ارجمند ہیں۔
65,اس میں اپنے ڈراما کو قسطوار شایع کیا۔
66,الیڈ اور اودیسی کا انگریزی میں ترجمہ کیا۔
67,بیٹا: عبداللہ ابن علی کربلا میں شہید ہوئے
68,ان حالات میں بادشاہت برائے نام ہی تھی۔
69,مینا شاہ اپنے والد کی اکلوتی اولاد تھی۔
70,امام باڑہ حسینآباد مبارک یا چھوٹا امام باڑہ
71,گنتی میں اسےتین سو نوے بولا جاتا ہے۔
72,میٹھے پانی کے حوض کی مچھلیوں کی فہرست
73,بڑا آدمی نہ پریشان ہوتا ہے نہ خوفزدہ۔
74,آتے جاتے ہوئے موسم تھے زمانہ تو تھا
75,یوسف رضا گیلانی - سابقہ وزیر اعظم پاکستان
76,کراچی سے بذریعہ اسٹیمر یہ سفر ہوا تھا۔
77,ولی اسے مختلف ناموں سے یاد کرتے ہیں۔
78,وہ بچپن ہی سے ایک شاعرہ بھی تھیں۔
79,سب سے کم بیج کی حامل قسم ہے۔
80,یہ غالبا انیس سو باسٹھ کی بات ہے۔
81,1919ء میں اورینٹل فیکلٹی کے ڈین بنائے گئے۔
82,پتھر کی دیواروں والے کنویں بنائے جاتے تھے۔
83,حضرت سعد بن عبادہ نے عرض کیا کہ:
84,"""موضع ریحانہ ضلع ہزارہ """"سرحد"""" میں پیدا ہوئے۔"""
85,دل کی مشکل کبھی آساں نہیں ہونے دیتا
86,انہوں نے کہا نہیں یہ فضول خرچی ہوگی۔
87,موسی نے اس کی عزت و تکریم کی۔
88,کسی کو آج تک خبر بھی نہ ہوئی؟
89,اس طرح پورے ملک میں انگریز حکومت تھی۔
90,ہر کجا ذکر بہ نامش ہمہ افلاک حیا
91,"""سیلفی"""" لیتے ہوئے خود کو گولی مار """"لی""""۔"""
92,خوگر نہیں کچھ یونہی ہم ریختہ گوئی کے
93,اس علاقے میں زلزلے بھی آتے رہتے ہیں۔
94,گرمکنڈہ میں سالانہ مشاعروں کے انعقاد میں تعاون۔
95,یہ جذبہ یاد ماضی کی عین ضد ہے۔
96,اشرف اردو، فارسی اور انگریزی میں لکتھے ہیں۔
97,سچا سوا ریلوے اسٹیشن پاکستان میں واقع ہے۔
98,پنجاب اور سندھ کے علاوہ بلوچستان میں بھی۔
99,لہذا اس کے ہاں تلمیحاتی نظام مضبوط ہے۔
100,اسپیشل ایجوکیشن کمپلیکس فار ڈسایبلڈ خالقآباد، قلات ڈویژن
101,صوبہ بلوچستان ضلع کے شمال میں واقع ہے۔
102,مسٹر ہاوٹری، اسکول کے انتہائی سخت ہیڈ استاد۔
103,آپ کے ہاں ابتدا میں بہت تنگی تھی۔
104,مختصر تاریخ ڈاکٹر ویلہم زبان سے اردو میں
105,بنگش قبائیل خاندانی طور پر انتہائی امیر ہیں۔
106,امتیاز حسین تذکرہ اولیائےملتان، صفحہ 73، مطبوعہ ملتان۔
107,بیسویں صدی عیسوی کے چاند گرہنوں کی فہرست
108,وہ چودہ مقام جن پر سجدہ واجب ہے۔
109,"""آج"""" کا دن تاریخ """"میں""""،"""" اردو ڈاٹ کو"""
110,فیصل جسم پہ تازہ لہو کے چھینٹے ہیں
111,عرب شاعروں نے کا درجہ بہت بلند ہے۔
112,اسد آفریدی پاکستان کے سابق کرکٹ کھلاڑی تھے۔
113,اکثر مفسرین اس کو مکی قرار دیتے ہیں۔
114,نویں صدی عیسوی کے چاند گرہنوں کی فہرست
115,اسلام اور جدیدیت: سرمایہ دارانہ نظام کا منتخب
116,ایام عزا میں مجلس پڑھتے سنا ہے ۔
117,مولانا قاسمی ہمارے درمیان نہیں رہے قومی آواز
118,پیشے کے لحاظ سے وہ ماہر زراعت ہیں۔
119,"""میرے"""" مالک خدا وند نے یہ سب """"کہا۔"""
120,وہ 1968ء میں انڈونیشیا کے صدر بن گئے۔
121,کلور کوٹ ریلوے اسٹیشن پاکستان میں واقع ہے۔
122,یا اس پر کوئی بیرونی قوم مسلط ہے۔
123,فوجی بغاوت اگست 1975ء کے بعد رہا ہوئے۔
124,پاک چین دوستی کی مکمل تفصیل اردو میں
125,مزید اس صفحہ پر ملحظہ کریں جزائر ایران
126,مینا شاہ کی پیدائش کے شہر بلرامپور 1937ء
127,اٹھارہویں صدی عیسوی کے چاند گرہنوں کی فہرست
128,مسجد کا مجموعی رقبہ 3920 مربع میٹر ہے۔
129,میلان سے شہر کا فاصلہ 136 کلومیٹر ہے۔
130,اس کا کرتب مہابھارت میں بیان ہوا ہے۔
131,اس لیے اس کا نام بروڈ پیک ہے۔
132,سمہسٹہ جنکشن ریلوے اسٹیشن پاکستان میں واقع ہے۔
133,اس کے بازو یا پنکھ کمزور ہوتے ہیں۔
134,بدنہ: اونٹ یا گائے اور بیل بھی شامل
135,مبالغہ کے لغوی معنی ہیں حد سے بڑھنا۔
136,آگرہ اور علیگڑھ مسلم یونیورسٹی میں تعلیم پائی۔
137,کیونکہ ان کو روشنی سے سخت نفرت ہے۔
138,خبر میں متواتر کی ساری شرائط نہ ہو۔
139,تاریخ محمد کتب خانہ قصہ خوانی بازار پشاور
140,ان بزرگوں کے پیروکار بعد میں بریلوی کہلائے۔
141,سانچہ:قرآن-سورہ 22 آیت یعلم ما بین وما خلفہم
142,ہم جنہیں ہاتھ لگا کر ہی گنہگار ہوئے
143,ارادے باندھتا ہوں، سوچتا ہوں توڑ دیتا ہوں
144,مولانا محمد اشرف صاحب کے دو صاحبزادے تھے۔
145,کوئی نہ سہہ سکے لہجہ کرخت ایسا تھا
146,دوم بہت بہادر اور اشکار کے شوقین تھے۔
147,شمعون کے فرقہ میں سے سافت بن حوری
148,آپ ثانی کے نام سے بھی معروف تھے۔
149,پانگلوس مابعد الطبیعیاتی دینیاتی کونیات کا استاد تھا۔
150,کھچی والا ریلوے اسٹیشن پاکستان میں واقع ہے۔
151,اب وہ میلان گریز میں بدلنے لگا تھا۔
152,6۔ سید محمد مہدی بن محمد جعفر موسوی
153,پھر اس جوڑے کو جنت میں رہنے دیا۔
154,ہر حصہ میں مزید کئی زمرے ہیں، جیسے:
155,1968ء میں سیاست سے کنارہ کش ہو گئے۔
156,خوبی میں گل رخاں سوں ممتاز ہے سراپا
157,اوڈیشا میں 1992ء کی شراب خوری سے اموات
158,کالعدم تنظیم بلوچ لبریشن آرمی کے سرگرم رکن۔
159,اس کی وجہ شاید موسمی تبدیلیوں میں ہو۔
160,عمر بھر سنگ زنی کرتے رہے اہل وطن
161,معشوق جو تھا اپنا باشندہ دکن کا تھا
162,تیری ذات بابرکت اور بلند و بالا ہے۔
163,اور 1412ہجری کے میں فعال کردار ادا کیا۔
164,زمین کا دیرپا استعمال کی صلاحیت رکھتا ہے۔
165,بیشتر صنعتیں شہر کے مشرق میں واقع ہیں۔
166,ییاتی کے دو بیٹے پورو اور یادو تھے۔
167,افضل، ایران مشرقی آزربائیجان اور ایران کا علاقہ
168,یہودا کے فرقہ میں سے کالب بن یفنہ
169,یہاں سے اقبال کی تعلیم کا آغاز ہوا۔
170,بانویا کے والد کے طور پر گھوشنھ راہرہ
171,خالی صدف ساحل سمندر پر اکثر ملتے ہیں۔
172,182 آپ کی طویل ترین انفرادی اننگ ہے۔
173,عالیہ دراصل ایک ذہنی کشمکش کا شکار ہے۔
174,مقامات انبیا کا تصویری بن اختر ارسلان کراچی
175,زنی بود در اندلس شہریار/خردمند و با لشکری
176,نامیاتی کھادوں کے باعث پید اہونے والی آلودگی
177,جمرۃ الکبری کو بڑا شیطان کہا جاتا ہے۔
178,آپ کی مشہور تالیفات مندرجہ ذیل ہیں :
179,کبھی تو وصل کبھی ہجر سے رہائی دے
180,شوکی صاحب کے لکھے ہوئے تبصرے سے۔ ماخوز
181,بھوٹان کے کے بارے میں چند دلچسپ حقائق
182,وہ صوقلو محمد پاشا کے عم زاد تھے۔
183,چراغ سامنے والے مکان میں بھی نہ تھا
184,اونگ کی بادشاہت چین کی آخری بادشاہت تھی۔
185,کور بہ چشمی کہ لذت گیر دیداری نشد
186,ان کا تعلق بےحد غریب گھرانے سے تھا۔
187,اس جنگ میں ہنوں نے ساتھ دیا تھا۔
188,سلمی ممتاز 1926ء میں جالندھر میں پیدا ہوئیں۔
189,کچھ مہینے بعد سارے امتحان مکمل ہو گئے۔
190,تقدیر کی درج ذیل تین اقسام ہیں :
191,یہ مسجد بئر رومہ کے قریب واقع ہے۔
192,امام دوم علی شاہ کے زمانے میں واقعات۔
193,اس سے فصل اور باغبانی اچھی ہوتی ہے۔
194,آپ کا تعلق سلسلہ عالیہ چشتیہ سے تھا۔
195,برہما پیدائش کے لیے مستعمل لفظ سے مشتق
196,ان کا انعقاد ایشیائی اولمپک کونسل کرتی ہے۔
197,امام حصکفی کے قلم سے کی شرح ہے۔
198,بعد میں فلسفے کے شعبے میں چلے گئے۔
199,امام احمد رضا خان، احکام ترتیل، صفحہ 19
200,اس وقت ان کی عمر 36 سال تھی۔
201,اسد ابن اثیر جلد 205 المیزان پبلیکیشنز لاہور
202,پیسا ٹاور - پیسا میں ایک مشہور مینار
203,یہ کھیل رنگ کے اندر کھیلا جاتا ہے۔
204,چھلکے سجے ہو جیسے پھلوں کی دکان پر
205,وہ سنہ 2013ء سے کنیست کے اسپیکر ہیں۔
206,اکبر وارثی کی وجہ شہرت میلاد اکبر ہے۔
207,چچا کے دادا: ابن دیکھیے شیبہ بن ہاشم
208,مستونگ روڈ ریلوے اسٹیشن پاکستان میں واقع ہے۔
209,پوتا: علی اکبر میدان کربلا میں شہید ہوئے
210,آپ کے خاندان کا تعلق بہرائچ سے تھا۔
211,بعد میں غلامی کو ترک کر دیا گیا۔
212,"""جنات"""" کا وجود قرآن پاک کی روشنی """"میں""""۔"""
213,بعد میں یہ گردش زمانہ کا شکار ہوا۔
214,پاکستان میں کہیں بھی یہ وائرس نہیں ہے۔
215,ملٹی وائبریٹر سرکٹ کی تین قسمیں ہوتی ہیں۔
216,اس کے بعد پنچاب اور بلوچستان فتح ہوئے۔
217,اردو: پانی کمزور جگہ سے گزر جاتا ہے
218,موجودہ وقت میں برازیل کی 5،570 بلدیات ہیں۔
219,قرآن کے حافظ بھی تھے اور عاشق بھی۔
220,اس طرح پاور فیکٹر بہتر ہو جاتا ہے۔
221,آپ کے چند کالموں کے نام یہ ہیں:
222,کالی سے حسب ذیل مراد ہو سکتے ہیں:
223,ان لوگوں کی زراعت خاصی ترقی یافتہ تھی۔
224,اس کو گنتی میں چھیاسی بولا جاتا ہے۔
225,جو 55ء اور 60ء کے درمیان سامنے آئے۔
226,البتہ شریعت کے خلاف کام لینا حرام ہے۔
227,امام باڑہ شاہ نجف بن ابی طالب سے
228,آپ کو جامعہ محمودیہ جھنگ میں کیا گیا۔
229,میٹھا لک ریلوے اسٹیشن پاکستان میں واقع ہے۔
230,بستی فوجا ریلوے اسٹیشن پاکستان میں واقع ہے۔
231,جولائی 1908ء میں وطن کے لیے روانہ ہوئے۔
232,آسٹریلیا نے وہ میچ پانچ وکٹ سے جیتا۔
233,بلوچستان کے ضلع چاغی کا ایک شہر ہے۔
234,انہں 1966ء میں تمغا حسن کارکردگی دیا گیا۔
235,سکینہ کے والد گرامی سردار کربلا حسین ہیں۔
236,یو یو ہنی سنگھ ایک ہندوستانی گلوکار ہے-
237,اس کی ثقافت چھ ہزار سال پرانی ہے۔
238,تیرے سینے کا نہاں خانہ عجائب خانہ ہے
239,"""انٹرنیشنل"""" نیٹورک آف وومین فلاسفر، منجاب ؛ """"یونیسکو""""۔"""
240,پہلی بار 2008ء میں بالی، انڈونیشیا میں ہوئے۔
241,اشیاء کو چسپاں کرنے میں کار آمد ہے۔
242,کے لیے کی علامت بھی استعمال ہوتی ہے۔
243,ہزار گنج چلتن نیشنل پارک - حکومت بلوچستان
244,یہ مینار بورستول، بکنگھمشائر، انگلستان میں موجود ہے۔
245,کردش لیڈر جلال طلابانی عراق کے صدر بنے
246,آبائی وطن موضع ناگڑیاں ضلع گجرات پنجاب، تھا۔
247,اسلامی لشکر بہت بہادری سے لڑ رہا تھا۔
248,100ھ میں وہ مکہ مکرمہ میں موجود تھے۔
249,اس سلسلے کے بانی شیخ احمد الرفاعی ہیں۔
250,1940ء میں مسلم لیگ میں شمولیت اختیار کی۔
251,صفائی کے اس عمل کا نام تزکیہ ہے۔
252,مجھ کو دشمن تہی داماں نہیں ہونے دیتا
253,یہ نیشنل ہائیوے اتھارٹی کے زیر انتطام ہے۔
254,حاجی بابا جان، سیاست دان اور قبائلی لیڈر
255,انٹرنیٹ مووی ڈیٹابیس پر حمد بن خلیفہ الثانی
256,خدا کی خدمت تیمیہ کے رسالہ العبودیہ کا
257,پہلی صدی عیسوی کے چاند گرہنوں کی فہرست
258,آپ سیدنا کے خاص شاگردوں میں سے تھے۔
259,پاکستانی پنجابی فلم سلسلہ 1987ء میں جاری ہوئی۔
260,آپ ایک دن ملک کے صدر بنیں گے۔
261,جنتی زیور، ناشر مکتبۃ المدینہ باب المدینہ، کراچی۔
262,قدرتی قسم کے وراثے ان کی مثال ہیں
263,نجف اشرف میں آپ کے مشہور اساتذہ یہہیں:
264,بارہ سال کی عمر میں پہلی نظم لکھی۔
265,اس کے بعد پرنسٹن یونیورسٹی امریکا چلے گئے۔
266,اس طریقہ علاج سے یاداشت جاتی رہتی ہے۔
267,جمشید نے درجنوں ٹیوی ڈراموں میں کام کیا۔
268,یہاں پر آباد لوگ پنجابی زبان بولتے ہیں۔
269,12۔ نوروز علی بن الحاج محمد باقر البسطامی
270,آپ قیاس و اجتہاد میں بڑے تیز تھے۔
271,ان کا جد امجد محمد خان بنگش تھا۔
272,نہ بتانا مہ کشوں کو کہ پیامی ہے
273,اسٹینفورڈ برائے فلسفہ پر زندگی سے مطابق مضمون
274,آپ کو بابائے اردو صحافت کہا جاتا ہے۔
275,اب غزل ایک نئے تصور کے تحت ہے۔
276,یہ دن بھی اب بسر کرنا پڑے گا
277,نیپچون کے اب تک 14 معلوم چاند ہیں۔
278,ان کا پورا نام فیضاللہ خان ڈومکی تھا۔
279,اسی سے بھنگرو کی اصطلاح سامنے آئی ہے۔
280,1907ء میں ٹرانسوال کا وزیر اعظم مقرر ہوا۔
281,2013ء کے عام انتخابات میں وہ حلقہ ایناے۔
282,رستم کے اسلاف میں ایک نام گرشتاب تھا۔
283,مستونگ روڈ ریلوےاسٹیشن مستونگ روڈ میں واقع ہے
284,مثلا وہ تین بچوں کا باپ بن گیا۔
285,دل منافق تھا شب ہجر میں سویا کیسا
286,مظاہرین نے ٹرکوں خاص طور پر نشانہ بنایا۔
287,جلوجو چنرڈ ریلوے اسٹیشن پاکستان میں واقع ہے۔
288,اس کے خرگوش، کبوتر اور جابر واقع ہیں۔
289,چوتھے فلک پہ پہنچا تھا پانی کمر کمر
290,نورانی قاعدہ، طبع مکتبہ اشرفیہ ہردوئی، یوپی، ہند
291,مجھے تو اور کوئی کام بھی نہیں آتا
292,اس کا اردو ترجمہ بھی ہو چکا ہے۔
293,مقامی حکومتوں کا نظام، حکومت سندھ ضلع بدین
294,دنیا کی ہر شے ءمیں ایک تناسب ہے۔
295,میکسیکو کے دیگر استعمالات کے لیے دیکھیے میکسیکو
296,وہ پاکستان کے پیلے ٹیسٹ وکٹ کیپر تھے۔
297,انہیں شعروسخن کا شوق کم عمری سے تھا۔
298,وہ بہادر بھی ہے اور نڈر بھی ہے۔
299,ہسپتال سے چھوٹی طبی سہولت کو مطب ہے۔
300,یہ قابل ذکر افغانستانی شخصیات کی فہرست ہے۔
301,مئی 2003 میں نئے صدر کا انتخاب ہوا۔
302,انڈس ریسورس سینٹر کی بانی اور ایگزیکیوٹو ڈائریکٹر
303,بمبئ میں آپ کی دوسری شادی ہوئی ۔
304,بھنگرو پانی سے زراعت کا نیا طریقہ ہے۔
305,آٹھویں صدی عیسوی کے چاند گرہنوں کی فہرست
306,مارچ 1983 راولپنڈی، کینیڈا کے کرکٹ کھلاڑی ہیں۔
307,جنات سے جائز کام لیا جا سکتا ہے۔
308,وہ اسلامآباد کے مرکزی قبرستان میں خاک ہیں۔
309,ساتویں صدی عیسوی کے چاند گرہنوں کی فہرست
310,تیسرا خالص وادی سندھ کے رنگ دھنگ ہیں۔
311,ایک اردو آنلائن لغت میں معید کا اندراج۔
312,1695ء کا ایک نقشہ، ایمسٹرڈیم سے چھپا ہوا۔
313,پرنٹ میکنگ سونگ بادشاہت کے دوران پروان چڑھی۔
314,گیارہویں صدی عیسوی کے چاند گرہنوں کی فہرست
315,آپ کہتے ہیں تو زنجیر ہلا دیتے ہیں
316,جو اردو غزل کا طرہ امتیاز رہا ہے۔
317,بالعموم بربروں کا حملہ سبتہ پر ہوتا تھا۔
318,حکومت کے میں آکر ملازمت سے استعفی دیا۔
319,لوگوں کو کوئی تکلیف نہیں ہوا کرتی تھیں۔
320,غریب وال ریلوے اسٹیشن پاکستان میں واقع ہے۔
321,سیدہ سعیدہ کے یونانی حکیم کی دختر تھی۔
322,چودہویں باب اولاد ابوالفضل عباس بن حضرت علیع
323,اس شہر کو دوبارہ 1580 میں بسایا گیا۔
324,سکاٹلینڈ کی سرحد صرف انگلستان سے ملتی ہے۔
325,انسانی ملک یا بیرون ملک اور ممکن ہے۔
326,پاکستان کی سبسے بڑی فلم انڈسٹری لولیوڈ ہے۔
327,ترجمہ: بادشاہت، غلبہ، کبریائی اور عظمت کا مالک
328,جنوبی اور شمالی دیواروں میں دروازے موجود ہیں۔
329,کہنے سے میر اور بھی ہوتا ہے مضطرب
330,امریکی ایف سولہ سیڈ مشن سے واپسی پر
331,آج یوم پاکستان کے حوالے سے کچھ اسپیشل
332,استاد کو فن تعلیم سے فطری مناسبت ہو
333,لاکھ روپے کی بات کہہ ڈالی یہ تو
334,انصاری آفاق احمد ، مارچ 2 ، 2010
335,4 اوور میں 17 اسکور اور 2 کھلاڑی
336,دیپ جلانے کا مزہ اور ہی کچھ ہے
337,قدم بڑھیں تو بدل جائے وقت کی رفتار
338,جوابات ذرا کفیل کی حاضری دینے کے بعد
339,"""کاش یہاں """" ہمدردانہ """" کی ریٹنگ ہوتی"""
340,ایم اے راجا ، اگست 2 ، 2008
341,اس خط کے نمونہ جات یہاں ملاحظہ ہوں
342,علامہ رشید ترابی نامور خطیب شاعر عالم دین
343,میں نے یہ تو سوچا ہی نہیں تھا
344,ایران تعلقات میں مزید خرابی کا باعث بنا
345,مرا مقصد فقط شعلہ نوائی ہو نہیں سکتا
346,ساتھ میں کوئی چپس وغیرہ بھی پکڑ لینا
347,اب آپ یہ بتائیں کہ یہ کیا ہے
348,ایک زمانے کے بعد ہم بھی آگئے ہیں
349,یا شاید چشم گل عرف طوطا چشم سے
350,ایک بوڑھا گدھا دیوار کے سائے میں کبھی
351,سارہ بشارت گیلانی ، نومبر 26 ، 2012
352,ہم نے اپنوں کی خوشیوں پہ واری خوشی
353,ماں : بیٹا ہم اپنا شہر کیوں چھوڑیں
354,وہ مگر اپنی انا میں رہا جلتا برسوں
355,اپنی اپنی ذات کی طناب میں کسے ہوئے
356,نشاں یہی ہے زمانے میں زندہ قوموں کا
357,لیا اس سے جاکر خبر اور اثر کو
358,گرم ہے موت کا بازار ترے کوچے میں
359,شکر ہے راہ ترقی میں اگر بڑھتے ہو
360,ایچ اے خان ، جولائی 28 ، 2007
361,بالکل اصلی پستول کی نقلی بلٹ کی طرح
362,ترا علاج ڈنر کے سوا کچھ اور نہیں
363,ظہور احمد سولنگی ، اکتوبر 3 ، 2007
364,میں بھیا کی لاڈلی بہن ہوں اس لیے
365,نبھائی تھی نہ ہم نے جانے کس سے
366,غزل ہر نفس مضطرب گزرتی ہے نوید صادق
367,آپ بھی شمشاد بھائی کا ساتھ دینے لگے
368,اب ذرا کچھ ٹھوس حقائق پر غور کیجئے
369,مانو ٹھیک نہیں ہوں سر میں درد ہے
370,ٹیگ : راغب مراد آبادی ، عزم بہزاد
371,کیوں کے میرے سوال ذرا ٹیڑھے ہوتے ہیں
372,اپنی دوا ہی آپ یہ بیمار بن گئے
373,بونیر : خود کش حملے میں چھ ہلاک
374,یہ فاصلے بھی عجب کچھ فریب دیتے ہیں
375,ساقی کے گیسو کی ہوا کھا رہا ہوں
376,اور قوم مختلف دھاروں میں بہہ رھی ھے
377,شور کر اور بہت خاک اڑا اور بہت
378,نبی کریم صلی اللہ علیہ وسلم نے فرمایا
379,اب ایک مثال دے کر وضاحت کرتا ہوں
380,اس میں بلوچستان کا شہر لورالائی شامل ہے
381,کہیں دنیا سے ہی کوچ نہ کر جانا
382,تعلیم فقط وضع بدل دیتی تو کیا غم
383,اس درجہ مفصل رہنمائی کے لئے دلی شکریہ
384,[ گیارہواں کھلاڑی ] سوال جواب قسط 3
385,محمد اظہر نذیر ، فروری 17 ، 2013
386,شور اتنا تھا کوئی بات نہ ہونے پائی
387,خرم شہزاد خرم ، جولائی 20 ، 2012
388,کیا پتہ کوئی سارہ خان سویٹ بھی ہو
389,تو مقتدر ہے خدایا یہ التجا سن لے
390,مجھے لگتا ہے جیسے میں جانتی ہوں انہیں
391,4 مئی سے تو عبدالمجید بھی غائب ہیں
392,یہ تو اچھے بچوں والے کام کئے ناں
393,حیرت نہیں ہوئی جو کسی عکس پر ہمیں
394,یہاں بلاگ تھیم کے کوڈ میں اس کوڈ
395,اس کے نے اس کی تربیت کی تھی
396,کبھی ترک محبت کے لئے سوچیں معاذ اللہ
397,تلے ہیں قتل پہ پھولوں میں تولنے والے
398,منزل ہے کوئی اور فقط راستہ ہوں میں
399,کاش میں تیری محفل کا ایک ایڈمن ہوتا
400,بس زیادہ بات ہی تین سے ہوتی ہے
401,اتنی پیاری مبارکباد کا بہت شکریہ کھوکھر بھائی
402,میری خواہش کے دیے در پہ جلاتی جانا
403,امید ہے اس شکایت کا ازالہ ہوجائے گا
404,آتی نہیں ہے راس ہمیں جانتے ہیں ہم
405,مجھے کیا پتہ میں کوئی بڑھیا تھوڑی ہوں
406,بولیویا کی امریکی سفارتخانہ بند کرنے کی دھمکی
407,م کی بات کردی آپ نے شمشاد بھائی
408,پھر یوں ہوا کہیں میری تقدیر کھو گئی
409,یار ضروری ہے میری ذات پر بات ہو
410,ہاں اس معاملے میں تو میرا قصور تھا
411,اس بارے میں آپ کیا کہتے ہیں شکریہ
412,تو آپ درج ذیل ربط پر کلک کریں
413,ڈھیر پھولوں کے چڑھے عاشقوں کی قبروں پر
414,اس میں دودھ بھی تو ہونا چاہیے تھا
415,اردو کی دنیا میں کیا برپا اک انقلاب
416,حسن والوں کی محبت بھی برائے نام ہے
417,اللہ جی یہ تو مذاق کا اسٹائل تھا
418,مگر میری بھی کسی نے نہ سنی تھی
419,پتہ ہوتا ہے کہ شعر برآمد ہونے ہیں
420,یہ کشمیر مغرب اور مشرق کو جگائے گا
421,مہدی نقوی حجاز ، جولائی 5 ، 2012
422,اک دوسرے کے ہمسفر میں اور میری آوارگی
423,ہم سایہ دار پیڑ زمانے کے کام آئے
424,عمار ابن ضیا ، اپریل 28 ، 2008
425,بہترین کلام کا نتخاب کیا محمد بلال اعظم
426,یہ تاب یہ مجال یہ طاقت نہیں مجھے
427,جو کیجئے تو بس اردو میں گفتگو کیجے
428,ہتھے جو چڑھ گئے کبھی سسرال کے جناب
429,کیا کیا توقعات تھیں آہوں سے اے خمار
430,مجھے تو یاد نہیں صحیح طرح سے بھیا
431,اوہو میرے پاس پرس ہوتا ہی نہیں ہے
432,اور ٹانگوں کی ہڈیاں دونوں ایک جیسی ہیں
433,اللہ کا جتنا شکر ادا کروں کم ہے
434,جہاں پر تھے مرشد وہ پہنچے وہاں تھے
435,بس دعا کریں کہ دال صاف ہو جائے
